META; english/championship/blackburn-v-bristol-city; 2017-04-14 14:20:13 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-14 18:20:10 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Bristol City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-14 22:20:04 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 5/4; 11/8; ; ; 13/10; ; 13/10; ; ; ; 6/5; ; 5/4; ; ; 11/8; 13/10; ; ; 13/10; 7/5; ; ; ; ; ; 10/11; ; 
Bristol City; 21/10; 9/5; ; ; 21/10; ; 85/40; ; ; ; 2; ; 21/10; ; ; 2; 21/10; ; ; 21/10; 11/5; ; ; ; ; ; 7/5; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; ; ; 9/4; ; 12/5; ; ; 5/2; 12/5; ; ; 12/5; 12/5; ; ; ; ; ; 9/4; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-15 02:19:51 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 5/4; 11/8; ; ; 13/10; ; 13/10; 5/4; ; ; 6/5; ; 5/4; ; ; 11/8; 5/4; ; 10/9; ; 7/5; ; 19/17; 5/4; 15/13; ; 1; ; 
Bristol City; 21/10; 9/5; ; ; 21/10; ; 85/40; 15/8; ; ; 2; ; 21/10; ; ; 2; 21/10; ; 23/10; ; 11/5; ; 23/10; 21/10; 40/17; ; 7/5; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 9/4; ; ; 9/4; ; 12/5; ; ; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; 12/5; 27/11; ; 9/4; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-15 06:19:50 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 5/4; 11/8; ; ; 13/10; ; 13/10; 5/4; 13/10; ; 6/5; 13/10; 5/4; ; ; 11/8; 5/4; ; 10/9; 5/4; 7/5; ; 19/17; 5/4; 15/13; ; 1; ; 
Bristol City; 21/10; 9/5; ; ; 21/10; ; 85/40; 15/8; 85/40; ; 2; 11/5; 21/10; ; ; 2; 21/10; ; 23/10; 21/10; 11/5; ; 23/10; 21/10; 40/17; ; 13/8; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 9/4; 12/5; ; 9/4; 9/4; 12/5; ; ; 5/2; 12/5; ; 12/5; 12/5; 12/5; ; 12/5; 12/5; 27/11; ; 9/4; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-15 10:19:55 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 5/4; 11/8; ; 5/4; 13/10; ; 13/10; 5/4; 13/10; ; 6/5; 13/10; 5/4; ; ; 13/10; 6/5; ; 10/9; 6/5; 7/5; ; 19/17; 5/4; 15/13; ; 1; ; 
Bristol City; 21/10; 9/5; ; 21/10; 21/10; ; 85/40; 15/8; 85/40; ; 2; 11/5; 21/10; ; ; 11/5; 11/5; ; 23/10; 11/5; 11/5; ; 23/10; 21/10; 40/17; ; 13/8; ; 
Draw; 12/5; 23/10; ; 12/5; 12/5; ; 12/5; 9/4; 12/5; ; 9/4; 9/4; 12/5; ; ; 5/2; 12/5; ; 12/5; 12/5; 12/5; ; 12/5; 12/5; 27/11; ; 9/4; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-15 14:19:53 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; ; 5/4; 13/10; ; 29/20; 5/4; 7/5; ; 11/8; 13/10; 27/20; ; 7/5; 11/8; 13/10; ; 13/10; 23/17; 29/20; ; 13/10; 7/5; 4/3; ; 1; ; 
Bristol City; 2; 9/5; ; 21/10; 21/10; ; 15/8; 15/8; 2; 9/5; 7/4; 19/10; 39/20; ; 2; 2; 39/19; ; 2; 39/19; 21/10; ; 39/19; 15/8; 21/10; ; 8/5; ; 
Draw; 12/5; 23/10; ; 12/5; 12/5; ; 12/5; 9/4; 5/2; 5/2; 23/10; 12/5; 12/5; ; 23/10; 5/2; 12/5; ; 23/10; 12/5; 49/20; ; 23/10; 23/10; 40/17; ; 9/4; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-15 18:19:59 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 13/10; 13/10; ; 5/4; 13/10; ; 6/4; 5/4; 7/5; ; 11/8; 7/5; 27/20; 13/10; 11/8; 7/5; 7/5; 13/10; 13/10; 7/5; 29/20; ; 13/10; 7/5; 4/3; ; 13/10; ; 
Bristol City; 2; 2; ; 21/10; 21/10; ; 19/10; 15/8; 2; 9/5; 7/4; 9/5; 39/20; 2; 19/10; 2; 37/19; 2; 2; 37/19; 21/10; ; 39/19; 15/8; 21/10; ; 15/8; ; 
Draw; 12/5; 12/5; ; 12/5; 12/5; ; 12/5; 9/4; 5/2; 12/5; 23/10; 5/2; 12/5; 12/5; 5/2; 5/2; 40/17; 23/10; 23/10; 40/17; 49/20; ; 23/10; 23/10; 40/17; ; 12/5; ; 
META; english/championship/blackburn-v-bristol-city; 2017-04-15 22:19:57 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Blackburn; 13/10; 13/10; ; 13/10; 13/10; 7/5; 29/20; 5/4; 7/5; 11/8; 27/20; 7/5; 27/20; 7/5; 11/8; 7/5; 7/5; 13/10; 13/10; 7/5; 29/20; ; 13/10; 11/8; 4/3; ; 11/8; 13/10; 
