META; english/championship/brighton-v-newcastle; 2017-02-25 18:22:22 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Newcastle; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/championship/brighton-v-newcastle; 2017-02-25 22:20:57 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 11/8; 3/2; ; 7/5; 6/4; ; 29/20; ; ; ; 7/5; ; 29/20; 7/5; ; 6/4; 17/11; ; 13/8; 17/11; 33/20; ; 28/17; ; ; 5/4; ; 
Newcastle; 19/10; 7/4; ; 2; 2; ; 2; ; ; ; 9/5; ; 19/10; 19/10; ; 15/8; 9/5; ; 13/8; 9/5; 19/10; ; 5/3; ; ; 7/4; ; 
Draw; 23/10; 23/10; ; 11/5; 11/5; ; 23/10; ; ; ; 21/10; ; ; 23/10; ; 23/10; 23/10; ; 11/5; 23/10; 47/20; ; 11/5; ; ; 21/10; ; 
META; english/championship/brighton-v-newcastle; 2017-02-26 02:21:44 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 11/8; 3/2; ; 7/5; 6/4; ; 29/20; ; ; 7/5; 7/5; ; 29/20; 7/5; ; 6/4; 17/11; ; 13/8; 17/11; 8/5; ; 28/17; ; ; 5/4; ; 
Newcastle; 19/10; 7/4; ; 2; 2; ; 2; ; ; 19/10; 9/5; ; 19/10; 19/10; ; 15/8; 9/5; ; 13/8; 9/5; 39/20; ; 5/3; ; ; 7/4; ; 
Draw; 23/10; 23/10; ; 11/5; 11/5; ; 23/10; ; ; 23/10; 21/10; ; 23/10; 23/10; ; 23/10; 23/10; ; 11/5; 23/10; 47/20; ; 11/5; ; ; 21/10; ; 
META; english/championship/brighton-v-newcastle; 2017-02-26 06:20:28 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 11/8; 3/2; ; 7/5; 6/4; ; 29/20; ; 6/4; 7/5; 7/5; ; 29/20; 7/5; ; 6/4; 17/11; ; 13/8; 17/11; 8/5; ; 28/17; ; ; 5/4; ; 
Newcastle; 19/10; 7/4; ; 2; 2; ; 2; ; 15/8; 19/10; 9/5; ; 19/10; 19/10; ; 15/8; 9/5; ; 13/8; 9/5; 39/20; ; 5/3; ; ; 7/4; ; 
Draw; 23/10; 23/10; ; 11/5; 11/5; ; 23/10; ; 23/10; 23/10; 21/10; ; 23/10; 23/10; ; 23/10; 23/10; ; 11/5; 23/10; 47/20; ; 11/5; ; ; 21/10; ; 
META; english/championship/brighton-v-newcastle; 2017-02-26 10:22:40 GMT+2; 2017-02-28 19:45; Nothing; Xlenovo
Brighton; 11/8; 3/2; ; 7/5; 8/5; 29/20; 7/5; 6/4; 6/4; 7/5; 7/5; ; 29/20; 7/5; 7/5; 16/11; 17/11; ; 13/8; 17/11; 157/100; ; 28/17; ; ; 13/10; ; 
