META; english/championship/nottingham-forest-v-brentford; 2017-03-04 22:21:24 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 8/5; 6/4; 33/20; 6/4; 7/4; ; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; 7/4; ; ; ; 7/4; ; ; 1; ; 
Brentford; 8/5; 9/5; 33/20; 8/5; 13/8; ; 17/10; ; ; ; ; ; ; ; ; 9/5; ; ; 6/4; ; ; ; 6/4; ; ; 5/6; ; 
Draw; 12/5; 23/10; 47/20; 23/10; 12/5; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 23/10; ; ; ; 40/17; ; ; 27/20; ; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-05 02:20:45 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 8/5; 6/4; 33/20; 6/4; 7/4; ; 13/8; ; ; ; 31/20; ; ; 13/8; ; 8/5; ; ; 7/4; ; ; ; 7/4; ; ; 21/20; ; 
Brentford; 8/5; 9/5; 33/20; 8/5; 13/8; ; 17/10; ; ; ; 31/20; ; ; 13/8; ; 7/4; ; ; 6/4; ; ; ; 6/4; ; ; 20/21; ; 
Draw; 12/5; 23/10; 47/20; 23/10; 12/5; ; 12/5; ; ; ; 11/5; ; ; 12/5; ; 5/2; ; ; 23/10; ; ; ; 40/17; ; ; 7/5; ; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-05 06:20:25 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Nottingham Forest; 8/5; 6/4; 6/4; 6/4; 7/4; ; 13/8; ; ; ; 27/20; 13/8; 33/20; 13/8; ; 8/5; ; ; 7/4; ; ; ; 7/4; ; ; 21/20; ; 
Brentford; 8/5; 9/5; 9/5; 8/5; 13/8; ; 17/10; ; ; ; 9/5; 13/8; 8/5; 13/8; ; 9/5; ; ; 6/4; ; ; ; 6/4; ; ; 20/21; ; 
Draw; 12/5; 23/10; 47/20; 23/10; 12/5; ; 12/5; ; ; ; 9/4; 23/10; 47/20; 12/5; ; 5/2; ; ; 23/10; ; ; ; 40/17; ; ; 7/5; ; 
META; english/championship/nottingham-forest-v-brentford; 2017-03-05 10:22:21 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
