META; english/championship/wigan-v-preston; 2017-02-12 02:22:13 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Preston; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-12 06:20:43 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Preston; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-12 10:20:53 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Preston; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-12 14:20:46 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 13/8; 3/2; ; ; 13/8; ; 13/8; ; ; ; 8/5; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 
Preston; 13/8; 13/8; ; ; 17/10; ; 17/10; ; ; ; 8/5; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 12/5; ; ; ; 11/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-12 18:20:25 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 13/8; 3/2; ; ; 13/8; ; 13/8; ; 13/8; ; 8/5; ; ; ; ; 8/5; 8/5; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Preston; 13/8; 13/8; ; ; 17/10; ; 17/10; ; 13/8; ; 8/5; ; ; ; ; 8/5; 28/17; ; 13/8; 28/17; ; ; 5/3; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 23/10; ; 12/5; ; 11/5; ; ; ; ; 12/5; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-12 22:21:03 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 13/8; 3/2; ; ; 13/8; ; 13/8; ; 13/8; ; 8/5; ; ; ; ; 8/5; 8/5; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Preston; 13/8; 13/8; ; ; 17/10; ; 17/10; ; 13/8; ; 8/5; ; ; ; ; 8/5; 28/17; ; 13/8; 28/17; ; ; 5/3; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 23/10; ; 12/5; ; 11/5; ; ; ; ; 12/5; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-13 02:20:51 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 13/8; 3/2; ; ; 13/8; ; 13/8; ; 13/8; ; 8/5; ; ; ; ; 8/5; 8/5; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Preston; 13/8; 13/8; ; ; 17/10; ; 17/10; ; 13/8; ; 8/5; ; ; ; ; 8/5; 28/17; ; 13/8; 28/17; ; ; 5/3; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 23/10; ; 12/5; ; 11/5; ; ; ; ; 12/5; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-13 06:19:59 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 13/8; 3/2; ; ; 17/10; ; 13/8; ; 13/8; ; 13/8; 13/8; ; ; ; 8/5; 8/5; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Preston; 13/8; 13/8; ; ; 17/10; ; 17/10; ; 13/8; ; 13/8; 13/8; ; ; ; 7/4; 28/17; ; 13/8; 28/17; ; ; 5/3; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 23/10; ; 23/10; ; 12/5; ; 21/10; 23/10; ; ; ; 23/10; 23/10; ; 9/4; 23/10; ; ; 9/4; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-13 10:20:25 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Preston; 13/8; 13/8; ; ; 17/10; ; 17/10; ; 13/8; ; 13/8; 13/8; ; ; ; 8/5; 8/5; ; 13/8; 8/5; ; ; 5/3; ; ; ; ; 
Wigan; 13/8; 3/2; ; ; 17/10; ; 13/8; ; 13/8; ; 13/8; 13/8; ; ; ; 8/5; 8/5; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Draw; 23/10; 23/10; ; ; 23/10; ; 23/10; ; 12/5; ; 21/10; 23/10; ; ; ; 12/5; 23/10; ; 9/4; 23/10; ; ; 9/4; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-13 14:20:34 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 6/4; ; ; 8/5; 13/8; 31/20; 8/5; 13/8; ; 31/20; 13/8; 8/5; ; 6/4; 17/11; 8/5; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; 
Preston; 7/4; 15/8; ; ; 9/5; 37/20; 15/8; 9/5; 9/5; ; 9/5; 9/5; 7/4; ; 15/8; 15/8; 7/4; ; 13/8; 7/4; ; ; 5/3; ; ; ; ; 
Draw; 23/10; 9/4; ; ; 9/4; 9/4; 11/5; 11/5; 11/5; ; 2; 2; 11/5; ; 23/10; 9/4; 28/13; ; 9/4; 28/13; ; ; 9/4; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-13 18:21:42 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 13/8; ; 13/8; 8/5; 31/20; 6/4; 13/8; 8/5; 31/20; 13/8; 8/5; ; 17/10; 8/5; 17/11; 6/4; 8/5; 17/11; ; ; 8/5; ; ; ; ; 
Preston; 7/4; 15/8; 37/20; ; 15/8; 37/20; 15/8; 8/5; 9/5; 15/8; 7/4; 15/8; 9/5; ; 9/5; 9/5; 9/5; 7/4; 13/8; 9/5; ; ; 5/3; ; ; ; ; 
Draw; 23/10; 21/10; 21/10; ; 11/5; 9/4; 9/4; 11/5; 11/5; 2; 2; 2; 21/10; ; 21/10; 9/4; 28/13; 9/4; 9/4; 28/13; ; ; 9/4; ; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-13 22:21:14 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 8/5; 6/4; 13/8; ; 31/20; 6/4; 13/8; 6/4; 6/4; 13/8; 8/5; ; 17/10; 8/5; 17/11; 6/4; 8/5; 17/11; ; ; 8/5; 6/4; ; ; ; 
Preston; 7/4; 15/8; 15/8; 9/5; 15/8; ; 15/8; 8/5; 9/5; 15/8; 9/5; 19/10; 37/20; ; 9/5; 9/5; 9/5; 7/4; 13/8; 9/5; ; ; 5/3; 9/5; ; ; ; 
Draw; 23/10; 21/10; 21/10; 2; 11/5; ; 9/4; 11/5; 11/5; 21/10; 2; 2; 21/10; ; 21/10; 11/5; 28/13; 9/4; 9/4; 28/13; ; ; 9/4; 11/5; ; ; ; 
META; english/championship/wigan-v-preston; 2017-02-14 02:21:51 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 8/5; 6/4; 8/5; 8/5; 31/20; 6/4; 13/8; 6/4; 6/4; 13/8; 8/5; 6/4; 17/10; 17/11; 17/11; 6/4; 8/5; 17/11; ; ; 8/5; 6/4; ; 8/5; ; 
Preston; 7/4; 15/8; 15/8; 9/5; 9/5; 15/8; 15/8; 8/5; 9/5; 15/8; 9/5; 19/10; 37/20; 7/4; 9/5; 15/8; 24/13; 7/4; 13/8; 24/13; ; ; 5/3; 9/5; ; 17/10; ; 
Draw; 23/10; 21/10; 21/10; 2; 9/4; 9/4; 9/4; 11/5; 11/5; 21/10; 2; 2; 21/10; 23/10; 21/10; 11/5; 21/10; 9/4; 9/4; 21/10; ; ; 9/4; 11/5; ; 21/10; ; 
META; english/championship/wigan-v-preston; 2017-02-14 06:20:33 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 8/5; 6/4; 8/5; 8/5; 31/20; 6/4; 13/8; 6/4; 6/4; 13/8; 8/5; 6/4; 17/10; 17/11; 17/11; 6/4; 8/5; 17/11; ; ; 8/5; 6/4; ; 8/5; ; 
Preston; 7/4; 15/8; 15/8; 9/5; 9/5; 15/8; 15/8; 8/5; 9/5; 15/8; 9/5; 19/10; 37/20; 7/4; 9/5; 15/8; 24/13; 7/4; 13/8; 24/13; ; ; 5/3; 9/5; ; 17/10; ; 
Draw; 23/10; 21/10; 21/10; 2; 9/4; 9/4; 9/4; 11/5; 11/5; 21/10; 2; 2; 21/10; 23/10; 21/10; 11/5; 21/10; 9/4; 9/4; 21/10; ; ; 9/4; 11/5; ; 21/10; ; 
META; english/championship/wigan-v-preston; 2017-02-14 10:20:51 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 8/5; 6/4; 13/8; 8/5; 31/20; 6/4; 13/8; 6/4; 6/4; 13/8; 8/5; 6/4; 17/10; 17/11; 17/11; 6/4; 8/5; 17/11; ; ; 8/5; 6/4; ; 8/5; ; 
Preston; 7/4; 15/8; 15/8; 9/5; 15/8; 15/8; 15/8; 8/5; 9/5; 15/8; 9/5; 19/10; 37/20; 7/4; 9/5; 15/8; 24/13; 7/4; 13/8; 24/13; ; ; 5/3; 9/5; ; 17/10; ; 
Draw; 23/10; 21/10; 21/10; 2; 11/5; 9/4; 9/4; 11/5; 11/5; 21/10; 2; 2; 21/10; 23/10; 21/10; 11/5; 21/10; 9/4; 9/4; 21/10; ; ; 9/4; 11/5; ; 21/10; ; 
META; english/championship/wigan-v-preston; 2017-02-14 14:21:07 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 8/5; 6/4; 13/8; 8/5; 31/20; 6/4; 13/8; 6/4; 6/4; 13/8; 8/5; 6/4; 17/10; 8/5; 17/11; 6/4; 8/5; 17/11; ; ; 8/5; 6/4; ; 8/5; ; 
Preston; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 15/8; 8/5; 9/5; 15/8; 9/5; 19/10; 37/20; 7/4; 9/5; 15/8; 24/13; 7/4; 13/8; 24/13; ; ; 5/3; 9/5; ; 17/10; ; 
Draw; 23/10; 21/10; 21/10; 2; 9/4; 9/4; 9/4; 11/5; 11/5; 21/10; 2; 2; 21/10; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 21/10; ; ; 9/4; 11/5; ; 21/10; ; 
META; english/championship/wigan-v-preston; 2017-02-14 18:23:01 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 8/5; 6/4; 13/8; 8/5; 31/20; 8/5; 8/5; 6/4; 6/4; 13/8; 8/5; 6/4; 17/10; 8/5; 17/11; 6/4; 8/5; 17/11; 13/8; ; 8/5; 6/4; ; 13/8; ; 
Preston; 7/4; 9/5; 15/8; 9/5; 15/8; 15/8; 15/8; 9/5; 15/8; 15/8; 9/5; 19/10; 37/20; 7/4; 9/5; 15/8; 24/13; 7/4; 13/8; 24/13; 39/20; ; 5/3; 9/5; ; 13/8; ; 
Draw; 23/10; 21/10; 21/10; 2; 11/5; 9/4; 9/4; 11/5; 11/5; 21/10; 2; 2; 21/10; 23/10; 21/10; 9/4; 28/13; 9/4; 9/4; 28/13; 23/10; ; 9/4; 11/5; ; 21/10; ; 
META; english/championship/wigan-v-preston; 2017-02-14 22:22:49 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 8/5; 6/4; 8/5; 8/5; 31/20; 6/4; 8/5; 6/4; 6/4; 13/8; 8/5; 6/4; 17/10; 8/5; 17/11; 6/4; 8/5; 17/11; 13/8; ; 8/5; 6/4; ; 13/8; ; 
Preston; 7/4; 9/5; 15/8; 9/5; 9/5; 15/8; 15/8; 8/5; 15/8; 15/8; 9/5; 19/10; 37/20; 7/4; 9/5; 15/8; 24/13; 7/4; 13/8; 24/13; 39/20; ; 5/3; 9/5; ; 7/4; ; 
Draw; 23/10; 21/10; 21/10; 2; 9/4; 9/4; 9/4; 11/5; 11/5; 21/10; 2; 2; 21/10; 23/10; 21/10; 9/4; 28/13; 9/4; 9/4; 28/13; 23/10; ; 9/4; 11/5; ; 21/10; ; 
META; english/championship/wigan-v-preston; 2017-02-15 02:21:49 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 8/5; 8/5; 13/8; 8/5; 31/20; 6/4; 8/5; 6/4; 31/20; 8/5; 8/5; 6/4; 17/10; 8/5; 8/5; 6/4; 8/5; 8/5; 13/8; ; 8/5; 6/4; ; 13/8; 13/8; 
Preston; 7/4; 9/5; 15/8; 2; 15/8; 15/8; 15/8; 8/5; 15/8; 15/8; 9/5; 19/10; 37/20; 7/4; 9/5; 15/8; 24/13; 7/4; 13/8; 24/13; 39/20; ; 5/3; 9/5; ; 7/4; 7/4; 
Draw; 23/10; 21/10; 21/10; 21/10; 11/5; 9/4; 9/4; 11/5; 11/5; 21/10; 2; 2; 21/10; 23/10; 21/10; 9/4; 28/13; 9/4; 9/4; 28/13; 23/10; ; 9/4; 11/5; ; 21/10; 2; 
META; english/championship/wigan-v-preston; 2017-02-15 06:20:10 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Wigan; 6/4; 8/5; 8/5; 8/5; 8/5; 31/20; 31/20; 6/4; 8/5; 6/4; 6/4; 8/5; 31/20; 6/4; 17/10; 8/5; 8/5; 6/4; 8/5; 8/5; 13/8; ; 8/5; 6/4; ; 6/4; 6/4; 
Preston; 7/4; 9/5; 15/8; 2; 9/5; 19/10; 15/8; 8/5; 15/8; 19/10; 9/5; 19/10; 37/20; 9/5; 9/5; 15/8; 24/13; 7/4; 13/8; 24/13; 39/20; ; 5/3; 9/5; ; 9/5; 15/8; 
