META; english/league-1/bristol-rovers-v-oldham; 2017-04-14 14:21:06 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/bristol-rovers-v-oldham; 2017-04-14 18:21:06 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/league-1/bristol-rovers-v-oldham; 2017-04-14 22:20:56 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 1; 10/11; ; ; 1; ; 1; 10/11; ; ; ; ; ; 1; ; 19/20; 1; ; 1; 1; ; ; 1; ; 1; ; 8/11; ; 
Draw; 12/5; 12/5; ; ; 12/5; ; 12/5; 12/5; ; ; ; ; ; 9/4; ; 5/2; 12/5; ; 12/5; 12/5; ; ; 12/5; ; 12/5; ; 2; ; 
Oldham; 11/4; 14/5; ; ; 3; ; 29/10; 11/4; ; ; ; ; ; 29/10; ; 29/10; 27/10; ; 13/5; 27/10; ; ; 45/17; ; 45/17; ; 2; ; 
META; english/league-1/bristol-rovers-v-oldham; 2017-04-15 02:20:24 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 1; 10/11; ; ; 1; ; 1; 10/11; ; ; ; ; ; 1; ; 1; 1; ; 1; ; ; ; 1; 1; 1; ; 8/11; ; 
Draw; 12/5; 12/5; ; ; 5/2; ; 5/2; 9/4; ; ; ; ; ; 9/4; ; 5/2; 12/5; ; 12/5; ; ; ; 12/5; 12/5; 12/5; ; 21/10; ; 
Oldham; 11/4; 14/5; ; ; 11/4; ; 14/5; 5/2; ; ; ; ; ; 29/10; ; 14/5; 27/10; ; 13/5; ; ; ; 45/17; 11/4; 45/17; ; 9/4; ; 
META; english/league-1/bristol-rovers-v-oldham; 2017-04-15 06:20:21 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Bristol Rovers; 1; 10/11; ; ; 1; ; 1; 10/11; 1; ; ; 1; ; 1; ; 1; 1; ; 1; 1; ; ; 1; 1; 1; ; 8/11; ; 
Draw; 12/5; 12/5; ; ; 5/2; ; 5/2; 9/4; 5/2; ; ; 23/10; ; 9/4; ; 5/2; 12/5; ; 12/5; 12/5; ; ; 12/5; 12/5; 12/5; ; 21/10; ; 
Oldham; 11/4; 14/5; ; ; 11/4; ; 14/5; 5/2; 14/5; ; ; 14/5; ; 29/10; ; 14/5; 27/10; ; 13/5; 27/10; ; ; 45/17; 11/4; 45/17; ; 9/5; ; 
