META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-11 22:21:51 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
AFC Wimbledon; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-12 02:20:39 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
AFC Wimbledon; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-12 06:20:34 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
AFC Wimbledon; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-12 10:21:23 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
AFC Wimbledon; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-12 14:20:46 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 21/20; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
AFC Wimbledon; 27/10; 12/5; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-12 18:20:44 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 21/20; ; ; ; ; 21/20; ; 21/20; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
AFC Wimbledon; 27/10; 12/5; ; ; ; ; 11/4; ; 14/5; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-12 22:21:09 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 21/20; ; ; ; ; 21/20; ; 21/20; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
AFC Wimbledon; 27/10; 12/5; ; ; ; ; 11/4; ; 14/5; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-13 02:21:47 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 21/20; ; ; ; ; 21/20; ; 21/20; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
AFC Wimbledon; 27/10; 12/5; ; ; ; ; 11/4; ; 14/5; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-13 06:23:07 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 21/20; ; ; 1; ; 1; 1; 21/20; ; 19/20; ; 19/20; 1; ; 1; ; ; 20/21; ; ; ; 28/29; ; ; 10/11; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 12/5; 5/2; ; 9/4; ; 49/20; 12/5; ; 12/5; ; ; 12/5; ; ; ; 27/11; ; ; 21/10; ; 
AFC Wimbledon; 27/10; 12/5; ; ; 3; ; 14/5; 11/4; 14/5; ; 13/5; ; 14/5; 11/4; ; 27/10; ; ; 11/4; ; ; ; 11/4; ; ; 5/2; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-13 10:20:18 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 21/20; ; ; 1; ; 1; 1; 21/20; ; 19/20; 1; 19/20; 1; ; 1; 1; ; 20/21; 1; ; ; 28/29; ; ; 10/11; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; 5/2; ; 9/4; 12/5; 49/20; 12/5; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 27/11; ; ; 11/5; ; 
AFC Wimbledon; 27/10; 12/5; ; ; 11/4; ; 14/5; 11/4; 14/5; ; 13/5; 14/5; 14/5; 14/5; ; 27/10; 45/17; ; 11/4; 45/17; ; ; 11/4; ; ; 5/2; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-13 14:22:03 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 21/20; 21/20; ; 21/20; ; 21/20; 1; 21/20; 1; 1; 21/20; 1; 21/20; ; 1; 1; ; 20/21; 1; ; ; 28/29; 1; ; 1; ; 
Draw; 23/10; 23/10; 23/10; ; 12/5; ; 12/5; 12/5; 5/2; 12/5; 11/5; 23/10; 49/20; 23/10; ; 12/5; 40/17; ; 12/5; 40/17; ; ; 27/11; 23/10; ; 11/5; ; 
AFC Wimbledon; 11/4; 12/5; 27/10; ; 11/4; ; 11/4; 11/4; 14/5; 13/5; 13/5; 11/4; 27/10; 11/4; ; 27/10; 45/17; ; 11/4; 13/5; ; ; 11/4; 11/4; ; 5/2; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-13 18:23:11 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 21/20; 21/20; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 1; 20/21; 1; ; ; 28/29; 1; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 12/5; 11/5; 12/5; 11/5; 12/5; 9/4; 21/10; 23/10; 47/20; 12/5; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; ; ; 27/11; 9/4; 27/11; ; 11/5; ; 
AFC Wimbledon; 11/4; 11/4; 14/5; 13/5; 3; 13/5; 11/4; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 11/4; 11/4; 14/5; 11/4; 11/4; ; ; 11/4; 11/4; 11/4; ; 5/2; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-13 22:21:07 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 21/20; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 1; 20/21; 1; ; ; 28/29; 1; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 12/5; 11/5; 12/5; 11/5; 12/5; 9/4; 21/10; 23/10; 47/20; 12/5; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; ; ; 27/11; 9/4; 27/11; ; 11/5; ; 
AFC Wimbledon; 11/4; 14/5; 14/5; 13/5; 3; 13/5; 11/4; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 11/4; 11/4; 14/5; 11/4; 11/4; ; ; 11/4; 11/4; 11/4; ; 5/2; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-14 02:22:47 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 21/20; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 1; 20/21; 1; ; ; 28/29; 1; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 12/5; 11/5; 12/5; 11/5; 12/5; 9/4; 21/10; 23/10; 47/20; 12/5; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; ; ; 27/11; 9/4; 27/11; ; 11/5; ; 
AFC Wimbledon; 11/4; 14/5; 14/5; 13/5; 3; 13/5; 11/4; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 11/4; 11/4; 14/5; 11/4; 11/4; ; ; 11/4; 11/4; 11/4; ; 5/2; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-14 06:20:25 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 21/20; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 1; 20/21; 1; ; ; 28/29; 1; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 12/5; 11/5; 12/5; 11/5; 12/5; 9/4; 21/10; 23/10; 47/20; 12/5; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; ; ; 27/11; 9/4; 27/11; ; 11/5; ; 
AFC Wimbledon; 11/4; 14/5; 14/5; 13/5; 3; 13/5; 11/4; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 11/4; 11/4; 14/5; 11/4; 11/4; ; ; 11/4; 11/4; 11/4; ; 13/5; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-14 10:21:00 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 21/20; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 1; 20/21; 1; ; ; 28/29; 1; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 12/5; 11/5; 12/5; 11/5; 12/5; 9/4; 21/10; 23/10; 47/20; 12/5; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; ; ; 27/11; 9/4; 27/11; ; 11/5; ; 
AFC Wimbledon; 11/4; 14/5; 14/5; 13/5; 3; 13/5; 11/4; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 11/4; 11/4; 14/5; 11/4; 11/4; ; ; 11/4; 11/4; 11/4; ; 13/5; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-14 14:23:11 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 21/20; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 1; 20/21; 1; ; 1; 28/29; 1; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 12/5; 9/4; 12/5; 11/5; 12/5; 9/4; 21/10; 23/10; 47/20; 12/5; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; ; 23/10; 27/11; 9/4; 27/11; ; 11/5; ; 
AFC Wimbledon; 11/4; 14/5; 14/5; 13/5; 3; 13/5; 11/4; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 14/5; 11/4; 14/5; 11/4; 11/4; ; 13/5; 11/4; 11/4; 11/4; ; 13/5; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-14 18:20:30 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 21/20; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 1; 20/21; 1; 21/20; 1; 28/29; 1; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 12/5; 9/4; 12/5; 11/5; 12/5; 9/4; 21/10; 23/10; 47/20; 12/5; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 12/5; 23/10; 27/11; 9/4; 27/11; ; 23/10; ; 
AFC Wimbledon; 11/4; 14/5; 14/5; 13/5; 3; 13/5; 11/4; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 14/5; 11/4; 14/5; 11/4; 11/4; 31/10; 13/5; 11/4; 11/4; 11/4; ; 13/5; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-14 22:20:27 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Fleetwood; 1; 1; 21/20; 21/20; 1; 19/20; 21/20; 19/20; 21/20; 1; 1; 1; 1; 21/20; 21/20; 21/20; 1; 1; 20/21; 1; 21/20; 1; 28/29; 1; 28/29; ; 1; ; 
Draw; 23/10; 23/10; 11/5; 12/5; 12/5; 9/4; 12/5; 11/5; 12/5; 9/4; 21/10; 23/10; 47/20; 12/5; 9/4; 12/5; 9/4; 9/4; 12/5; 9/4; 12/5; 23/10; 27/11; 9/4; 27/11; ; 23/10; ; 
AFC Wimbledon; 11/4; 14/5; 14/5; 13/5; 3; 13/5; 11/4; 5/2; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 14/5; 11/4; 14/5; 11/4; 11/4; 31/10; 13/5; 11/4; 11/4; 11/4; ; 13/5; ; 
META; english/league-1/fleetwood-v-afc-wimbledon; 2017-03-15 02:22:55 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
