META; english/league-1/oxford-v-scunthorpe; 2017-03-11 22:21:58 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Scunthorpe; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-12 02:20:46 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Scunthorpe; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-12 06:20:40 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Scunthorpe; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-12 10:21:30 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Scunthorpe; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-12 14:20:53 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 5/4; 13/10; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; 4/6; ; 
Scunthorpe; 21/10; 19/10; ; ; ; ; 85/40; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-12 18:20:50 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 5/4; 13/10; ; ; ; ; 13/10; ; 13/10; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; 4/6; ; 
Scunthorpe; 21/10; 19/10; ; ; ; ; 85/40; ; 85/40; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-12 22:21:20 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 5/4; 13/10; ; ; ; ; 13/10; ; 13/10; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; 4/6; ; 
Scunthorpe; 21/10; 19/10; ; ; ; ; 85/40; ; 85/40; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-13 02:21:55 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 5/4; 13/10; ; ; ; ; 13/10; ; 13/10; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; 4/6; ; 
Scunthorpe; 21/10; 19/10; ; ; ; ; 85/40; ; 85/40; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 1; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-13 06:23:19 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 5/4; 13/10; ; ; 5/4; ; 13/10; 5/4; 13/10; ; 5/4; ; 5/4; 5/4; ; 5/4; ; ; 5/4; ; ; ; 23/18; ; ; 10/9; ; 
Scunthorpe; 21/10; 19/10; ; ; 9/4; ; 85/40; 21/10; 85/40; ; 21/10; ; 21/10; 21/10; ; 11/5; ; ; 2; ; ; ; 39/19; ; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 12/5; 5/2; ; 11/5; ; 47/20; 23/10; ; 12/5; ; ; 23/10; ; ; ; 40/17; ; ; 2; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-13 10:20:24 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 5/4; 13/10; ; ; 13/10; ; 13/10; 5/4; 13/10; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 5/4; ; 5/4; 5/4; ; ; 23/18; ; ; 10/9; ; 
Scunthorpe; 21/10; 19/10; ; ; 11/5; ; 85/40; 21/10; 85/40; ; 21/10; 21/10; 21/10; 21/10; ; 11/5; 39/19; ; 2; 39/19; ; ; 39/19; ; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 12/5; 5/2; ; 11/5; 5/2; 47/20; 23/10; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 40/17; ; ; 11/5; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-13 14:22:16 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 27/20; 13/10; 31/20; ; ; ; 6/4; 7/5; 7/5; 6/4; 29/20; 31/20; 7/5; 29/20; ; 7/5; 13/10; ; 5/4; 23/17; ; ; 23/18; ; ; 7/5; ; 
Scunthorpe; 19/10; 19/10; 37/20; ; ; ; 9/5; 9/5; 15/8; 9/5; 7/4; 9/5; 37/20; 7/4; ; 15/8; 19/10; ; 2; 19/10; ; ; 39/19; ; ; 7/4; ; 
Draw; 12/5; 23/10; 11/5; ; ; ; 12/5; 23/10; 23/10; 9/4; 21/10; 9/4; 47/20; 12/5; ; 12/5; 23/10; ; 23/10; 9/4; ; ; 40/17; ; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-13 18:23:26 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 11/8; 13/10; 13/10; 13/10; 23/20; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 5/4; 5/4; 6/5; 13/10; 5/4; 23/17; 11/8; 5/4; ; ; 11/8; 5/4; 11/8; ; 5/4; ; 
Scunthorpe; 2; 19/10; 11/5; 11/5; 11/5; 41/20; 11/5; 7/4; 11/5; 23/10; 21/10; 23/10; 11/5; 21/10; 23/10; 11/5; 21/10; 19/10; 19/10; 21/10; ; ; 19/10; 21/10; 19/10; ; 2; ; 
Draw; 12/5; 12/5; 9/4; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 9/4; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-13 22:21:18 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 6/5; 13/10; 13/10; 13/10; 23/20; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 6/5; 23/17; 23/20; 6/5; ; ; 13/11; 5/4; 13/11; ; 27/20; ; 
Scunthorpe; 2; 23/10; 11/5; 11/5; 11/5; 41/20; 11/5; 7/4; 11/5; 23/10; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 11/5; 19/10; 9/4; 11/5; ; ; 9/4; 21/10; 9/4; ; 2; ; 
Draw; 12/5; 23/10; 9/4; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 9/4; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-14 02:22:53 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 13/10; 13/10; 13/10; 23/20; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 6/5; 23/17; 23/20; 6/5; ; ; 13/11; 5/4; 13/11; ; 27/20; ; 
Scunthorpe; 2; 9/4; 11/5; 11/5; 11/5; 41/20; 11/5; 7/4; 11/5; 23/10; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 11/5; 19/10; 9/4; 11/5; ; ; 9/4; 21/10; 9/4; ; 2; ; 
Draw; 12/5; 23/10; 9/4; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 9/4; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-14 06:20:32 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 13/10; 13/10; 13/10; 23/20; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 23/20; 6/5; ; ; 13/11; 5/4; 13/11; ; 27/20; ; 
Scunthorpe; 2; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 7/4; 11/5; 23/10; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 11/5; ; ; 9/4; 21/10; 9/4; ; 2; ; 
Draw; 12/5; 23/10; 9/4; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 9/4; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-14 10:21:07 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 13/10; 13/10; 13/10; 23/20; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 23/20; 6/5; ; ; 13/11; 5/4; 13/11; ; 27/20; ; 
Scunthorpe; 2; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 7/4; 11/5; 23/10; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 11/5; ; ; 9/4; 21/10; 9/4; ; 2; ; 
Draw; 12/5; 23/10; 9/4; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 9/4; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 9/4; ; ; 40/17; 23/10; 40/17; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-14 14:23:21 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 13/10; 13/10; 13/10; 23/20; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 23/20; 6/5; ; 11/9; 13/11; 5/4; 13/11; ; 27/20; ; 
Scunthorpe; 2; 9/4; 11/5; 11/5; 11/5; 41/20; 11/5; 7/4; 11/5; 9/4; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 11/5; ; 2; 9/4; 21/10; 9/4; ; 19/10; ; 
Draw; 12/5; 23/10; 9/4; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 21/10; 21/10; 9/4; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; ; 40/17; 40/17; 23/10; 40/17; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-14 18:20:37 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 13/10; 13/10; 13/10; 23/20; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 23/20; 6/5; 34/25; 11/9; 13/11; 5/4; 13/11; ; 27/20; ; 
Scunthorpe; 2; 9/4; 11/5; 11/5; 11/5; 41/20; 11/5; 7/4; 11/5; 9/4; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 11/5; 56/25; 2; 9/4; 21/10; 9/4; ; 19/10; ; 
Draw; 12/5; 23/10; 9/4; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 21/10; 21/10; 9/4; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 40/17; 40/17; 23/10; 40/17; ; 21/10; ; 
META; english/league-1/oxford-v-scunthorpe; 2017-03-14 22:20:34 GMT+2; 2017-03-18 15:00; Nothing; Xlenovo
Oxford; 13/10; 5/4; 13/10; 13/10; 13/10; 23/20; 5/4; 13/10; 13/10; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 23/20; 6/5; 34/25; 11/9; 13/11; 5/4; 13/11; ; 27/20; ; 
Scunthorpe; 2; 9/4; 11/5; 11/5; 11/5; 41/20; 11/5; 7/4; 11/5; 9/4; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 11/5; 56/25; 2; 9/4; 21/10; 9/4; ; 19/10; ; 
Draw; 12/5; 23/10; 9/4; 11/5; 23/10; 9/4; 12/5; 11/5; 23/10; 23/10; 21/10; 21/10; 9/4; 12/5; 23/10; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 40/17; 40/17; 23/10; 40/17; ; 21/10; ; 
