META; english/league-1/oxford-v-sheffield-utd; 2017-03-04 22:22:30 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 11/10; 1; 11/10; ; 11/10; ; 21/20; ; ; ; ; ; ; ; ; 21/20; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 10/9; ; 
Oxford; 12/5; 11/4; 49/20; ; 13/5; ; 13/5; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; 10/9; ; 
META; english/league-1/oxford-v-sheffield-utd; 2017-03-05 02:21:54 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 11/10; 1; 11/10; 1; 11/10; ; 1; ; ; ; 4/5; ; ; 21/20; ; 1; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 12/5; 12/5; 12/5; 11/5; 5/2; ; 5/2; ; ; ; 12/5; ; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; ; 5/4; ; 
Oxford; 12/5; 11/4; 49/20; 11/5; 13/5; ; 27/10; ; ; ; 13/5; ; ; 13/5; ; 27/10; ; ; ; ; ; ; ; ; ; 13/10; ; 
META; english/league-1/oxford-v-sheffield-utd; 2017-03-05 06:21:32 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 11/10; 1; 11/10; 1; 11/10; ; 21/20; 1; ; ; 4/5; 21/20; ; 21/20; ; 21/20; ; ; 21/20; ; ; ; 13/12; ; ; 4/6; ; 
Draw; 12/5; 12/5; 12/5; 11/5; 5/2; ; 5/2; 12/5; ; ; 12/5; 12/5; ; 5/2; ; 5/2; ; ; 23/10; ; ; ; 40/17; ; ; 6/4; ; 
Oxford; 12/5; 11/4; 49/20; 11/5; 13/5; ; 13/5; 13/5; ; ; 13/5; 13/5; ; 5/2; ; 13/5; ; ; 12/5; ; ; ; 27/11; ; ; 6/4; ; 
META; english/league-1/oxford-v-sheffield-utd; 2017-03-05 10:23:30 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 11/10; 1; 21/20; 1; 21/20; ; 1; 1; ; ; 4/5; 21/20; 21/20; 1; ; 1; ; ; 21/20; ; 21/20; ; 13/12; ; ; 10/11; ; 
Draw; 12/5; 12/5; 12/5; 11/5; 5/2; ; 12/5; 12/5; ; ; 12/5; 12/5; 12/5; 13/5; ; 5/2; ; ; 23/10; ; 13/5; ; 40/17; ; ; 23/10; ; 
Oxford; 12/5; 11/4; 13/5; 11/5; 11/4; ; 29/10; 13/5; ; ; 13/5; 13/5; 13/5; 13/5; ; 27/10; ; ; 12/5; ; 57/20; ; 27/11; ; ; 11/4; ; 
META; english/league-1/oxford-v-sheffield-utd; 2017-03-05 14:23:47 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 17/20; 17/20; 10/11; 1; 19/20; 17/20; 9/10; 10/11; 10/11; 17/20; 4/5; 20/21; 9/10; 10/11; 10/11; 19/20; 10/11; ; 5/6; 10/11; 24/25; ; 7/8; 17/20; ; 9/10; ; 
Draw; 13/5; 13/5; 5/2; 11/5; 5/2; 5/2; 13/5; 23/10; 13/5; 13/5; 12/5; 5/2; 51/20; 13/5; 5/2; 13/5; 28/11; ; 5/2; 28/11; 141/50; ; 28/11; 5/2; ; 12/5; ; 
Oxford; 3; 3; 29/10; 11/5; 3; 11/4; 31/10; 12/5; 3; 3; 13/5; 14/5; 3; 29/10; 3; 14/5; 37/13; ; 14/5; 37/13; 59/20; ; 56/19; 3; ; 14/5; ; 
META; english/league-1/oxford-v-sheffield-utd; 2017-03-05 18:21:31 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 17/20; 17/20; 10/11; 1; 19/20; 17/20; 9/10; 10/11; 10/11; 17/20; 4/5; 10/11; 17/20; 10/11; 10/11; 19/20; 10/11; ; 5/6; 10/11; 24/25; 13/15; 7/8; 17/20; ; 9/10; 9/10; 10/11
Draw; 13/5; 13/5; 5/2; 11/5; 13/5; 5/2; 13/5; 23/10; 13/5; 13/5; 12/5; 12/5; 13/5; 13/5; 5/2; 13/5; 28/11; ; 5/2; 28/11; 141/50; 13/5; 28/11; 5/2; ; 12/5; 5/2; 5/2
Oxford; 3; 3; 29/10; 11/5; 3; 11/4; 31/10; 12/5; 3; 3; 13/5; 3; 3; 29/10; 3; 14/5; 37/13; ; 14/5; 37/13; 59/20; 27/10; 56/19; 3; ; 14/5; 14/5; 14/5
META; english/league-1/oxford-v-sheffield-utd; 2017-03-05 22:21:14 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 17/20; 17/20; 10/11; 1; 19/20; 17/20; 9/10; 10/11; 10/11; 17/20; 4/5; 10/11; 17/20; 19/20; 10/11; 10/11; 10/11; ; 5/6; 10/11; 24/25; 7/8; 7/8; 17/20; ; 9/10; 9/10; 10/11
Draw; 13/5; 13/5; 5/2; 11/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 12/5; 12/5; 13/5; 11/4; 5/2; 13/5; 28/11; ; 5/2; 28/11; 141/50; 13/5; 28/11; 5/2; ; 12/5; 5/2; 5/2
Oxford; 3; 3; 3; 11/5; 3; 11/4; 31/10; 3; 3; 3; 13/5; 3; 3; 16/5; 3; 3; 29/10; ; 14/5; 29/10; 59/20; 45/17; 56/19; 3; ; 14/5; 14/5; 14/5
META; english/league-1/oxford-v-sheffield-utd; 2017-03-06 02:21:27 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 17/20; 17/20; 19/20; 1; 19/20; 17/20; 19/20; 10/11; 10/11; 10/11; 4/5; 10/11; 9/10; 19/20; 10/11; 19/20; 10/11; ; 5/6; 10/11; 24/25; 7/8; 7/8; 10/11; ; 10/11; 10/11; 10/11
Draw; 13/5; 13/5; 5/2; 11/5; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 12/5; 5/2; 13/5; 27/10; 5/2; 13/5; 28/11; ; 5/2; 28/11; 141/50; 13/5; 28/11; 5/2; ; 5/2; 12/5; 5/2
Oxford; 3; 3; 29/10; 11/5; 3; 27/10; 29/10; 3; 3; 14/5; 13/5; 14/5; 29/10; 3; 3; 14/5; 29/10; ; 14/5; 29/10; 59/20; 45/17; 56/19; 14/5; ; 14/5; 14/5; 14/5
META; english/league-1/oxford-v-sheffield-utd; 2017-03-06 06:20:30 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 19/20; 10/11; 19/20; 1; 19/20; 17/20; 9/10; 10/11; 10/11; 10/11; 4/5; 20/21; 10/11; 19/20; 19/20; 19/20; 10/11; ; 5/6; 10/11; 49/50; 11/12; 7/8; 10/11; ; 10/11; 10/11; 10/11
Draw; 11/4; 12/5; 12/5; 11/5; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 12/5; 12/5; 51/20; 13/5; 5/2; 13/5; 27/11; ; 5/2; 27/11; 5/2; 5/2; 28/11; 12/5; ; 5/2; 12/5; 5/2
Oxford; 3; 16/5; 3; 11/5; 3; 11/4; 31/10; 12/5; 3; 14/5; 13/5; 3; 59/20; 16/5; 14/5; 14/5; 56/19; ; 14/5; 56/19; 13/4; 14/5; 56/19; 3; ; 3; 14/5; 14/5
META; english/league-1/oxford-v-sheffield-utd; 2017-03-06 10:20:35 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 19/20; 10/11; 19/20; 1; 19/20; 17/20; 19/20; 10/11; 10/11; 10/11; 4/5; 20/21; 10/11; 1; 19/20; 19/20; 10/11; 13/15; 5/6; 10/11; 49/50; 11/12; 7/8; 19/20; ; 10/11; 10/11; 20/21
Draw; 11/4; 12/5; 12/5; 11/5; 5/2; 12/5; 13/5; 23/10; 5/2; 12/5; 12/5; 12/5; 51/20; 5/2; 5/2; 13/5; 27/11; 5/2; 5/2; 27/11; 5/2; 5/2; 28/11; 12/5; ; 5/2; 12/5; 5/2
Oxford; 3; 16/5; 3; 11/5; 3; 14/5; 29/10; 12/5; 3; 3; 13/5; 3; 59/20; 3; 14/5; 14/5; 56/19; 3; 14/5; 56/19; 13/4; 14/5; 56/19; 14/5; ; 3; 14/5; 14/5
META; english/league-1/oxford-v-sheffield-utd; 2017-03-06 14:21:55 GMT+2; 2017-03-07 19:45; Nothing; Xlenovo
Sheffield Utd; 19/20; 19/20; 19/20; 19/20; 19/20; 17/20; 19/20; 10/11; 10/11; 10/11; 4/5; 20/21; 10/11; 1; 19/20; 19/20; 10/11; 13/15; 5/6; 10/11; 49/50; 11/12; 7/8; 19/20; ; 10/11; 10/11; 20/21
