META; english/league-1/peterborough-v-southend; 2017-02-18 14:25:14 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Peterborough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-18 18:22:16 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Peterborough; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; 
Southend; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-18 22:22:26 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 5/4; 5/4; 13/10; ; 13/10; ; 13/10; ; ; 5/4; 5/4; ; 5/4; 5/4; ; 13/10; ; ; ; ; ; ; ; ; ; 5/4; ; 
Southend; 2; 2; 41/20; ; 11/5; ; 2; ; ; 2; 2; ; 2; 2; ; 2; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 5/2; 5/2; 12/5; ; 12/5; ; 5/2; ; ; 12/5; 23/10; ; 5/2; 5/2; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-19 02:23:43 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 5/4; 5/4; 13/10; ; 13/10; ; 13/10; 23/20; ; 5/4; 5/4; 13/10; 5/4; 13/10; ; 13/10; 13/10; ; ; 13/10; ; ; ; ; ; 5/4; ; 
Southend; 21/10; 2; 2; ; 11/5; ; 2; 19/10; ; 2; 19/10; 2; 2; 2; ; 2; 39/19; ; ; 39/19; ; ; ; ; ; 19/10; ; 
Draw; 12/5; 5/2; 12/5; ; 12/5; ; 5/2; 11/5; ; 12/5; 9/4; 12/5; 5/2; 12/5; ; 5/2; 23/10; ; ; 23/10; ; ; ; ; ; 23/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-19 06:21:13 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 5/4; 5/4; 13/10; ; 13/10; ; 13/10; 23/20; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; ; 13/10; 13/10; ; 13/10; 13/10; ; ; 13/10; ; ; 5/4; ; 
Southend; 21/10; 2; 2; ; 11/5; ; 2; 19/10; 2; 2; 19/10; 2; 2; 2; ; 2; 39/19; ; 2; 39/19; ; ; 2; ; ; 19/10; ; 
Draw; 12/5; 5/2; 12/5; ; 12/5; ; 5/2; 11/5; 5/2; 12/5; 9/4; 12/5; 5/2; 12/5; ; 5/2; 40/17; ; 12/5; 40/17; ; ; 12/5; ; ; 23/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-19 10:22:21 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 5/4; 5/4; 13/10; ; 13/10; 5/4; 13/10; 23/20; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; ; 13/10; 13/10; ; ; 13/10; ; ; 5/4; ; 
Southend; 21/10; 2; 2; ; 21/10; 39/20; 2; 19/10; 2; 2; 19/10; 2; 2; 2; 21/10; 2; 39/19; ; 2; 39/19; ; ; 2; ; ; 19/10; ; 
Draw; 12/5; 5/2; 12/5; ; 12/5; 11/5; 5/2; 11/5; 5/2; 12/5; 9/4; 12/5; 5/2; 12/5; 23/10; 5/2; 40/17; ; 12/5; 40/17; ; ; 12/5; ; ; 23/10; ; 
META; english/league-1/peterborough-v-southend; 2017-02-19 14:22:55 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Peterborough; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 11/8; 21/17; 13/10; ; ; 5/4; 6/5; 
Southend; 21/10; 2; 2; 2; 11/5; 19/10; 85/40; 15/8; 2; 2; 19/10; 21/10; 2; 2; 21/10; 11/5; 39/19; 2; 2; 39/19; 111/50; 11/6; 2; ; ; 19/10; 15/8; 
Draw; 12/5; 12/5; 12/5; 12/5; 12/5; 9/4; 12/5; 9/4; 5/2; 5/2; 23/10; 9/4; 5/2; 12/5; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; 12/5; 40/17; 12/5; ; ; 23/10; 2; 
META; english/league-1/peterborough-v-southend; 2017-02-19 18:24:01 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
