META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-09 11:59:35 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Scunthorpe; 3/5; 8/13; 13/20; 8/13; 8/13; 4/7; 13/20; 4/7; 8/13; 13/20; 8/13; 6/10; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 4/7; 8/13; 17/25; 10/17; 5/8; 8/13; ; 4/6; 4/7; 8/13
Draw; 14/5; 14/5; 14/5; 14/5; 3; 27/10; 3; 11/4; 3; 14/5; 27/10; 3; 59/20; 14/5; 3; 3; 37/13; 27/10; 14/5; 37/13; 33/10; 11/4; 56/19; 11/4; ; 14/5; 11/4; 3
Shrewsbury; 19/4; 9/2; 17/4; 9/2; 4; 4; 17/4; 9/2; 9/2; 17/4; 21/5; 9/2; 9/2; 9/2; 17/4; 9/2; 43/10; 9/2; 4; 43/10; 41/10; 50/13; 41/10; 9/2; ; 22/5; 9/2; 23/5
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-09 18:22:32 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Scunthorpe; 3/5; 8/13; 13/20; 8/13; 8/13; 4/7; 13/20; 4/7; 8/13; 13/20; 8/13; 6/10; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 4/7; 8/13; 17/25; 10/17; 5/8; 8/13; ; 4/6; 4/7; 8/13
Draw; 14/5; 14/5; 14/5; 14/5; 3; 27/10; 3; 11/4; 3; 14/5; 3; 3; 59/20; 29/10; 3; 3; 37/13; 27/10; 14/5; 37/13; 33/10; 11/4; 56/19; 11/4; ; 14/5; 11/4; 3
Shrewsbury; 19/4; 17/4; 17/4; 9/2; 4; 4; 21/5; 9/2; 9/2; 17/4; 17/4; 9/2; 9/2; 24/5; 17/4; 9/2; 43/10; 9/2; 4; 43/10; 41/10; 50/13; 41/10; 9/2; ; 21/5; 22/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-09 22:21:03 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Scunthorpe; 3/5; 4/6; 13/20; 8/13; 8/13; 4/7; 13/20; 13/20; 8/13; 13/20; 8/13; 6/10; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 4/7; 8/13; 17/25; 10/17; 5/8; 8/13; ; 8/13; 4/7; 8/13
Draw; 14/5; 29/10; 14/5; 14/5; 3; 27/10; 3; 14/5; 3; 14/5; 3; 3; 59/20; 29/10; 3; 3; 37/13; 27/10; 14/5; 37/13; 33/10; 11/4; 56/19; 11/4; ; 14/5; 11/4; 3
Shrewsbury; 19/4; 4; 17/4; 9/2; 4; 4; 21/5; 4; 9/2; 17/4; 17/4; 9/2; 9/2; 24/5; 17/4; 9/2; 43/10; 9/2; 4; 43/10; 41/10; 50/13; 41/10; 9/2; ; 23/5; 22/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-10 02:21:56 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Scunthorpe; 4/6; 4/6; 13/20; 8/13; 8/13; 4/7; 13/20; 13/20; 8/13; 13/20; 8/13; 6/10; 8/13; 13/20; 8/13; 8/13; ; 8/13; 4/7; 8/13; 17/25; 10/17; 5/8; 8/13; ; 8/13; 4/7; 8/13
Draw; 3; 29/10; 14/5; 14/5; 3; 27/10; 3; 14/5; 3; 14/5; 3; 3; 59/20; 3; 3; 3; ; 27/10; 14/5; 29/10; 33/10; 11/4; 56/19; 11/4; ; 14/5; 14/5; 3
Shrewsbury; 19/4; 4; 17/4; 9/2; 4; 4; 21/5; 4; 9/2; 17/4; 17/4; 9/2; 9/2; 24/5; 17/4; 9/2; ; 9/2; 4; 43/10; 41/10; 50/13; 41/10; 17/4; ; 23/5; 22/5; 9/2
META; english/league-1/scunthorpe-v-shrewsbury; 2017-02-10 06:20:40 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Scunthorpe; 4/6; 4/6; 13/20; 8/13; 8/13; 4/7; 13/20; 13/20; 8/13; 13/20; 8/13; 6/10; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 4/7; 8/13; 17/25; 10/17; 5/8; 8/13; ; 8/13; 4/7; 8/13
