META; english/league-2/barnet-v-crawley; 2017-03-05 02:22:52 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-crawley; 2017-03-05 06:22:21 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-crawley; 2017-03-05 10:24:30 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; ; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-crawley; 2017-03-05 14:24:47 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; 6/5; 21/20; ; ; ; ; 23/20; ; ; ; 23/20; ; ; ; ; 15/13; ; ; 6/5; ; 5/4; ; 6/5; ; ; ; ; 
Crawley; 11/5; 5/2; ; ; ; ; 12/5; ; ; ; 21/10; ; ; ; ; 12/5; ; ; 11/5; ; 119/50; ; 11/5; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 11/5; ; ; ; ; 12/5; ; ; 12/5; ; 5/2; ; 12/5; ; ; ; ; 
META; english/league-2/barnet-v-crawley; 2017-03-05 18:22:16 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; 6/5; 21/20; ; ; 6/5; ; 23/20; ; 6/5; ; 23/20; 23/20; ; ; 6/5; 6/5; 15/13; ; 6/5; 15/13; 5/4; ; 6/5; ; ; ; ; 
Crawley; 11/5; 5/2; ; ; 23/10; ; 23/10; ; 23/10; ; 21/10; 23/10; ; ; 11/5; 23/10; 28/13; ; 11/5; 28/13; 119/50; ; 11/5; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 11/5; 23/10; ; ; 12/5; 12/5; 12/5; ; 12/5; 12/5; 5/2; ; 12/5; ; ; ; ; 
META; english/league-2/barnet-v-crawley; 2017-03-05 22:21:51 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; 6/5; 21/20; ; ; 6/5; ; 23/20; ; 6/5; ; 23/20; 23/20; 23/20; ; 6/5; 6/5; 15/13; ; 6/5; 15/13; 5/4; ; 6/5; ; ; 8/11; ; 
Crawley; 11/5; 5/2; ; ; 23/10; ; 23/10; ; 23/10; ; 21/10; 23/10; 9/4; ; 11/5; 23/10; 28/13; ; 11/5; 28/13; 119/50; ; 11/5; ; ; 6/4; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 11/5; 23/10; 12/5; ; 12/5; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; 8/5; ; 
META; english/league-2/barnet-v-crawley; 2017-03-06 02:22:01 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; 6/5; 21/20; ; ; 6/5; ; 23/20; ; 6/5; ; 23/20; 23/20; 23/20; 23/20; 6/5; 6/5; 15/13; ; 6/5; 15/13; 5/4; ; 6/5; ; ; 10/11; ; 
Crawley; 11/5; 5/2; ; ; 23/10; ; 23/10; ; 23/10; ; 21/10; 23/10; 9/4; 23/10; 11/5; 23/10; 28/13; ; 11/5; 28/13; 119/50; ; 11/5; ; ; 17/10; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 11/5; 23/10; 12/5; 12/5; 12/5; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/barnet-v-crawley; 2017-03-06 06:21:04 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; 6/5; 21/20; ; ; 6/5; ; 23/20; ; 6/5; ; 23/20; 23/20; 23/20; 23/20; 6/5; 6/5; 15/13; ; 6/5; 15/13; 5/4; ; 6/5; ; ; 10/11; ; 
Crawley; 11/5; 5/2; ; ; 23/10; ; 23/10; ; 23/10; ; 21/10; 23/10; 9/4; 23/10; 11/5; 23/10; 28/13; ; 11/5; 28/13; 119/50; ; 11/5; ; ; 7/5; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 11/5; 23/10; 12/5; 12/5; 12/5; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/barnet-v-crawley; 2017-03-06 10:21:11 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; 6/5; 21/20; ; ; 6/5; ; 23/20; ; 6/5; ; 23/20; 23/20; 23/20; 23/20; 6/5; 6/5; 15/13; ; 6/5; 15/13; 5/4; ; 6/5; ; ; 10/11; ; 
Crawley; 11/5; 5/2; ; ; 23/10; ; 23/10; ; 23/10; ; 21/10; 23/10; 9/4; 23/10; 11/5; 23/10; 28/13; ; 11/5; 28/13; 119/50; ; 11/5; ; ; 5/4; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 12/5; ; 11/5; 23/10; 12/5; 12/5; 12/5; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/barnet-v-crawley; 2017-03-06 14:22:36 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Barnet; 6/5; 21/20; ; ; 6/5; ; 23/20; 11/10; 6/5; ; 23/20; 23/20; 23/20; 23/20; 6/5; 6/5; 15/13; 15/13; 6/5; 15/13; 5/4; ; 6/5; ; ; 1; ; 
Crawley; 11/5; 5/2; ; ; 23/10; ; 23/10; 9/4; 23/10; ; 21/10; 23/10; 9/4; 23/10; 11/5; 23/10; 28/13; 11/5; 11/5; 28/13; 119/50; ; 11/5; ; ; 2; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; 12/5; ; 11/5; 23/10; 12/5; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/barnet-v-crawley; 2017-03-06 18:23:09 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
