META; english/league-2/barnet-v-portsmouth; 2017-02-12 02:24:30 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Portsmouth; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-portsmouth; 2017-02-12 06:22:25 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Portsmouth; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-portsmouth; 2017-02-12 10:22:49 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Portsmouth; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-portsmouth; 2017-02-12 14:22:41 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Portsmouth; 10/11; 1; ; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Barnet; 14/5; 13/5; ; ; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-portsmouth; 2017-02-12 18:21:55 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
Portsmouth; 10/11; 1; ; ; 19/20; ; 37/40; ; ; ; 10/11; ; ; ; ; 19/20; 10/11; ; ; 10/11; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 13/5; ; 13/5; ; ; ; 23/10; ; ; ; ; 5/2; 28/11; ; ; 28/11; ; ; ; ; ; ; ; 
Barnet; 14/5; 13/5; ; ; 3; ; 3; ; ; ; 29/10; ; ; ; ; 14/5; 11/4; ; ; 11/4; ; ; ; ; ; ; ; 
META; english/league-2/barnet-v-portsmouth; 2017-02-12 22:22:47 GMT+2; 2017-02-18 15:00; Nothing; Xlenovo
