META; english/league-2/cheltenham-v-grimsby; 2017-04-14 18:22:07 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Grimsby; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-14 22:21:45 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 21/20; ; 11/10; ; 21/20; ; ; ; ; ; ; 21/20; ; 21/20; 21/20; ; ; 21/20; ; ; ; ; ; ; 4/6; ; 
Grimsby; 12/5; 13/5; 12/5; ; 5/2; ; 5/2; ; ; ; ; ; ; 5/2; ; 5/2; 12/5; ; ; 12/5; ; ; ; ; ; ; 6/4; ; 
Draw; 5/2; 23/10; 47/20; ; 13/5; ; 13/5; ; ; ; ; ; ; 5/2; ; 13/5; 5/2; ; ; 5/2; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-15 02:20:50 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 21/20; ; 11/10; ; 21/20; 10/11; ; ; ; ; ; 21/20; ; 21/20; 21/20; ; ; ; ; ; ; ; ; ; 8/11; ; 
Grimsby; 12/5; 13/5; 12/5; ; 5/2; ; 5/2; 12/5; ; ; ; ; ; 5/2; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; 19/10; ; 
Draw; 5/2; 23/10; 47/20; ; 13/5; ; 13/5; 12/5; ; ; ; ; ; 5/2; ; 5/2; 5/2; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-15 06:20:45 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 21/20; ; 11/10; ; 21/20; 10/11; 11/10; ; ; 21/20; ; 21/20; ; 21/20; 21/20; ; 21/20; 21/20; ; ; ; ; ; ; 4/6; ; 
Grimsby; 12/5; 13/5; 12/5; ; 5/2; ; 5/2; 12/5; 5/2; ; ; 5/2; ; 5/2; ; 5/2; 12/5; ; 12/5; 12/5; ; ; ; ; ; ; 6/4; ; 
Draw; 5/2; 23/10; 47/20; ; 13/5; ; 13/5; 12/5; 13/5; ; ; 12/5; ; 5/2; ; 13/5; 5/2; ; 5/2; 5/2; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-15 10:20:51 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 21/20; 1; 11/10; ; 21/20; 10/11; 11/10; ; ; 21/20; ; 21/20; ; 21/20; 21/20; ; 21/20; 21/20; 11/10; ; 21/20; ; 21/20; ; 5/6; ; 
Draw; 5/2; 23/10; 47/20; 5/2; 13/5; ; 13/5; 12/5; 13/5; ; ; 12/5; ; 5/2; ; 13/5; 5/2; ; 5/2; 5/2; 13/5; ; 5/2; ; 5/2; ; 11/5; ; 
Grimsby; 12/5; 13/5; 12/5; 13/5; 5/2; ; 5/2; 12/5; 5/2; ; ; 5/2; ; 5/2; ; 5/2; 27/11; ; 12/5; 27/11; 67/25; ; 27/11; ; 27/11; ; 9/5; ; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-15 14:20:51 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 1; 1; 1; 11/10; ; 11/10; 10/11; 11/10; ; ; 11/10; 1; 21/20; 11/10; 1; 21/20; ; 21/20; 21/20; 11/10; ; 21/20; ; 21/20; ; 4/6; ; 
Draw; 5/2; 23/10; 47/20; 5/2; 13/5; ; 13/5; 12/5; 5/2; ; ; 23/10; 51/20; 13/5; 12/5; 13/5; 27/11; ; 5/2; 27/11; 13/5; ; 5/2; ; 5/2; ; 11/5; ; 
Grimsby; 12/5; 13/5; 5/2; 13/5; 12/5; ; 12/5; 12/5; 5/2; ; ; 13/5; 5/2; 12/5; 12/5; 13/5; 27/11; ; 12/5; 27/11; 67/25; ; 27/11; ; 27/11; ; 7/4; ; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-15 18:20:58 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 21/20; 1; 1; 21/20; 1; 11/10; 10/11; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 11/10; ; 21/20; ; 21/20; ; 9/10; 1; 
Grimsby; 12/5; 13/5; 5/2; 13/5; 13/5; 9/4; 12/5; 12/5; 5/2; 13/5; 12/5; 13/5; 51/20; 13/5; 12/5; 13/5; 27/11; ; 12/5; 27/11; 67/25; ; 27/11; ; 27/11; ; 19/10; 11/5; 
Draw; 5/2; 12/5; 23/10; 5/2; 13/5; 23/10; 13/5; 12/5; 5/2; ; 9/4; 12/5; 49/20; 27/10; 12/5; 5/2; 27/11; ; 5/2; 27/11; 13/5; ; 5/2; ; 5/2; ; 21/10; 21/10; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-15 22:21:02 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 21/20; 21/20; 1; 11/10; 1; 11/10; 10/11; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; ; 21/20; 11/10; 21/20; ; 10/11; 1; 
Draw; 5/2; 12/5; 11/5; 5/2; 12/5; 9/4; 5/2; 12/5; 5/2; 23/10; 11/5; 9/4; 5/2; 5/2; 12/5; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; ; 5/2; 23/10; 5/2; ; 21/10; 19/10; 
Grimsby; 12/5; 13/5; 13/5; 13/5; 13/5; 23/10; 5/2; 12/5; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 12/5; 13/5; 28/11; 5/2; 12/5; 28/11; 67/25; ; 27/11; 5/2; 27/11; ; 19/10; 23/10; 
META; english/league-2/cheltenham-v-grimsby; 2017-04-16 02:20:16 GMT+3; 2017-04-17 13:00; Nothing; Xlenovo
Cheltenham; 21/20; 11/10; 21/20; 1; 11/10; 1; 11/10; 10/11; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; ; 20/21; 1; 
Draw; 5/2; 23/10; 11/5; 5/2; 12/5; 9/4; 5/2; 12/5; 5/2; 23/10; 11/5; 9/4; 5/2; 5/2; 12/5; 5/2; 40/17; 12/5; 5/2; 40/17; 13/5; 12/5; 5/2; 23/10; 5/2; ; 21/10; 19/10; 
