META; english/league-2/leyton-orient-v-grimsby; 2017-03-05 02:23:18 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-05 06:22:36 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-05 10:24:56 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-05 14:25:11 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 6/4; 13/10; ; ; ; ; 29/20; ; ; ; 6/4; ; ; ; ; 6/4; ; ; 7/5; ; 31/20; ; 31/21; ; ; ; ; 
Leyton Orient; 17/10; 19/10; ; ; ; ; 15/8; ; ; ; 17/10; ; ; ; ; 9/5; ; ; 7/4; ; 15/8; ; 7/4; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 21/10; ; ; ; ; 12/5; ; ; 12/5; ; 5/2; ; 12/5; ; ; ; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-05 18:22:36 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 6/4; 13/10; ; ; 6/4; ; 6/4; ; 6/4; ; 6/4; 29/20; ; ; 6/4; 6/4; 16/11; ; 7/5; 16/11; 31/20; ; 31/21; ; ; ; ; 
Leyton Orient; 17/10; 19/10; ; ; 9/5; ; 9/5; ; 9/5; ; 17/10; 15/8; ; ; 9/5; 9/5; 17/10; ; 7/4; 17/10; 15/8; ; 7/4; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 5/2; ; 21/10; 23/10; ; ; 23/10; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; ; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-05 22:22:08 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 6/4; 13/10; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 6/4; 29/20; ; ; 6/4; 6/4; 16/11; ; 7/5; 16/11; 31/20; ; 31/21; ; ; 20/21; ; 
Leyton Orient; 17/10; 19/10; 17/10; ; 9/5; ; 9/5; ; 9/5; ; 17/10; 15/8; ; ; 9/5; 9/5; 17/10; ; 7/4; 17/10; 15/8; ; 7/4; ; ; 23/20; ; 
Draw; 12/5; 23/10; 43/20; ; 12/5; ; 12/5; ; 5/2; ; 21/10; 23/10; ; ; 23/10; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; 6/4; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-06 02:22:14 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 6/4; 13/10; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 6/4; 29/20; ; 6/4; 6/4; 6/4; 16/11; ; 7/5; 16/11; 31/20; ; 31/21; ; ; 6/5; ; 
Leyton Orient; 17/10; 19/10; 17/10; ; 9/5; ; 9/5; ; 9/5; ; 17/10; 15/8; ; 9/5; 9/5; 9/5; 17/10; ; 7/4; 17/10; 15/8; ; 7/4; ; ; 27/20; ; 
Draw; 12/5; 23/10; 43/20; ; 12/5; ; 12/5; ; 5/2; ; 21/10; 23/10; ; 23/10; 23/10; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-06 06:21:18 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 6/4; 13/10; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 6/4; 29/20; ; 6/4; 6/4; 6/4; 16/11; ; 7/5; 16/11; 31/20; ; 31/21; ; ; 6/5; ; 
Leyton Orient; 17/10; 19/10; 17/10; ; 9/5; ; 9/5; ; 9/5; ; 17/10; 15/8; ; 9/5; 9/5; 9/5; 17/10; ; 7/4; 17/10; 15/8; ; 7/4; ; ; 27/20; ; 
Draw; 12/5; 23/10; 43/20; ; 12/5; ; 12/5; ; 5/2; ; 21/10; 23/10; ; 23/10; 23/10; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-06 10:21:25 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 6/4; 13/10; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 6/4; 29/20; ; 6/4; 6/4; 6/4; 16/11; ; 7/5; 16/11; 31/20; ; 31/21; ; ; 6/5; ; 
Leyton Orient; 17/10; 19/10; 17/10; ; 9/5; ; 9/5; ; 9/5; ; 17/10; 15/8; ; 9/5; 9/5; 9/5; 17/10; ; 7/4; 17/10; 15/8; ; 7/4; ; ; 27/20; ; 
Draw; 12/5; 23/10; 43/20; ; 12/5; ; 12/5; ; 5/2; ; 21/10; 23/10; ; 23/10; 23/10; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-06 14:22:56 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 6/4; 13/10; 6/4; ; 6/4; ; 6/4; 7/5; 6/4; ; 6/4; 29/20; ; 6/4; 6/4; 6/4; 16/11; 6/4; 7/5; 16/11; 31/20; ; 31/21; ; ; 11/8; ; 
Leyton Orient; 17/10; 19/10; 17/10; ; 9/5; ; 9/5; 7/4; 9/5; ; 17/10; 15/8; ; 9/5; 9/5; 9/5; 17/10; 28/17; 7/4; 17/10; 15/8; ; 7/4; ; ; 13/8; ; 
Draw; 12/5; 23/10; 43/20; ; 12/5; ; 12/5; 12/5; 5/2; ; 21/10; 23/10; ; 23/10; 23/10; 12/5; 40/17; 12/5; 12/5; 40/17; 5/2; ; 12/5; ; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-06 18:23:33 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 13/10; 13/10; 27/20; 11/8; 13/10; 5/4; 13/10; 5/4; 7/5; 13/10; 27/20; 11/8; 13/10; 13/10; 11/8; 11/8; 13/10; 5/4; 7/5; 13/10; 143/100; 21/17; 31/21; ; ; 6/5; ; 
Leyton Orient; 2; 21/10; 39/20; 2; 21/10; 19/10; 85/40; 19/10; 2; 2; 2; 21/10; 2; 21/10; 19/10; 2; 2; 2; 7/4; 2; 51/25; 20/11; 7/4; ; ; 19/10; ; 
Draw; 12/5; 23/10; 43/20; 9/4; 12/5; 11/5; 12/5; 2; 23/10; 9/4; 21/10; 21/10; 47/20; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 9/4; 5/2; 40/17; 12/5; ; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-06 22:22:28 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 13/10; 13/10; 13/10; 11/8; 13/10; 5/4; 13/10; 5/4; 7/5; 13/10; 27/20; 11/8; 13/10; 13/10; 11/8; 11/8; 13/10; 5/4; 7/5; 13/10; 143/100; 21/17; 31/21; 13/10; ; 5/4; ; 
Leyton Orient; 2; 2; 41/20; 2; 21/10; 19/10; 85/40; 19/10; 2; 21/10; 2; 11/5; 2; 21/10; 19/10; 2; 39/19; 2; 7/4; 39/19; 51/25; 20/11; 7/4; 21/10; ; 19/10; ; 
Draw; 12/5; 9/4; 21/10; 9/4; 12/5; 11/5; 12/5; 2; 23/10; 11/5; 21/10; 21/10; 23/10; 9/4; 12/5; 23/10; 11/5; 12/5; 12/5; 11/5; 5/2; 40/17; 12/5; 11/5; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-07 02:22:46 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 13/10; 13/10; 13/10; 11/8; 13/10; 5/4; 13/10; 5/4; 7/5; 13/10; 27/20; 11/8; 13/10; 13/10; 11/8; 11/8; 13/10; 5/4; 7/5; 13/10; 143/100; 21/17; 31/21; 13/10; ; 5/4; ; 
Leyton Orient; 2; 2; 41/20; 2; 21/10; 19/10; 85/40; 19/10; 2; 21/10; 2; 11/5; 2; 21/10; 19/10; 2; 39/19; 2; 7/4; 39/19; 51/25; 20/11; 7/4; 21/10; ; 19/10; ; 
Draw; 12/5; 9/4; 21/10; 9/4; 12/5; 11/5; 12/5; 2; 23/10; 11/5; 21/10; 21/10; 23/10; 9/4; 12/5; 23/10; 11/5; 12/5; 12/5; 11/5; 5/2; 40/17; 12/5; 11/5; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-07 06:21:18 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 13/10; 13/10; 13/10; 11/8; 13/10; 5/4; 13/10; 5/4; 7/5; 13/10; 27/20; 11/8; 13/10; 13/10; 11/8; 11/8; 13/10; 5/4; 13/10; 13/10; 143/100; 21/17; 4/3; 13/10; ; 6/5; ; 
Leyton Orient; 2; 2; 41/20; 2; 21/10; 19/10; 85/40; 19/10; 2; 21/10; 2; 11/5; 2; 21/10; 19/10; 2; 39/19; 2; 19/10; 39/19; 51/25; 20/11; 37/19; 21/10; ; 19/10; ; 
Draw; 12/5; 9/4; 21/10; 9/4; 12/5; 11/5; 12/5; 2; 23/10; 11/5; 21/10; 21/10; 23/10; 9/4; 12/5; 23/10; 11/5; 12/5; 23/10; 11/5; 5/2; 40/17; 40/17; 11/5; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-07 10:21:28 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 13/10; 13/10; 13/10; 11/8; 13/10; 5/4; 13/10; 5/4; 7/5; 13/10; 27/20; 11/8; 13/10; 13/10; 11/8; 11/8; 13/10; 5/4; 13/10; 13/10; 143/100; 21/17; 4/3; 13/10; ; 6/5; ; 
Leyton Orient; 2; 2; 41/20; 2; 21/10; 19/10; 85/40; 19/10; 2; 21/10; 2; 11/5; 2; 21/10; 19/10; 2; 39/19; 2; 19/10; 39/19; 51/25; 20/11; 37/19; 21/10; ; 19/10; ; 
Draw; 12/5; 9/4; 21/10; 9/4; 12/5; 43/20; 12/5; 2; 23/10; 11/5; 21/10; 21/10; 23/10; 23/10; 12/5; 23/10; 11/5; 12/5; 23/10; 11/5; 5/2; 40/17; 40/17; 11/5; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-07 14:23:11 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 13/10; 13/10; 13/10; 11/8; 13/10; 5/4; 13/10; 5/4; 7/5; 13/10; 27/20; 11/8; 13/10; 13/10; 11/8; 11/8; 13/10; 5/4; 13/10; 13/10; 143/100; 21/17; 4/3; 13/10; ; 6/5; ; 
Leyton Orient; 2; 21/10; 41/20; 2; 21/10; 19/10; 85/40; 19/10; 2; 21/10; 2; 11/5; 2; 21/10; 19/10; 2; 39/19; 2; 19/10; 39/19; 51/25; 20/11; 37/19; 21/10; ; 19/10; ; 
Draw; 12/5; 23/10; 21/10; 9/4; 12/5; 43/20; 12/5; 2; 23/10; 11/5; 21/10; 21/10; 23/10; 23/10; 12/5; 23/10; 11/5; 12/5; 23/10; 11/5; 5/2; 40/17; 40/17; 11/5; ; 21/10; ; 
META; english/league-2/leyton-orient-v-grimsby; 2017-03-07 18:23:19 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 13/10; 13/10; 13/10; 11/8; 13/10; 5/4; 13/10; 5/4; 7/5; 13/10; 27/20; 11/8; 13/10; 13/10; 11/8; 11/8; 13/10; 5/4; 13/10; 13/10; 143/100; 21/17; 4/3; 13/10; ; 6/5; ; 11/8
Leyton Orient; 2; 21/10; 41/20; 2; 21/10; 19/10; 85/40; 19/10; 2; 21/10; 2; 11/5; 2; 21/10; 19/10; 2; 39/19; 2; 19/10; 39/19; 51/25; 20/11; 37/19; 21/10; ; 19/10; ; 9/4
Draw; 12/5; 23/10; 21/10; 9/4; 12/5; 43/20; 12/5; 2; 23/10; 11/5; 21/10; 21/10; 23/10; 23/10; 12/5; 23/10; 11/5; 12/5; 23/10; 11/5; 5/2; 40/17; 40/17; 11/5; ; 2; ; 23/10
META; english/league-2/leyton-orient-v-grimsby; 2017-03-07 22:24:48 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Grimsby; 13/10; 13/10; 13/10; 11/8; 13/10; 5/4; 13/10; 5/4; 7/5; 13/10; 27/20; 11/8; 13/10; 13/10; 11/8; 11/8; 13/10; 5/4; 13/10; 13/10; 143/100; 21/17; 4/3; 13/10; ; 6/5; ; 11/8
