META; english/league-2/portsmouth-v-cambridge-united; 2017-04-18 14:20:59 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 19/20; ; 19/20; ; 20/21; 10/11; ; 20/21; ; 20/21; 19/20; ; ; 19/20; 1; 1; 21/20; 1; 21/20; ; 13/12; ; 13/12; ; ; ; 
Draw; ; ; 23/10; ; 12/5; ; 5/2; 11/5; ; 12/5; ; 23/10; 49/20; ; ; 5/2; 40/17; 12/5; 12/5; 40/17; 13/5; ; 27/11; ; 27/11; ; ; ; 
Cambridge United; ; ; 27/10; ; 3; ; 3; 5/2; ; 14/5; ; 3; 57/20; ; ; 29/10; 45/17; 13/5; 23/10; 45/17; 57/20; ; 40/17; ; 40/17; ; ; ; 
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-18 18:20:59 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 5/6; ; 4/5; ; 5/6; 10/11; ; 5/6; ; 5/6; 4/5; ; ; 11/13; 4/5; 4/5; 8/11; 4/5; 9/10; ; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 11/5; ; 5/2; ; 5/2; 51/20; ; ; 13/5; 5/2; 5/2; 5/2; 5/2; 27/10; ; 28/11; ; 28/11; ; ; ; 12/5
Cambridge United; ; ; 16/5; ; 10/3; ; 16/5; 5/2; ; 10/3; ; 10/3; 10/3; ; ; 16/5; 33/10; 10/3; 7/2; 33/10; 10/3; ; 7/2; ; 7/2; ; ; ; 3
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-18 22:20:54 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 5/6; ; 4/5; ; 5/6; 10/11; ; 5/6; ; 20/23; 4/5; ; ; 11/13; 4/5; 4/5; 8/11; 4/5; 9/10; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 11/5; ; 5/2; ; 12/5; 51/20; ; ; 13/5; 5/2; 5/2; 5/2; 5/2; 27/10; 27/11; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; 16/5; 5/2; ; 10/3; ; 7/2; 10/3; ; ; 16/5; 33/10; 10/3; 7/2; 33/10; 10/3; 14/5; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-19 02:20:46 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 5/6; ; 4/5; ; 5/6; 4/5; ; 5/6; ; 20/23; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 9/10; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 12/5; 51/20; ; ; 27/10; 5/2; 5/2; 5/2; 5/2; 27/10; 27/11; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; 16/5; 10/3; ; 10/3; ; 7/2; 10/3; ; ; 10/3; 33/10; 10/3; 7/2; 33/10; 10/3; 14/5; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-19 06:20:45 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 5/6; 4/5; ; 5/6; ; 20/23; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 9/10; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 12/5; 51/20; ; ; 27/10; 5/2; 5/2; 5/2; 5/2; 27/10; 27/11; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; 16/5; 10/3; ; 10/3; ; 7/2; 10/3; ; ; 10/3; 57/17; 10/3; 7/2; 57/17; 10/3; 14/5; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-19 10:20:45 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 5/6; 4/5; ; 5/6; ; 20/23; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 9/10; 11/13; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 5/2; 51/20; ; ; 13/5; 5/2; 5/2; 5/2; 5/2; 27/10; 5/2; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 16/5; ; 10/3; ; 16/5; 10/3; ; 10/3; ; 10/3; 10/3; ; ; 10/3; 57/17; 10/3; 7/2; 57/17; 10/3; 29/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-19 14:20:46 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 4/5; ; 4/5; 4/5; ; 5/6; ; 5/6; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 9/10; 11/13; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 13/5; ; 11/4; 5/2; ; 5/2; ; 12/5; 51/20; ; ; 27/10; 5/2; 5/2; 5/2; 5/2; 27/10; 5/2; 28/11; ; 28/11; ; ; ; 13/5
