META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 14:52:59 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 4; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 19:05:06 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; ; ; 4/6; ; 4/6; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 14/5; ; 14/5; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 4; 10/3; ; ; 21/5; ; 4; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 23:04:00 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; ; ; 4/6; ; 13/20; ; 8/13; ; 4/6; ; 4/6; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 13/5; ; 14/5; ; 14/5; ; 5/2; ; 11/4; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 4; 10/3; ; ; 9/2; ; 21/5; ; 4; ; 21/5; ; 15/4; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-03 03:00:56 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; ; ; 4/6; ; 13/20; ; 8/13; ; 4/6; ; 4/6; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; 13/5; ; 14/5; ; 14/5; ; 5/2; ; 11/4; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 4; 10/3; ; ; 9/2; ; 21/5; ; 4; ; 21/5; ; 15/4; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-03 07:00:45 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; ; ; 4/6; ; 13/20; ; 8/13; ; 4/6; 8/13; 4/6; ; ; 4/6; ; ; 8/13; ; ; ; 11/17; ; 11/17; ; ; ; 
Draw; 14/5; 11/4; ; ; 13/5; ; 14/5; ; 14/5; ; 5/2; 5/2; 11/4; ; ; 11/4; ; ; 27/10; ; ; ; 27/10; ; 27/10; ; ; ; 
Torquay; 4; 10/3; ; ; 9/2; ; 21/5; ; 4; ; 21/5; 15/4; 15/4; ; ; 4; ; ; 7/2; ; ; ; 19/5; ; 19/5; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-03 14:25:47 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; 4/6; ; 8/13; ; 13/20; ; 8/13; ; 4/6; 8/13; 4/6; ; ; 4/6; 8/13; 11/17; 8/13; 8/13; ; ; 11/17; ; 11/17; ; ; ; 
Draw; 14/5; 11/4; 49/20; ; 11/4; ; 14/5; ; 14/5; ; 5/2; 5/2; 11/4; ; ; 11/4; 45/17; 13/5; 27/10; 45/17; ; ; 27/10; ; 27/10; ; ; ; 
Torquay; 4; 10/3; 17/4; ; 9/2; ; 17/4; ; 4; ; 21/5; 15/4; 15/4; ; ; 4; 15/4; 10/3; 7/2; 15/4; ; ; 19/5; ; 19/5; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-03 18:26:21 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; 4/6; ; 8/13; ; 13/20; ; 8/13; ; 4/6; 8/13; 4/6; 8/13; ; 4/6; 11/17; 11/17; 8/13; 11/17; ; ; 11/17; ; 11/17; ; ; ; 
Draw; 14/5; 11/4; 49/20; ; 11/4; ; 14/5; ; 14/5; ; 5/2; 5/2; 11/4; 5/2; ; 11/4; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
Torquay; 4; 10/3; 17/4; ; 9/2; ; 17/4; ; 4; ; 21/5; 15/4; 15/4; 4; ; 4; 50/13; 10/3; 7/2; 50/13; ; ; 19/5; ; 19/5; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-03 22:24:28 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; 4/6; ; 8/13; ; 13/20; ; 8/13; ; 4/6; 8/13; 4/6; 8/13; ; 4/6; 11/17; 11/17; 8/13; 11/17; ; ; 11/17; ; 11/17; ; ; ; 
Draw; 14/5; 11/4; 49/20; ; 11/4; ; 14/5; ; 14/5; ; 5/2; 5/2; 11/4; 5/2; ; 11/4; 27/10; 13/5; 27/10; 27/10; ; ; 27/10; ; 27/10; ; ; ; 
