META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-17 22:21:32 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Barrow; 6/4; 3/2; ; ; 29/20; ; 6/4; ; 6/4; ; ; ; 29/20; ; ; 6/4; 16/11; ; ; 16/11; ; ; ; ; ; ; ; ; 
Braintree Town; 13/8; 8/5; ; ; 13/8; ; 17/10; ; 13/8; ; ; ; 13/8; ; ; 8/5; 17/11; ; ; 17/11; ; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; 12/5; ; 5/2; ; 5/2; ; ; ; 5/2; ; ; 5/2; 27/11; ; ; 27/11; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-18 02:21:06 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Barrow; 6/4; 3/2; ; ; 29/20; ; 31/20; ; 6/4; ; ; ; 29/20; ; ; 6/4; 16/11; ; ; 16/11; ; ; ; ; ; ; ; ; 
Braintree Town; 13/8; 8/5; ; ; 13/8; ; 13/8; ; 13/8; ; ; ; 13/8; ; ; 8/5; 8/5; ; ; 8/5; ; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; 12/5; ; 5/2; ; 5/2; ; ; ; 5/2; ; ; 5/2; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-18 06:21:04 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Barrow; 6/4; 3/2; ; 7/5; 6/4; ; 31/20; 7/5; 6/4; ; ; ; 29/20; ; ; 6/4; 16/11; ; 7/5; 16/11; ; ; 16/11; ; 16/11; ; ; ; 
Braintree Town; 13/8; 8/5; ; 7/5; 8/5; ; 13/8; 13/8; 13/8; ; ; ; 13/8; ; ; 8/5; 8/5; ; 6/4; 8/5; ; ; 17/11; ; 17/11; ; ; ; 
Draw; 5/2; 5/2; ; 12/5; 12/5; ; 5/2; 12/5; 5/2; ; ; ; 5/2; ; ; 5/2; 12/5; ; 12/5; 12/5; ; ; 27/11; ; 27/11; ; ; ; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-18 10:21:08 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Barrow; 6/4; 3/2; ; 7/5; 6/4; ; 31/20; 7/5; 6/4; ; ; 6/4; 29/20; ; ; 6/4; 16/11; ; 6/4; 16/11; ; ; 6/4; ; 6/4; ; ; ; 
Braintree Town; 13/8; 8/5; ; 7/5; 13/8; ; 13/8; 13/8; 13/8; ; ; 31/20; 13/8; ; ; 8/5; 17/11; ; 6/4; 17/11; ; ; 17/11; ; 17/11; ; ; ; 
Draw; 5/2; 5/2; ; 12/5; 23/10; ; 5/2; 12/5; 5/2; ; ; 11/5; 5/2; ; ; 5/2; 27/11; ; 12/5; 27/11; ; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-18 14:21:13 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 8/5; ; 7/5; 6/4; ; 29/20; 6/4; 6/4; 7/5; 29/20; 29/20; 6/4; ; 6/4; 6/4; 16/11; 16/11; 6/4; 16/11; 79/50; ; 17/11; ; 17/11; ; ; ; 
Barrow; 7/4; 3/2; ; 7/5; 13/8; ; 7/4; 8/5; 13/8; 7/4; 17/10; 17/10; 33/20; ; 17/10; 8/5; 8/5; 6/4; 6/4; 8/5; 89/50; ; 6/4; ; 6/4; ; ; ; 
Draw; 5/2; 5/2; ; 12/5; 23/10; ; 5/2; 23/10; 12/5; 12/5; 9/4; 2; 12/5; ; 23/10; 5/2; 40/17; 23/10; 12/5; 40/17; 13/5; ; 12/5; ; 12/5; ; ; ; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-18 18:21:13 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 8/5; ; 7/5; 29/20; 27/20; 7/5; 6/4; 7/5; 7/5; 7/5; 11/8; 29/20; ; 6/4; 16/11; 23/17; 16/11; 6/4; 23/17; 79/50; ; 17/11; ; 17/11; ; ; 7/5; 
Barrow; 7/4; 3/2; ; 9/5; 17/10; 17/10; 9/5; 8/5; 7/4; 9/5; 17/10; 17/10; 17/10; ; 17/10; 7/4; 7/4; 6/4; 6/4; 7/4; 89/50; ; 6/4; ; 6/4; ; ; 7/4; 
Draw; 5/2; 5/2; ; 5/2; 23/10; 43/20; 5/2; 23/10; 12/5; 12/5; 9/4; 11/5; 12/5; ; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; ; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-18 22:21:07 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 11/8; ; 7/5; 29/20; 13/10; 7/5; 6/4; 7/5; 7/5; 11/8; 11/8; 29/20; 11/8; 11/8; 16/11; 23/17; 16/11; 6/4; 23/17; 79/50; 9/7; 17/11; ; 17/11; ; ; 7/5; 
Barrow; 7/4; 7/4; ; 9/5; 17/10; 33/20; 9/5; 8/5; 9/5; 9/5; 7/4; 17/10; 7/4; 7/4; 9/5; 7/4; 7/4; 6/4; 6/4; 7/4; 89/50; 28/17; 6/4; ; 6/4; ; ; 7/4; 
Draw; 5/2; 12/5; ; 5/2; 23/10; 9/4; 5/2; 23/10; 23/10; 12/5; 9/4; 11/5; 23/10; 2; 12/5; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 5/2; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-19 02:20:59 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 11/8; ; 7/5; 29/20; 13/10; 7/5; 6/4; 7/5; 7/5; 11/8; 11/8; 29/20; 11/8; 11/8; 16/11; 7/5; 16/11; 6/4; ; 79/50; 9/7; 17/11; ; 17/11; ; ; 11/8; 
Barrow; 7/4; 7/4; ; 9/5; 17/10; 33/20; 9/5; 8/5; 9/5; 9/5; 7/4; 17/10; 7/4; 7/4; 9/5; 7/4; 17/10; 6/4; 6/4; ; 89/50; 28/17; 6/4; ; 6/4; ; ; 13/8; 
Draw; 5/2; 12/5; ; 5/2; 23/10; 9/4; 5/2; 23/10; 23/10; 12/5; 9/4; 11/5; 23/10; 2; 12/5; 12/5; 40/17; 23/10; 12/5; ; 13/5; 5/2; 12/5; ; 12/5; ; ; 11/5; 
META; english/non-league/national-league/braintree-town-v-barrow; 2017-04-19 06:20:58 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Braintree Town; 7/5; 11/8; ; 7/5; 29/20; 13/10; 7/5; 6/4; 7/5; 7/5; 11/8; 11/8; 29/20; 11/8; 11/8; 16/11; 7/5; 16/11; 6/4; 7/5; 79/50; 9/7; 17/11; ; 17/11; ; ; 11/8; 
Barrow; 7/4; 7/4; ; 9/5; 17/10; 33/20; 9/5; 8/5; 9/5; 9/5; 7/4; 17/10; 7/4; 7/4; 9/5; 7/4; 17/10; 6/4; 6/4; 17/10; 89/50; 28/17; 6/4; ; 6/4; ; ; 13/8; 
Draw; 5/2; 12/5; ; 5/2; 23/10; 9/4; 5/2; 23/10; 23/10; 12/5; 9/4; 11/5; 23/10; 2; 12/5; 12/5; 40/17; 23/10; 12/5; 40/17; 13/5; 5/2; 12/5; ; 12/5; ; ; 11/5; 
