META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-09 12:00:16 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 8/13; 3/5; 13/20; 6/10; 8/13; 4/7; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 8/13; 4/7; 13/20; 8/13; 10/17; 11/17; 4/7; 10/17; 69/100; 11/18; 3/5; ; ; 4/7; 4/7; 
Draw; 29/10; 13/5; 27/10; 13/5; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 13/5; 57/20; 13/5; 11/4; 14/5; 37/13; 13/5; 14/5; 37/13; 3; 14/5; 14/5; ; ; 14/5; 14/5; 
North Ferriby Utd; 17/4; 9/2; 4; 15/4; 21/5; 19/5; 22/5; 4; 17/4; 17/4; 21/5; 19/5; 4; 4; 4; 9/2; 22/5; 7/2; 4; 22/5; 9/2; 18/5; 4; ; ; 4; 7/2; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-09 18:23:20 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 8/13; 8/13; 8/13; 6/10; 8/13; 4/7; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 8/13; 4/7; 13/20; 8/13; 10/17; 11/17; 4/7; 10/17; 69/100; 11/18; 3/5; ; ; 4/7; 4/7; 
Draw; 29/10; 11/4; 27/10; 13/5; 29/10; 13/5; 29/10; 11/4; 14/5; 14/5; 27/10; 13/5; 57/20; 13/5; 11/4; 14/5; 37/13; 13/5; 14/5; 37/13; 3; 14/5; 14/5; ; ; 14/5; 11/4; 
North Ferriby Utd; 17/4; 17/4; 17/4; 15/4; 21/5; 19/5; 22/5; 4; 17/4; 9/2; 21/5; 19/5; 4; 4; 4; 9/2; 49/11; 7/2; 4; 49/11; 9/2; 18/5; 4; ; ; 4; 7/2; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-09 22:21:37 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 4/7; 8/13; 6/10; 4/7; 8/13; 11/20; 3/5; 8/15; 4/7; 3/5; 6/10; 13/20; ; 6/10; 4/7; 8/13; 8/15; 4/7; 4/7; 8/15; 67/100; 4/7; 3/5; ; ; 4/7; 8/15; 
Draw; 3; 11/4; 27/10; 13/5; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 27/10; 13/5; ; 14/5; 14/5; 14/5; 29/10; 11/4; 14/5; 29/10; 61/20; 29/10; 14/5; ; ; 14/5; 5/2; 
North Ferriby Utd; 19/4; 17/4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 19/4; 17/4; 19/5; ; 9/2; 19/4; 9/2; 63/13; 15/4; 4; 63/13; 9/2; 50/13; 4; ; ; 9/2; 7/2; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-10 02:22:41 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 4/7; 8/13; 6/10; 4/7; 8/13; 11/20; 3/5; 8/15; 4/7; 4/7; 6/10; 6/10; 3/5; 6/10; 4/7; 8/13; ; 4/7; 4/7; 8/15; 67/100; 4/7; 3/5; ; ; 4/7; 4/7; 
Draw; 3; 11/4; 27/10; 13/5; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 27/10; 11/4; 57/20; 14/5; 14/5; 14/5; ; 11/4; 14/5; 29/10; 61/20; 29/10; 14/5; ; ; 14/5; 14/5; 
North Ferriby Utd; 19/4; 17/4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 5; 17/4; 4; 17/4; 9/2; 19/4; 9/2; ; 15/4; 4; 63/13; 9/2; 50/13; 4; ; ; 23/5; 4; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-10 06:21:17 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 4/7; 8/13; 6/10; 4/7; 8/13; 11/20; 3/5; 8/15; 4/7; 4/7; 6/10; 6/10; 3/5; 6/10; 4/7; 8/13; 8/15; 4/7; 4/7; 8/15; 67/100; 4/7; 3/5; ; ; 4/7; 4/7; 
Draw; 3; 11/4; 27/10; 13/5; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 27/10; 11/4; 57/20; 14/5; 14/5; 14/5; 29/10; 11/4; 14/5; 29/10; 61/20; 29/10; 14/5; ; ; 14/5; 14/5; 
North Ferriby Utd; 19/4; 17/4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 5; 17/4; 4; 17/4; 9/2; 19/4; 9/2; 63/13; 15/4; 4; 63/13; 9/2; 50/13; 4; ; ; 23/5; 4; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-10 10:21:49 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 4/7; 8/13; 6/10; 6/10; 8/13; 11/20; 3/5; 8/15; 4/7; 3/5; 6/10; 4/7; 3/5; 6/10; 4/7; 8/13; 8/15; 4/7; 4/7; 8/15; 59/100; 4/7; 3/5; ; ; 4/7; 4/7; 
Draw; 3; 11/4; 27/10; 11/4; 29/10; 13/5; 3; 11/4; 14/5; 14/5; 27/10; 13/5; 57/20; 14/5; 14/5; 14/5; 29/10; 11/4; 14/5; 29/10; 63/20; 29/10; 14/5; ; ; 14/5; 14/5; 
North Ferriby Utd; 19/4; 17/4; 17/4; 4; 9/2; 4; 9/2; 9/2; 17/4; 19/4; 17/4; 4; 17/4; 9/2; 19/4; 9/2; 63/13; 15/4; 4; 63/13; 11/2; 50/13; 4; ; ; 23/5; 4; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-10 14:21:50 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 4/7; 4/7; 4/7; 6/10; 3/5; 11/20; 4/7; 8/15; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; 4/7; 8/15; 59/100; 8/15; 3/5; ; ; 4/7; 8/15; 
Draw; 3; 14/5; 11/4; 3; 3; 13/5; 3; 11/4; 3; 14/5; 11/4; 13/5; 29/10; 29/10; 14/5; 3; 29/10; 11/4; 14/5; 29/10; 63/20; 56/19; 14/5; ; ; 3; 13/5; 
North Ferriby Utd; 19/4; 9/2; 19/4; 9/2; 9/2; 4; 19/4; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 24/5; 19/4; 9/2; 49/10; 15/4; 4; 49/10; 11/2; 4; 4; ; ; 23/5; 21/5; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-10 18:21:59 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 4/7; 4/7; 4/7; 6/10; 3/5; 11/20; 4/7; 8/15; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; 4/7; 8/15; 59/100; 3/5; 3/5; ; ; 4/7; 8/15; 
Draw; 3; 14/5; 11/4; 3; 3; 13/5; 3; 11/4; 3; 14/5; 11/4; 13/5; 29/10; 29/10; 14/5; 3; 29/10; 11/4; 14/5; 29/10; 63/20; 29/10; 14/5; ; ; 3; 13/5; 
North Ferriby Utd; 19/4; 9/2; 9/2; 9/2; 9/2; 4; 19/4; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 24/5; 19/4; 9/2; 49/10; 15/4; 4; 49/10; 11/2; 43/10; 4; ; ; 23/5; 21/5; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-10 22:21:52 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 4/7; 4/7; 4/7; 6/10; 3/5; 11/20; 4/7; 8/15; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; 4/7; 8/15; 59/100; 3/5; 3/5; ; ; 4/7; 8/15; 
Draw; 3; 14/5; 11/4; 3; 3; 13/5; 3; 11/4; 3; 14/5; 11/4; 13/5; 29/10; 29/10; 14/5; 3; 29/10; 11/4; 14/5; 29/10; 63/20; 29/10; 14/5; ; ; 3; 13/5; 
North Ferriby Utd; 19/4; 9/2; 9/2; 9/2; 9/2; 4; 19/4; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 24/5; 19/4; 9/2; 49/10; 15/4; 4; 49/10; 11/2; 43/10; 4; ; ; 23/5; 21/5; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-11 02:23:38 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 4/7; 4/7; 4/7; 6/10; 3/5; 11/20; 4/7; 8/15; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; 4/7; 8/15; 59/100; 3/5; 3/5; ; ; 4/7; 8/15; 
Draw; 3; 14/5; 11/4; 3; 3; 13/5; 3; 11/4; 3; 14/5; 11/4; 13/5; 29/10; 29/10; 14/5; 3; 29/10; 11/4; 14/5; 29/10; 63/20; 29/10; 14/5; ; ; 3; 13/5; 
North Ferriby Utd; 19/4; 9/2; 9/2; 9/2; 9/2; 4; 19/4; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 24/5; 19/4; 9/2; 49/10; 15/4; 4; 49/10; 11/2; 43/10; 4; ; ; 24/5; 21/5; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-11 06:21:52 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 4/7; 4/7; 4/7; 6/10; 3/5; 11/20; 4/7; 8/15; 4/7; 4/7; 4/7; 11/20; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; 4/7; 8/15; 59/100; 3/5; 3/5; ; ; 4/7; 8/15; 
Draw; 3; 14/5; 11/4; 3; 29/10; 13/5; 3; 11/4; 3; 14/5; 11/4; 13/5; 29/10; 29/10; 14/5; 3; 29/10; 11/4; 14/5; 29/10; 63/20; 29/10; 14/5; ; ; 3; 13/5; 
North Ferriby Utd; 19/4; 9/2; 9/2; 9/2; 9/2; 4; 19/4; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 24/5; 19/4; 9/2; 49/10; 15/4; 4; 49/10; 11/2; 43/10; 4; ; ; 24/5; 21/5; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-11 10:23:22 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 8/15; 4/7; 11/20; 6/10; 4/7; 11/20; 11/20; 8/15; 4/7; 11/20; 8/15; 11/20; ; 4/7; 4/7; 4/7; 8/15; 4/7; 8/15; 8/15; 59/100; 3/5; 6/11; ; ; 8/15; 1/2; 
Draw; 16/5; 14/5; 14/5; 3; 3; 13/5; 3; 11/4; 3; 14/5; 14/5; 13/5; ; 29/10; 14/5; 3; 56/19; 11/4; 13/5; 56/19; 63/20; 29/10; 45/17; ; ; 14/5; 13/5; 
North Ferriby Utd; 9/2; 9/2; 19/4; 9/2; 5; 4; 5; 9/2; 19/4; 5; 24/5; 9/2; ; 24/5; 19/4; 9/2; 51/10; 15/4; 5; 51/10; 11/2; 43/10; 5; ; ; 26/5; 21/5; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-11 14:28:14 GMT+2; 2017-02-11 15:00; Nothing; Xlenovo
Braintree Town; 8/15; 4/7; 11/20; 6/10; 4/7; 1/2; 4/7; 8/15; 4/7; 4/7; 4/7; 11/20; 11/20; 11/20; 4/7; 4/7; 8/15; 4/7; 8/15; 8/15; 59/100; 5/9; 6/11; ; ; 4/7; 8/15; 
Draw; 16/5; 14/5; 14/5; 3; 3; 27/10; 3; 11/4; 3; 14/5; 11/4; 13/5; 29/10; 29/10; 14/5; 3; 56/19; 11/4; 13/5; 56/19; 63/20; 14/5; 45/17; ; ; 14/5; 11/4; 
North Ferriby Utd; 9/2; 9/2; 19/4; 9/2; 5; 9/2; 5; 9/2; 19/4; 19/4; 9/2; 9/2; 19/4; 5; 19/4; 9/2; 51/10; 15/4; 5; 63/13; 11/2; 49/10; 5; ; ; 24/5; 21/5; 
META; english/non-league/national-league/braintree-town-v-north-ferriby-utd; 2017-02-11 18:22:44 GMT+2; 2017-02-11 15:00; In Play; Xlenovo
Braintree Town; 5/4; 11/10; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; 13/10; 11/8; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; 
North Ferriby Utd; 9/2; 4; ; ; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; 
