META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-18 14:27:13 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Eastleigh; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Macclesfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-18 18:23:24 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Macclesfield; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-18 22:23:33 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/10; 5/4; ; ; ; ; 23/20; ; ; ; 21/20; ; 11/10; ; ; 15/13; ; ; ; ; ; ; ; ; ; 4/11; ; 
Macclesfield; 12/5; 15/8; ; ; ; ; 23/10; ; ; ; 23/10; ; 47/20; ; ; 9/4; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 23/10; ; 47/20; ; ; 12/5; ; ; ; ; ; ; ; ; ; 4/11; ; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-19 02:25:24 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/10; 5/4; ; ; ; ; 23/20; ; ; ; 21/20; ; 11/10; ; ; 15/13; ; ; ; ; ; ; ; ; ; 10/11; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 23/10; ; 47/20; ; ; 12/5; ; ; ; ; ; ; ; ; ; 2; ; 
Macclesfield; 12/5; 15/8; ; ; ; ; 23/10; ; ; ; 23/10; ; 47/20; ; ; 9/4; ; ; ; ; ; ; ; ; ; 2; ; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-19 06:22:21 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/10; 5/4; ; ; 11/10; ; 11/10; ; 11/10; ; 21/20; ; 11/10; 21/20; ; 15/13; 11/10; ; 11/10; 11/10; ; ; 11/10; ; ; 20/21; ; 
Macclesfield; 12/5; 15/8; ; ; 12/5; ; 12/5; ; 12/5; ; 23/10; ; 47/20; 11/5; ; 9/4; 23/10; ; 9/4; 23/10; ; ; 9/4; ; ; 19/10; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; 23/10; ; 47/20; 9/4; ; 12/5; 40/17; ; 23/10; 40/17; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-19 10:23:45 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/10; 5/4; ; ; 11/10; ; 11/10; ; 11/10; ; 21/20; ; 11/10; 21/20; ; 15/13; 11/10; 1; 11/10; 11/10; ; ; 11/10; ; ; 20/21; ; 
Macclesfield; 12/5; 15/8; ; ; 12/5; ; 12/5; ; 12/5; ; 23/10; ; 47/20; 9/4; ; 9/4; 40/17; 9/4; 9/4; 40/17; ; ; 9/4; ; ; 2; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; 23/10; ; 47/20; 9/4; ; 12/5; 40/17; 23/10; 23/10; 40/17; ; ; 23/10; ; ; 21/10; ; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-19 14:24:17 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 21/20; 11/10; ; 23/20; 23/20; ; 11/10; ; 11/10; 23/20; 23/20; 21/20; 11/10; 11/10; 23/20; 11/10; 11/10; 1; 11/10; 11/10; 6/5; ; 11/10; ; ; 11/10; 21/20; 
Draw; 12/5; 23/10; ; 23/10; 23/10; ; 12/5; ; 12/5; 23/10; 11/5; 21/10; 47/20; 21/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; ; 23/10; ; ; 9/4; 2; 
Macclesfield; 5/2; 23/10; ; 12/5; 12/5; ; 5/2; ; 23/10; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 12/5; 40/17; 9/4; 9/4; 40/17; 13/5; ; 9/4; ; ; 21/10; 21/10; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-19 18:25:54 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 23/20; 11/10; 6/5; 23/20; 5/4; 11/10; 13/10; ; 11/10; 6/5; 5/4; 6/5; 11/10; 11/10; 6/5; 6/5; 15/13; 1; 11/10; 15/13; 6/5; 11/9; 11/10; ; ; 23/20; 6/5; 
Macclesfield; 9/4; 12/5; 11/5; 12/5; 23/10; 2; 85/40; ; 23/10; 23/10; 21/10; 21/10; 23/10; 11/5; 11/5; 9/4; 9/4; 9/4; 9/4; 9/4; 5/2; 24/13; 9/4; ; ; 2; 21/10; 
Draw; 12/5; 9/4; 21/10; 23/10; 9/4; 43/20; 23/10; ; 12/5; 23/10; 21/10; 2; 47/20; 21/10; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 5/2; 23/10; 23/10; ; ; 21/10; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-19 22:22:56 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 23/20; 11/10; 5/4; 23/20; 5/4; 23/20; 13/10; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 1; 11/10; 6/5; 13/10; 6/5; 11/10; ; ; 23/20; 5/4; 
Macclesfield; 9/4; 12/5; 43/20; 12/5; 9/4; 39/20; 85/40; 21/10; 9/4; 11/5; 21/10; 21/10; 11/5; 2; 11/5; 9/4; 11/5; 9/4; 9/4; 11/5; 47/20; 15/8; 9/4; ; ; 2; 2; 
Draw; 12/5; 9/4; 21/10; 23/10; 9/4; 43/20; 23/10; 11/5; 23/10; 23/10; 21/10; 2; 9/4; 21/10; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 12/5; 40/17; 23/10; ; ; 21/10; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-20 02:23:25 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 5/4; 13/10; 13/10; 13/10; 13/10; 6/5; 11/8; 6/5; 13/10; 11/8; 13/10; 13/10; 13/10; 6/5; 11/8; 13/10; 13/10; 1; 13/10; 13/10; 69/50; 6/5; 13/10; ; ; 11/8; 13/10; 
Macclesfield; 21/10; 2; 41/20; 21/10; 21/10; 15/8; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; 2; 2; 9/4; 2; 2; 11/5; 15/8; 2; ; ; 21/10; 2; 
Draw; 12/5; 9/4; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 9/4; 9/4; 21/10; 2; 9/4; 21/10; 9/4; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; 40/17; 11/5; ; ; 11/5; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-20 06:21:44 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 5/4; 13/10; 13/10; 13/10; 7/5; 6/5; 11/8; 6/5; 13/10; 11/8; 13/10; 13/10; 13/10; 11/8; 11/8; 13/10; 13/10; 1; 13/10; 13/10; 69/50; 6/5; 13/10; ; ; 11/8; 13/10; 
Macclesfield; 21/10; 2; 41/20; 21/10; 2; 15/8; 2; 21/10; 2; 2; 2; 2; 2; 2; 19/10; 2; 2; 9/4; 2; 2; 11/5; 15/8; 2; ; ; 19/10; 2; 
Draw; 12/5; 9/4; 21/10; 23/10; 9/4; 21/10; 23/10; 11/5; 9/4; 9/4; 21/10; 2; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; 40/17; 11/5; ; ; 11/5; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-20 10:23:49 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 5/4; 13/10; 13/10; 13/10; 7/5; 6/5; 11/8; 6/5; 13/10; 11/8; 13/10; 13/10; 13/10; ; 11/8; 13/10; 13/10; 11/10; ; 13/10; 69/50; 6/5; 23/17; ; ; 7/5; 13/10; 
Macclesfield; 21/10; 2; 41/20; 21/10; 2; 37/20; 2; 21/10; 2; 2; 2; 2; 2; ; 19/10; 2; 37/19; 21/10; ; 37/19; 11/5; 15/8; 24/13; ; ; 19/10; 2; 
Draw; 12/5; 9/4; 21/10; 23/10; 11/5; 21/10; 23/10; 11/5; 9/4; 9/4; 21/10; 2; 9/4; ; 9/4; 9/4; 11/5; 9/4; ; 11/5; 12/5; 40/17; 9/4; ; ; 21/10; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-20 14:21:58 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/8; 13/10; 11/8; 13/10; 7/5; 5/4; 7/5; 1; 7/5; 7/5; 27/20; 13/10; 11/8; 11/8; 11/8; 13/10; 23/17; 11/10; 27/20; 23/17; 6/4; 6/5; 23/17; ; ; 7/5; 11/8; 
Macclesfield; 15/8; 2; 39/20; 21/10; 2; 7/4; 19/10; 23/10; 2; 19/10; 21/10; 15/8; 19/10; 2; 19/10; 2; 19/10; 21/10; 9/5; 19/10; 2; 15/8; 24/13; ; ; 19/10; 19/10; 
Draw; 12/5; 9/4; 21/10; 23/10; 11/5; 21/10; 23/10; 23/10; 9/4; 9/4; 9/4; 21/10; 9/4; 11/5; 9/4; 9/4; 11/5; 9/4; 9/4; 11/5; 12/5; 40/17; 9/4; ; ; 11/5; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-20 18:22:28 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/8; 13/10; 7/5; 29/20; 29/20; 13/10; 29/20; 11/8; 7/5; 7/5; 29/20; 13/10; 11/8; ; 11/8; 7/5; 7/5; 11/10; 27/20; 7/5; 6/4; 11/8; 23/17; ; ; 11/8; 7/5; 
Macclesfield; 15/8; 2; 19/10; 9/5; 19/10; 7/4; 15/8; 15/8; 2; 19/10; 2; 9/5; 19/10; ; 19/10; 15/8; 19/10; 2; 9/5; 19/10; 2; 21/11; 24/13; ; ; 19/10; 19/10; 
Draw; 12/5; 9/4; 21/10; 21/10; 9/4; 41/20; 23/10; 21/10; 9/4; 11/5; 9/4; 21/10; 9/4; ; 9/4; 9/4; 11/5; 23/10; 9/4; 11/5; 12/5; 9/4; 9/4; ; ; 21/10; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-20 22:23:22 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/8; 13/10; 29/20; 29/20; 6/4; 13/10; 29/20; 11/8; 7/5; 7/5; 29/20; 7/5; 29/20; 6/4; 7/5; 7/5; 7/5; 11/10; 27/20; 7/5; 6/4; 16/11; 23/17; ; ; 11/8; 7/5; 
Macclesfield; 15/8; 2; 37/20; 9/5; 19/10; 7/4; 15/8; 15/8; 2; 19/10; 2; 7/4; 9/5; 9/5; 15/8; 15/8; 24/13; 2; 9/5; 24/13; 2; 9/5; 24/13; ; ; 19/10; 19/10; 
Draw; 12/5; 9/4; 21/10; 21/10; 11/5; 41/20; 23/10; 21/10; 9/4; 9/4; 9/4; 2; 9/4; 11/5; 9/4; 9/4; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; 9/4; ; ; 11/5; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-21 02:22:39 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/8; 13/10; 29/20; 29/20; 6/4; 13/10; 29/20; 11/8; 7/5; 7/5; 29/20; 7/5; 29/20; 6/4; 7/5; 7/5; 7/5; 11/10; 27/20; 7/5; 6/4; 16/11; 23/17; ; ; 7/5; 7/5; 
Macclesfield; 15/8; 2; 37/20; 9/5; 19/10; 7/4; 15/8; 15/8; 15/8; 19/10; 19/10; 7/4; 9/5; 9/5; 15/8; 15/8; 24/13; 2; 9/5; 24/13; 2; 9/5; 24/13; ; ; 19/10; 15/8; 
Draw; 12/5; 9/4; 21/10; 21/10; 11/5; 41/20; 23/10; 21/10; 9/4; 11/5; 9/4; 2; 9/4; 11/5; 9/4; 9/4; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; 9/4; ; ; 11/5; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-21 06:21:56 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
Eastleigh; 11/8; 7/5; 29/20; 29/20; 6/4; 27/20; 29/20; 11/8; 7/5; ; 6/4; 29/20; 29/20; 6/4; 7/5; 7/5; 7/5; 11/10; 27/20; 7/5; 6/4; 16/11; 23/17; ; ; 7/5; 7/5; 
Macclesfield; 15/8; 9/5; 37/20; 9/5; 19/10; 17/10; 15/8; 15/8; 15/8; ; 19/10; 7/4; 9/5; 9/5; 15/8; 15/8; 24/13; 2; 9/5; 24/13; 2; 9/5; 24/13; ; ; 19/10; 15/8; 
Draw; 12/5; 11/5; 21/10; 21/10; 11/5; 21/10; 23/10; 21/10; 9/4; ; 11/5; 2; 9/4; 11/5; 9/4; 9/4; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; 9/4; ; ; 11/5; 2; 
META; english/non-league/national-league/eastleigh-v-macclesfield; 2017-02-21 10:22:36 GMT+2; 2017-02-21 19:45; Nothing; Xlenovo
