META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-19 18:26:03 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; ; ; ; ; 6/5; ; 6/5; ; 23/20; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Forest Green; 11/5; ; ; ; ; ; 11/5; ; 11/5; ; 21/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; 12/5; ; 9/4; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-19 22:23:40 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; ; ; 6/5; ; 6/5; ; 23/20; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Forest Green; 11/5; ; 43/20; ; ; ; 11/5; ; 11/5; ; 21/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; ; ; 12/5; ; 12/5; ; 9/4; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-20 02:23:45 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; ; ; 6/5; ; 6/5; ; 23/20; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Forest Green; 11/5; ; 43/20; ; ; ; 11/5; ; 11/5; ; 21/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; ; ; 12/5; ; 12/5; ; 9/4; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-20 06:20:28 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; 5/4; ; 6/5; ; 6/5; ; 23/20; 23/20; ; ; ; 6/5; ; ; 6/5; ; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; ; ; 21/10; ; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 12/5; ; 9/4; 11/5; ; ; ; 23/10; ; ; 9/4; ; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-20 10:21:05 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; 5/4; ; 6/5; ; 6/5; ; 23/20; 23/20; ; ; ; 6/5; 15/13; ; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 39/19; ; 21/10; 39/19; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 12/5; ; 9/4; 11/5; ; ; ; 23/10; 9/4; ; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-20 14:21:41 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; 5/4; ; 6/5; ; 6/5; ; 23/20; 23/20; ; ; ; 6/5; 15/13; ; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; ; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 12/5; ; 9/4; 11/5; ; ; ; 23/10; 9/4; ; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-20 18:22:03 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; 5/4; ; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; ; ; 6/5; 15/13; ; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; ; ; 23/10; 9/4; ; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-20 22:21:39 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; 5/4; ; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; ; ; 6/5; 15/13; ; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; ; ; 23/10; 9/4; ; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-21 02:21:29 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; 5/4; ; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; ; ; 6/5; 15/13; ; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; ; ; 23/10; 9/4; ; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-21 06:21:05 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; 5/4; ; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; ; ; 6/5; 15/13; ; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; ; ; 11/5; 21/10; ; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; ; ; 23/10; 9/4; ; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-21 10:21:05 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; ; 5/4; ; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; ; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; ; 11/5; ; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; ; 23/10; ; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; ; ; 23/10; 9/4; 2; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-21 14:22:14 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; 23/20; 5/4; 11/10; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; 2; 11/5; 2; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; ; ; 11/5; ; 21/10; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; 12/5; 23/10; 9/4; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; ; ; 12/5; ; 2; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-21 18:22:21 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; 6/5; ; ; 23/20; 6/5; 23/20; ; 6/5; 6/5; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; 2; 11/5; 2; 11/5; ; 11/5; ; ; 21/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; 12/5; 12/5; 9/4; 12/5; ; 12/5; ; ; 11/5; 47/20; 9/4; ; 12/5; 9/4; 2; 9/4; 9/4; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-21 22:22:31 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; 23/20; ; 6/5; 15/13; 6/5; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; 2; 11/5; 2; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; 12/5; 12/5; 9/4; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; 9/4; ; 12/5; 23/10; 2; 9/4; 23/10; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-22 02:23:04 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; 23/20; ; 6/5; 15/13; 6/5; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; 2; 11/5; 2; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; 12/5; 12/5; 9/4; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; 9/4; ; 12/5; 23/10; 2; 9/4; 23/10; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-22 06:20:43 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; 23/20; ; 6/5; 15/13; 6/5; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; 2; 11/5; 2; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; 12/5; 12/5; 9/4; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; 9/4; ; 12/5; 23/10; 2; 9/4; 23/10; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-22 10:21:40 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 6/5; ; 6/5; 23/20; 6/5; 11/10; 6/5; ; 6/5; ; 23/20; 23/20; 6/5; 23/20; ; 6/5; 15/13; 6/5; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Forest Green; 11/5; ; 43/20; 2; 11/5; 2; 11/5; ; 11/5; ; 21/10; 21/10; 21/10; 21/10; ; 11/5; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; ; 9/4; 12/5; 12/5; 9/4; 12/5; ; 12/5; ; 9/4; 11/5; 47/20; 9/4; ; 12/5; 23/10; 2; 9/4; 23/10; ; ; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-22 14:21:45 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 13/10; 23/20; 13/10; 11/10; 13/10; ; 13/10; 13/10; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; 5/4; 6/5; 6/5; 5/4; 129/100; 16/13; 6/5; ; 6/5; ; ; ; 
Forest Green; 21/10; 2; 19/10; 2; 2; 2; 2; ; 2; 2; 15/8; 15/8; 2; 15/8; 2; 2; 2; 21/10; 21/10; 2; 111/50; 11/6; 21/10; ; 21/10; ; ; ; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; ; 12/5; 23/10; 23/10; 11/5; 47/20; 11/5; 23/10; 12/5; 40/17; 2; 9/4; 40/17; 13/5; 40/17; 9/4; ; 9/4; ; ; ; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-22 18:21:14 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 13/10; 11/8; 13/10; 11/10; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 6/5; 13/10; 129/100; 16/13; 6/5; ; 6/5; ; ; 5/4; 
Forest Green; 21/10; 2; 19/10; 19/10; 2; 2; 2; 15/8; 2; 19/10; 15/8; 9/5; 2; 15/8; 2; 15/8; 37/19; 21/10; 21/10; 37/19; 111/50; 11/6; 21/10; ; 21/10; ; ; 9/5; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 47/20; 11/5; 23/10; 12/5; 23/10; 2; 9/4; 23/10; 13/5; 40/17; 9/4; ; 9/4; ; ; 11/5; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-22 22:22:15 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 13/10; 11/8; 13/10; 11/10; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 6/5; 13/10; 129/100; 16/13; 6/5; ; 6/5; ; ; 5/4; 
Forest Green; 21/10; 19/10; 19/10; 19/10; 2; 2; 2; 15/8; 2; 19/10; 15/8; 9/5; 2; 15/8; 2; 15/8; 37/19; 21/10; 21/10; 37/19; 111/50; 11/6; 21/10; ; 21/10; ; ; 9/5; 
Draw; 12/5; 23/10; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 47/20; 11/5; 23/10; 12/5; 23/10; 2; 9/4; 23/10; 13/5; 40/17; 9/4; ; 9/4; ; ; 11/5; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-23 02:21:48 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 13/10; 11/8; 13/10; 11/10; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 5/4; 13/10; 129/100; 16/13; 23/18; ; 23/18; ; ; 5/4; 
Forest Green; 21/10; 19/10; 19/10; 19/10; 2; 2; 2; 15/8; 2; 19/10; 15/8; 9/5; 2; 15/8; 2; 15/8; 37/19; 21/10; 19/10; 37/19; 111/50; 11/6; 37/19; ; 37/19; ; ; 9/5; 
Draw; 12/5; 23/10; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 47/20; 11/5; 23/10; 12/5; 23/10; 2; 9/4; 23/10; 13/5; 40/17; 9/4; ; 9/4; ; ; 11/5; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-23 06:21:08 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 13/10; 11/8; 13/10; 11/10; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 5/4; 13/10; 129/100; 16/13; 23/18; ; 23/18; ; ; 5/4; 
Forest Green; 21/10; 19/10; 19/10; 19/10; 2; 2; 2; 15/8; 2; 19/10; 15/8; 9/5; 2; 15/8; 2; 15/8; 37/19; 21/10; 19/10; 37/19; 111/50; 11/6; 37/19; ; 37/19; ; ; 9/5; 
Draw; 12/5; 23/10; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 47/20; 11/5; 23/10; 12/5; 40/17; 2; 9/4; 40/17; 13/5; 40/17; 9/4; ; 9/4; ; ; 11/5; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-23 10:21:44 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 13/10; 11/8; 7/5; 11/10; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; ; 11/8; 16/13; 25/19; ; 25/19; ; ; 5/4; 
Forest Green; 21/10; 19/10; 19/10; 19/10; 2; 2; 2; 15/8; 2; 19/10; 15/8; 9/5; 2; 15/8; 2; 15/8; 37/19; 21/10; 9/5; ; 103/50; 11/6; 24/13; ; 24/13; ; ; 9/5; 
Draw; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 47/20; 11/5; 23/10; 12/5; 40/17; 2; 9/4; ; 13/5; 40/17; 9/4; ; 9/4; ; ; 11/5; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-23 14:23:36 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 13/10; 11/8; 7/5; 11/10; 13/10; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 11/8; 16/13; 25/19; ; 25/19; ; ; 13/10; 
Forest Green; 21/10; 19/10; 19/10; 19/10; 2; 2; 2; 15/8; 2; 19/10; 15/8; 9/5; 2; 15/8; 2; 15/8; 19/10; 21/10; 9/5; 19/10; 103/50; 11/6; 24/13; ; 24/13; ; ; 9/5; 
Draw; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 12/5; 23/10; 9/4; 47/20; 11/5; 23/10; 12/5; 40/17; 2; 9/4; 40/17; 13/5; 40/17; 9/4; ; 9/4; ; ; 11/5; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-23 18:24:06 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
Lincoln; 5/4; 13/10; 27/20; 11/8; 7/5; 11/10; 7/5; 5/4; 13/10; 11/8; 27/20; 13/10; 13/10; 7/5; 13/10; 13/10; 23/17; 6/5; 13/10; 23/17; 139/100; 16/13; 25/19; ; 25/19; ; ; 11/8; 
Forest Green; 21/10; 19/10; 15/8; 19/10; 19/10; 2; 15/8; 15/8; 2; 19/10; 9/5; 9/5; 2; 19/10; 2; 15/8; 19/10; 21/10; 9/5; 19/10; 103/50; 11/6; 24/13; ; 24/13; ; ; 9/5; 
Draw; 12/5; 23/10; 23/10; 12/5; 12/5; 9/4; 12/5; 23/10; 23/10; 12/5; 9/4; 21/10; 47/20; 9/4; 23/10; 12/5; 23/10; 2; 9/4; 23/10; 64/25; 40/17; 9/4; ; 9/4; ; ; 11/5; 
META; english/non-league/national-league/lincoln-v-forest-green; 2017-03-23 22:22:17 GMT+2; 2017-03-25 12:15; Nothing; Xlenovo
