META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-02 14:53:34 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 21/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 7/4; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-02 19:05:38 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 21/20; ; ; 7/5; ; 5/4; ; 7/5; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 7/4; 11/5; ; ; 19/10; ; 2; ; 7/4; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 12/5; ; 5/2; ; 13/5; ; ; ; 51/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-02 23:04:29 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 21/20; ; ; 7/5; ; 13/10; ; 7/5; ; 7/5; ; 11/8; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 7/4; 11/5; ; ; 15/8; ; 19/10; ; 7/4; ; 7/4; ; 17/10; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 12/5; ; 5/2; ; 13/5; ; 11/5; ; 51/20; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-03 03:01:16 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 21/20; ; ; 7/5; ; 13/10; ; 7/5; ; 7/5; ; 11/8; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 7/4; 11/5; ; ; 15/8; ; 19/10; ; 7/4; ; 7/4; ; 17/10; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 23/10; ; ; 12/5; ; 5/2; ; 13/5; ; 11/5; ; 51/20; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-03 07:01:05 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 21/20; ; ; 7/5; ; 13/10; ; 7/5; ; 7/5; 6/5; 11/8; ; ; 13/10; ; ; 13/10; ; ; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 11/5; ; ; 15/8; ; 19/10; ; 7/4; ; 7/4; 15/8; 17/10; ; ; 15/8; ; ; 17/10; ; ; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; ; ; 12/5; ; 5/2; ; 13/5; ; 11/5; 11/5; 51/20; ; ; 12/5; ; ; 5/2; ; ; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-03 14:26:15 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 29/20; ; 11/8; ; 7/5; ; 7/5; 13/10; 11/8; ; ; 11/8; 13/10; 13/10; 13/10; 13/10; ; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 7/4; ; 9/5; ; 7/4; ; 7/4; 13/8; 17/10; ; ; 9/5; 28/17; 17/10; 17/10; 28/17; ; ; 17/10; ; 17/10; ; ; ; 
Draw; 13/5; 23/10; 9/4; ; 5/2; ; 5/2; ; 13/5; ; 11/5; 12/5; 51/20; ; ; 5/2; 27/11; 9/4; 5/2; 27/11; ; ; 5/2; ; 5/2; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dagenham-redbridge; 2017-04-03 18:26:49 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Macclesfield; 11/8; 23/20; 7/5; ; 7/5; ; 11/8; ; 7/5; ; 11/8; 13/10; 11/8; 11/8; ; 13/10; 13/10; 13/10; 13/10; 13/10; ; ; 4/3; ; 4/3; ; ; ; 
Dagenham & Redbridge; 7/4; 2; 9/5; ; 15/8; ; 9/5; ; 7/4; ; 9/5; 7/4; 17/10; 7/4; ; 15/8; 17/10; 17/10; 17/10; 17/10; ; ; 17/10; ; 17/10; ; ; ; 
