META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-14 22:23:09 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 11/10; ; 11/10; ; 23/20; ; 23/20; 1; ; ; ; ; 21/20; ; ; 15/13; 21/20; ; ; 21/20; ; ; ; ; ; ; ; ; 
Boreham Wood; 12/5; ; 47/20; ; 12/5; ; 23/10; 23/10; ; ; ; ; 12/5; ; ; 9/4; 40/17; ; ; 40/17; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; 23/10; ; 12/5; 12/5; ; ; ; ; 12/5; ; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-15 02:21:44 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 11/10; 13/10; 11/10; ; 11/10; ; 11/10; 1; ; ; ; ; 21/20; ; ; 15/13; 21/20; ; ; ; ; ; ; ; ; ; ; ; 
Boreham Wood; 12/5; 9/5; 47/20; ; 12/5; ; 12/5; 23/10; ; ; ; ; 12/5; ; ; 9/4; 40/17; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; 12/5; ; 12/5; 12/5; ; ; ; ; 12/5; ; ; 12/5; 40/17; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-15 06:21:41 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 11/10; 13/10; 11/10; ; 11/10; ; 11/10; 1; 11/10; ; ; 21/20; 21/20; ; ; 15/13; 21/20; ; ; 21/20; ; ; ; ; ; ; ; ; 
Boreham Wood; 12/5; 9/5; 47/20; ; 12/5; ; 12/5; 23/10; 12/5; ; ; 11/5; 12/5; ; ; 9/4; 40/17; ; ; 40/17; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; ; 12/5; ; 12/5; 12/5; 12/5; ; ; 9/4; 12/5; ; ; 12/5; 40/17; ; ; 40/17; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-15 10:21:45 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 11/10; 13/10; 11/10; 11/10; 11/10; ; 11/10; 1; 11/10; ; ; 1; 21/20; ; ; 11/10; 21/20; ; 1; 21/20; ; ; 24/23; ; 24/23; ; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 12/5; ; 12/5; 12/5; 12/5; ; ; 9/4; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; ; ; 12/5; ; 12/5; ; ; ; 
Boreham Wood; 12/5; 9/5; 47/20; 13/5; 12/5; ; 12/5; 23/10; 12/5; ; ; 9/4; 12/5; ; ; 23/10; 40/17; ; 23/10; 40/17; ; ; 23/10; ; 23/10; ; ; ; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-15 14:21:46 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 13/10; 11/10; 11/10; 23/20; ; 23/20; 1; 11/10; ; ; 11/10; 21/20; ; ; 11/10; 15/13; ; 1; 15/13; 6/5; ; 24/23; ; 24/23; ; ; ; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; ; 12/5; 12/5; 12/5; ; ; 21/10; 12/5; ; ; 12/5; 40/17; ; 12/5; 40/17; 5/2; ; 12/5; ; 12/5; ; ; ; 
Boreham Wood; 23/10; 9/5; 47/20; 13/5; 12/5; ; 23/10; 23/10; 12/5; ; ; 11/5; 12/5; ; ; 23/10; 11/5; ; 23/10; 11/5; 5/2; ; 23/10; ; 23/10; ; ; ; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-15 18:21:56 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 13/10; 5/4; 11/10; 5/4; ; 13/10; 1; 5/4; 5/4; 5/4; 6/5; 6/5; ; 5/4; 6/5; 5/4; ; 13/10; 5/4; 123/100; 16/13; 13/10; ; 13/10; ; ; 5/4; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; ; 12/5; 12/5; 23/10; 12/5; 11/5; 21/10; 47/20; ; 9/4; 23/10; 9/4; ; 21/10; 9/4; 5/2; ; 28/13; ; 28/13; ; ; 19/10; 
Boreham Wood; 23/10; 9/5; 41/20; 13/5; 9/4; ; 2; 23/10; 85/40; 2; 2; 2; 21/10; ; 21/10; 11/5; 21/10; ; 2; 21/10; 121/50; 20/11; 2; ; 2; ; ; 15/8; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-15 22:22:01 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 6/5; 5/4; 11/10; 5/4; 23/20; 13/10; 11/10; 5/4; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 6/5; 5/4; 11/10; 13/10; 5/4; 13/10; 16/13; 13/10; ; 13/10; ; ; 5/4; 
Boreham Wood; 23/10; 21/10; 41/20; 5/2; 11/5; 19/10; 2; 9/4; 85/40; 2; 2; 2; 21/10; 19/10; 21/10; 11/5; 39/19; 21/10; 2; 39/19; 9/4; 20/11; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 9/4; 9/4; 23/10; 23/10; 11/5; 12/5; 11/5; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 9/4; 23/10; 23/10; 9/4; 21/10; 23/10; 5/2; ; 28/13; ; 28/13; ; ; 2; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-16 02:21:16 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 5/4; 5/4; 6/5; 13/10; 23/20; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 11/10; 13/10; 5/4; 13/10; 16/13; 13/10; ; 13/10; ; ; 5/4; 
Boreham Wood; 23/10; 2; 41/20; 2; 21/10; 19/10; 2; 2; 85/40; 2; 2; 2; 21/10; 19/10; 21/10; 11/5; 39/19; 21/10; 2; 39/19; 9/4; 20/11; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 9/4; 23/10; 23/10; 9/4; 21/10; 23/10; 5/2; 40/17; 28/13; ; 28/13; ; ; 2; 
META; english/non-league/national-league/maidstone-v-boreham-wood; 2017-04-16 06:21:09 GMT+3; 2017-04-17 15:00; Nothing; Xlenovo
Maidstone; 23/20; 5/4; 5/4; 6/5; 13/10; 23/20; 13/10; 6/5; 5/4; 13/10; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 5/4; 11/10; 13/10; 5/4; 13/10; 16/13; 13/10; ; 13/10; ; ; 5/4; 
Boreham Wood; 23/10; 2; 41/20; 2; 21/10; 19/10; 2; 2; 85/40; 2; 2; 2; 21/10; 19/10; 21/10; 11/5; 39/19; 21/10; 2; 39/19; 9/4; 20/11; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 11/5; 12/5; 9/4; 23/10; 23/10; 11/5; 21/10; 47/20; 21/10; 9/4; 23/10; 23/10; 9/4; 21/10; 23/10; 5/2; 40/17; 28/13; ; 28/13; ; ; 2; 
