META; english/premier-league/leicester-v-hull; 2017-02-12 14:16:24 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 22/25; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 131/50; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 77/20; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-12 22:16:18 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; ; 10/11; 7/10; ; ; ; 1; 4/5; 1; 20/21; 19/20; ; ; ; ; 1; 1; 1; ; 1; 11/10; ; ; ; ; ; ; 
Draw; ; 12/5; 5/2; ; ; ; 5/2; 12/5; 5/2; 12/5; 11/5; ; ; ; ; 5/2; 12/5; 12/5; ; 12/5; 49/20; ; ; ; ; ; ; 
Hull; ; 3; 19/5; ; ; ; 31/10; 10/3; 3; 14/5; 11/4; ; ; ; ; 16/5; 45/17; 13/5; ; 45/17; 3; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-13 02:16:46 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; ; 10/11; 19/20; ; ; ; 1; 4/5; 1; 20/21; 19/20; ; ; ; ; 1; 1; 1; ; 1; 11/10; ; ; ; ; ; ; 
Draw; ; 12/5; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 11/5; ; ; ; ; 5/2; 12/5; 12/5; ; 12/5; 49/20; ; ; ; ; ; ; 
Hull; ; 3; 27/10; ; ; ; 31/10; 10/3; 3; 14/5; 11/4; ; ; ; ; 16/5; 45/17; 13/5; ; 45/17; 3; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-13 06:16:15 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 1; 10/11; 19/20; ; ; ; 1; 4/5; 1; 20/21; 19/20; ; ; ; ; 1; 1; 1; ; 1; 11/10; ; ; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 11/5; ; ; ; ; 5/2; 12/5; 12/5; ; 12/5; 49/20; ; ; ; ; ; ; 
Hull; 11/4; 3; 27/10; ; ; ; 31/10; 10/3; 3; 14/5; 11/4; ; ; ; ; 31/10; 45/17; 13/5; ; 45/17; 3; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-13 10:16:15 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 1; 10/11; 19/20; ; ; ; 1; 4/5; 1; 20/21; 19/20; ; ; ; 21/20; 1; 1; 1; ; 1; 11/10; ; ; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 11/5; ; ; ; 5/2; 5/2; 12/5; 12/5; ; 12/5; 49/20; ; ; ; ; ; ; 
Hull; 11/4; 3; 27/10; ; ; ; 31/10; 10/3; 3; 14/5; 11/4; ; ; ; 13/5; 31/10; 27/10; 13/5; ; 27/10; 3; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-hull; 2017-02-13 14:16:27 GMT+2; 2017-03-04 15:00; Nothing; Xlenovo
Leicester; 19/20; 10/11; 19/20; ; ; ; 19/20; 4/5; 1; 20/21; 19/20; 1; ; ; 1; 1; 1; 1; ; 1; 11/10; 9/10; ; ; ; ; ; 
Draw; 12/5; 12/5; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 11/5; 12/5; ; ; 5/2; 5/2; 12/5; 12/5; ; 12/5; 49/20; 5/2; ; ; ; ; ; 
Hull; 3; 3; 27/10; ; ; ; 10/3; 10/3; 3; 14/5; 11/4; 11/4; ; ; 11/4; 16/5; 14/5; 13/5; ; 14/5; 3; 41/13; ; ; ; ; ; 
