META; english/premier-league/man-city-v-crystal-palace; 2017-04-23 18:15:58 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/10; ; ; 13/50; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-23 22:15:54 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/10; ; ; 13/50; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; 12; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-24 02:15:49 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/10; ; ; 13/50; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; 21/10; ; 
Crystal Palace; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; 12; ; ; ; ; ; 1/6; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-24 06:15:52 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/10; ; ; 7/25; ; ; ; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; 21/10; ; 
Crystal Palace; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; 21/2; ; ; ; ; ; 1/6; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-24 10:15:50 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/10; ; ; 7/25; ; ; ; ; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; 11/5; ; 
Crystal Palace; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; ; ; 21/2; ; ; ; ; ; 14/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-24 14:15:52 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-24 18:15:56 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-24 22:15:51 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-25 02:15:50 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; 3/10; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; 11/4; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; 23/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-25 06:15:50 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; 3/10; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; 11/4; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; 23/5; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-25 10:15:50 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; ; 1/4; ; ; ; ; ; ; ; ; 3/10; 2/9; ; 7/25; ; 2/9; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 21/4; ; ; ; ; ; ; ; ; 9/2; 26/5; ; 29/5; ; 21/4; ; 21/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; 10; ; ; ; ; ; ; ; ; 15/2; 11; ; 21/2; ; 11; ; 11; ; ; ; 
META; english/premier-league/man-city-v-crystal-palace; 2017-04-25 14:15:52 GMT+3; 2017-05-06 12:30; Nothing; Xlenovo
