META; english/premier-league/man-utd-v-everton; 2017-03-18 22:16:10 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; ; ; 8/15; ; ; ; ; 8/15; 8/13; ; ; ; ; ; ; ; ; 3/5; ; ; 17/25; ; ; ; ; ; ; ; 
Draw; ; ; 29/10; ; ; ; ; 29/10; 14/5; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; ; 
Everton; ; ; 5; ; ; ; ; 5; 5; ; ; ; ; ; ; ; ; 9/2; ; ; 53/10; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-19 02:16:15 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; ; ; 8/15; ; ; ; ; 8/15; 8/13; ; ; ; ; ; ; ; ; 3/5; ; ; 17/25; ; ; ; ; ; ; ; 
Draw; ; ; 29/10; ; ; ; ; 29/10; 14/5; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; ; 
Everton; ; ; 5; ; ; ; ; 5; 5; ; ; ; ; ; ; ; ; 9/2; ; ; 53/10; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-19 06:15:57 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; ; ; 8/15; ; ; ; ; 8/15; 8/13; ; ; ; ; ; ; ; ; 3/5; ; ; 17/25; ; ; ; ; ; ; ; 
Draw; ; ; 29/10; ; ; ; ; 29/10; 14/5; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; ; 
Everton; ; ; 5; ; ; ; ; 5; 5; ; ; ; ; ; ; ; ; 9/2; ; ; 53/10; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-19 10:16:07 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; ; ; 8/15; ; ; ; ; 8/15; 8/13; ; ; ; ; ; ; ; ; 3/5; ; ; 17/25; ; ; ; ; ; ; ; 
Draw; ; ; 29/10; ; ; ; ; 29/10; 14/5; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; ; 
Everton; ; ; 5; ; ; ; ; 5; 5; ; ; ; ; ; ; ; ; 9/2; ; ; 53/10; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-19 14:16:15 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; ; ; 8/15; ; ; ; ; 8/15; 8/13; ; ; ; ; ; ; ; ; 3/5; ; ; 17/25; ; ; ; ; ; ; ; 
Draw; ; ; 29/10; ; ; ; ; 29/10; 14/5; ; ; ; ; ; ; ; ; 11/4; ; ; 14/5; ; ; ; ; ; ; ; 
Everton; ; ; 5; ; ; ; ; 5; 5; ; ; ; ; ; ; ; ; 9/2; ; ; 53/10; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-19 18:16:34 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; ; ; 8/15; ; ; ; ; 8/15; 8/13; 8/13; 4/7; ; ; ; ; 8/13; ; 3/5; ; ; 17/25; ; ; ; ; ; ; ; 
Draw; ; ; 29/10; ; ; ; ; 29/10; 3; 14/5; 13/5; ; ; ; ; 31/10; ; 11/4; ; ; 14/5; ; ; ; ; ; ; ; 
Everton; ; ; 5; ; ; ; ; 5; 19/4; 19/4; 9/2; ; ; ; ; 11/2; ; 9/2; ; ; 53/10; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-19 22:16:01 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; ; ; 8/15; ; ; ; ; 8/15; 4/7; 3/5; 4/7; ; ; ; 13/20; 8/13; 11/18; 3/5; 4/7; 11/18; 63/100; ; 4/7; ; 4/7; ; ; ; 
Draw; ; ; 29/10; ; ; ; ; 29/10; 3; 14/5; 27/10; ; ; ; 14/5; 31/10; 29/10; 11/4; 14/5; 29/10; 31/10; ; 29/10; ; 29/10; ; ; ; 
Everton; ; ; 5; ; ; ; ; 5; 19/4; 19/4; 9/2; ; ; ; 9/2; 11/2; 47/10; 9/2; 5; 47/10; 26/5; ; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-20 02:16:14 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; ; 8/15; ; 3/5; ; 8/13; 8/15; 4/7; 3/5; 4/7; ; ; ; 8/13; 8/13; 11/18; 3/5; 4/7; 11/18; 63/100; ; 4/7; ; 4/7; ; ; ; 
Draw; 3; ; 29/10; ; 3; ; 3; 29/10; 3; 14/5; 27/10; ; ; ; 3; 16/5; 56/19; 11/4; 14/5; 56/19; 31/10; ; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; ; 5; ; 9/2; ; 21/4; 5; 19/4; 19/4; 9/2; ; ; ; 9/2; 5; 79/17; 9/2; 5; 79/17; 26/5; ; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-20 06:15:48 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; ; 8/15; ; 3/5; ; 3/5; 8/15; 4/7; 3/5; 4/7; ; ; ; 8/13; 8/13; 11/18; 3/5; 4/7; 11/18; 63/100; ; 4/7; ; 4/7; ; ; ; 
Draw; 3; ; 29/10; ; 3; ; 3; 29/10; 3; 14/5; 27/10; ; ; ; 3; 16/5; 56/19; 11/4; 14/5; 56/19; 31/10; ; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; ; 5; ; 9/2; ; 11/2; 5; 19/4; 19/4; 9/2; ; ; ; 9/2; 5; 79/17; 9/2; 5; 79/17; 26/5; ; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-20 10:15:49 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; ; 8/13; ; 8/13; 4/7; 8/13; 8/15; 4/7; 3/5; 4/7; ; ; ; 8/13; 8/13; 11/18; 3/5; 4/7; 11/18; 61/100; ; 4/7; ; 4/7; ; ; ; 
Draw; 3; ; 29/10; ; 3; 16/5; 3; 29/10; 3; 14/5; 27/10; ; ; ; 3; 16/5; 56/19; 11/4; 14/5; 56/19; 16/5; ; 29/10; ; 29/10; ; ; ; 
Everton; 9/2; ; 19/4; ; 9/2; 9/2; 21/4; 5; 19/4; 19/4; 9/2; ; ; ; 9/2; 5; 23/5; 9/2; 5; 23/5; 53/10; ; 5; ; 5; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-03-20 14:15:53 GMT+2; 2017-04-04 20:00; Nothing; Xlenovo
Man Utd; 4/7; ; 8/13; ; 3/5; 4/7; 3/5; 8/15; 4/7; 4/7; 4/7; 6/10; ; ; 8/13; 8/13; 4/7; 3/5; 4/7; 4/7; 61/100; 3/5; 4/7; ; 4/7; ; ; ; 
