META; english/premier-league/middlesbrough-v-burnley; 2017-04-01 22:41:44 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; ; ; 1; ; ; 21/20; 11/10; 11/10; 11/10; ; ; 21/20; ; ; ; 11/10; 21/20; 1; ; ; 59/50; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; 9/4; 23/10; 11/5; 23/10; ; ; 11/5; ; ; ; 12/5; 40/17; 9/4; ; ; 23/10; ; ; ; ; ; ; ; 
Burnley; ; ; 5/2; ; ; 13/5; 3; 5/2; 14/5; ; ; 14/5; ; ; ; 29/10; 14/5; 11/4; ; ; 59/20; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-02 02:41:52 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; ; ; 1; ; ; 21/20; 21/20; 11/10; 11/10; ; ; 21/20; ; ; ; 11/10; 1; 1; ; 1; 59/50; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; 9/4; 23/10; 11/5; 23/10; ; ; 11/5; ; ; ; 12/5; 40/17; 9/4; ; 40/17; 23/10; ; ; ; ; ; ; ; 
Burnley; ; ; 5/2; ; ; 13/5; 31/10; 5/2; 14/5; ; ; 14/5; ; ; ; 29/10; 37/13; 11/4; ; 37/13; 59/20; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-02 06:41:40 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; ; ; 1; ; ; 21/20; 21/20; 11/10; 11/10; ; ; 21/20; ; ; ; 11/10; 21/20; 1; ; 21/20; 59/50; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; 9/4; 23/10; 11/5; 23/10; ; ; 11/5; ; ; ; 12/5; 40/17; 9/4; ; 40/17; 23/10; ; ; ; ; ; ; ; 
Burnley; ; ; 5/2; ; ; 13/5; 31/10; 5/2; 14/5; ; ; 14/5; ; ; ; 29/10; 14/5; 11/4; ; 14/5; 59/20; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-02 10:41:57 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; ; ; 1; ; ; 21/20; 21/20; 11/10; 11/10; ; ; 21/20; ; ; ; 11/10; 1; 1; ; 1; 59/50; ; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; 9/4; 23/10; 11/5; 23/10; ; ; 11/5; ; ; ; 12/5; 40/17; 9/4; ; 40/17; 23/10; ; ; ; ; ; ; ; 
Burnley; ; ; 5/2; ; ; 13/5; 31/10; 5/2; 14/5; ; ; 14/5; ; ; ; 29/10; 37/13; 11/4; ; 37/13; 59/20; ; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-02 14:41:56 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
