META; english/premier-league/middlesbrough-v-man-utd; 2017-03-04 22:16:38 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; ; ; 4/9; ; ; ; ; 1/2; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 61/100; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; 3; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Middlesbrough; ; ; 11/2; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 5; ; ; 28/5; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-05 02:16:36 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; ; ; 4/9; ; ; ; ; 1/2; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 61/100; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; 3; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Middlesbrough; ; ; 11/2; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 5; ; ; 28/5; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-05 06:16:18 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; ; ; 4/9; ; ; ; ; 1/2; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 61/100; ; ; ; ; ; ; 
Draw; ; ; 10/3; ; ; ; ; 3; 3; ; ; ; ; ; ; ; ; 3; ; ; 31/10; ; ; ; ; ; ; 
Middlesbrough; ; ; 11/2; ; ; ; ; 5; 21/4; ; ; ; ; ; ; ; ; 5; ; ; 28/5; ; ; ; ; ; ; 
META; english/premier-league/middlesbrough-v-man-utd; 2017-03-05 10:16:38 GMT+2; 2017-03-19 12:00; Nothing; Xlenovo
Man Utd; ; ; 4/9; ; ; ; ; 1/2; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 61/100; ; ; ; ; ; ; 
