META; english/premier-league/southampton-v-hull; 2017-04-12 18:16:15 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-15 18:16:15 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 63/100; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-15 22:15:59 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; 63/100; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-16 02:15:55 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 3; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 11/2; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-16 06:15:57 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 3; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 11/2; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-16 10:15:56 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 11/4; ; ; 3; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 11/2; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-16 14:15:58 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; 14/5; ; ; ; ; ; ; ; ; 11/4; ; ; 3; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; 11/2; ; ; ; ; ; ; ; ; 11/2; ; ; 11/2; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-16 18:15:54 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; 14/5; ; ; ; ; ; ; ; ; 11/4; ; ; 3; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; 11/2; ; ; ; ; ; ; ; ; 11/2; ; ; 11/2; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-16 22:15:51 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; 14/5; ; ; ; ; ; ; ; ; 11/4; ; ; 3; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; 11/2; ; ; ; ; ; ; ; ; 11/2; ; ; 11/2; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-17 02:15:49 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 5/2; 14/5; ; ; ; ; ; ; ; ; 11/4; ; ; 3; ; ; ; ; ; ; ; 
Hull; ; ; ; ; ; ; ; 9/2; 11/2; ; ; ; ; ; ; ; ; 11/2; ; ; 11/2; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-hull; 2017-04-17 06:15:51 GMT+3; 2017-04-29 15:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/7; 4/7; ; ; ; ; ; ; ; ; 8/15; ; ; 63/100; ; ; ; ; ; ; ; 
