META; english/premier-league/swansea-v-stoke; 2017-04-08 22:16:40 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; ; ; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 7/5; ; ; ; ; ; ; ; 
Stoke; ; ; 2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; ; ; 12/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-09 02:16:26 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; ; ; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 7/5; ; ; ; ; ; ; ; 
Stoke; ; ; 2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; ; ; 12/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-09 06:16:05 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; ; ; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 7/5; ; ; ; ; ; ; ; 
Stoke; ; ; 2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; ; ; 12/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-09 10:16:42 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; ; ; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; 7/5; ; ; ; ; ; ; ; 
Stoke; ; ; 2; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 2; ; ; 9/4; ; ; ; ; ; ; ; 
Draw; ; ; 23/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; 11/5; ; ; 12/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-09 14:16:14 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; ; 5/4; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; 13/10; ; 23/17; ; ; 7/5; ; ; ; ; ; ; ; 
Stoke; ; 11/5; 2; ; ; ; ; 2; ; ; ; ; ; ; ; 23/10; ; 2; ; ; 9/4; ; ; ; ; ; ; ; 
Draw; ; 23/10; 23/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; 5/2; ; 11/5; ; ; 12/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-09 18:16:34 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; ; 5/4; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; 13/10; ; 23/17; ; ; 7/5; ; ; ; ; ; ; ; 
Stoke; ; 11/5; 2; ; ; ; ; 2; ; ; ; ; ; ; ; 23/10; ; 2; ; ; 9/4; ; ; ; ; ; ; ; 
Draw; ; 23/10; 23/10; ; ; ; ; 9/4; ; ; ; ; ; ; ; 5/2; ; 11/5; ; ; 12/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-stoke; 2017-04-09 22:16:03 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Swansea; 23/20; 5/4; 5/4; ; ; ; 11/8; 6/5; 13/10; 5/4; 5/4; ; 5/4; ; 13/10; 13/10; 5/4; 23/17; 23/20; 5/4; 7/5; ; 15/13; ; 15/13; ; ; ; 
Draw; 11/5; 23/10; 23/10; ; ; ; 23/10; 9/4; 12/5; 23/10; 11/5; ; 23/10; ; 23/10; 12/5; 9/4; 11/5; 23/10; 9/4; 12/5; ; 23/10; ; 23/10; ; ; ; 
