META; spain/copa-del-rey/barcelona-v-alaves; 2017-02-09 12:03:18 GMT+2; 2017-05-27 15:00; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Alaves; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/copa-del-rey/barcelona-v-alaves; 2017-02-09 18:26:22 GMT+2; 2017-05-27 15:00; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; 1/6; ; ; ; 2/11; ; ; ; 2/11; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; ; ; 
Alaves; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; 16; ; ; ; 11; ; ; ; 11; ; ; ; ; 
META; spain/copa-del-rey/barcelona-v-alaves; 2017-02-09 22:25:22 GMT+2; 2017-05-27 15:00; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; 1/6; ; ; ; 2/11; ; ; ; 2/11; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; ; ; 
Alaves; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; 16; ; ; ; 11; ; ; ; 11; ; ; ; ; 
META; spain/copa-del-rey/barcelona-v-alaves; 2017-02-10 02:26:35 GMT+2; 2017-05-27 15:00; Nothing; Xlenovo
Barcelona; ; ; ; ; ; ; 1/6; ; ; ; ; ; ; ; 1/6; ; ; ; 2/11; ; ; ; 2/11; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; 13/2; ; ; ; 13/2; ; ; ; 13/2; ; ; ; ; 
