META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-05 22:19:00 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 10/11; ; 14/19; 17/20; ; ; ; ; 8/15; ; 
Draw; 11/4; ; 5/2; ; ; ; 11/4; ; ; 13/5; 5/2; ; 27/10; ; ; 14/5; 27/10; 5/2; ; 27/10; 14/5; ; ; ; ; 13/8; ; 
Sevilla; 7/2; ; 3; ; ; ; 17/5; ; ; 16/5; 16/5; ; 10/3; ; ; 7/2; 13/4; 14/5; ; 13/4; 15/4; ; ; ; ; 13/8; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 02:19:32 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 10/11; ; 14/19; 17/20; ; ; ; ; 8/15; ; 
Draw; 11/4; ; 5/2; ; ; ; 11/4; ; ; 13/5; 5/2; ; 27/10; ; ; 11/4; 27/10; 5/2; ; 27/10; 14/5; ; ; ; ; 13/8; ; 
Sevilla; 7/2; ; 3; ; ; ; 17/5; ; ; 10/3; 16/5; ; 10/3; ; ; 7/2; 33/10; 14/5; ; 33/10; 15/4; ; ; ; ; 13/8; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 06:18:36 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 11/13; ; 14/19; 17/20; ; ; ; ; 8/15; ; 
Draw; 11/4; ; 5/2; ; ; ; 11/4; ; ; 13/5; 5/2; ; 27/10; ; ; 14/5; 27/10; 45/17; ; 27/10; 14/5; ; ; ; ; 13/8; ; 
Sevilla; 7/2; ; 3; ; ; ; 17/5; ; ; 10/3; 16/5; ; 10/3; ; ; 7/2; 33/10; 29/10; ; 33/10; 15/4; ; ; ; ; 13/8; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-06 10:18:38 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; 17/20; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 11/13; ; 14/19; 17/20; ; ; ; ; 4/7; ; 
Draw; 11/4; ; 5/2; ; ; 14/5; 11/4; ; ; 13/5; 5/2; ; 27/10; ; ; 14/5; 27/10; 45/17; ; 27/10; 14/5; ; ; ; ; 19/10; ; 
