META; spain/la-liga-primera/eibar-v-gijon; 2017-05-02 10:56:46 GMT+3; 2017-05-14 12:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; ; ; 
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; ; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-02 18:18:09 GMT+3; 2017-05-14 12:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; ; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; ; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-02 22:18:12 GMT+3; 2017-05-14 12:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 7/5; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-03 02:18:13 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 7/5; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-03 10:18:12 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 7/5; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-03 14:18:15 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
Draw; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 11/4; 11/4; ; 59/20; ; 11/4; ; 11/4; ; 7/5; ; 
Gijon; ; ; ; ; ; ; ; ; 17/4; ; ; ; ; ; ; ; ; 4; 24/5; ; 43/10; ; 24/5; ; 24/5; ; 9/4; ; 
META; spain/la-liga-primera/eibar-v-gijon; 2017-05-03 18:18:11 GMT+3; 2017-05-14 19:00; Nothing; Xlenovo
Eibar; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; ; ; ; 11/17; 4/7; ; 37/50; ; 3/5; ; 3/5; ; 2/5; ; 
