META; spain/la-liga-primera/real-sociedad-v-deportivo-la-coruna; 2017-04-09 02:20:16 GMT+3; 2017-04-23 11:00; Nothing; Xlenovo
Real Sociedad; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 41/50; ; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 53/20; ; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/5; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-deportivo-la-coruna; 2017-04-09 06:19:09 GMT+3; 2017-04-23 11:00; Nothing; Xlenovo
Real Sociedad; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 41/50; ; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 53/20; ; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/5; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-deportivo-la-coruna; 2017-04-09 10:20:52 GMT+3; 2017-04-23 11:00; Nothing; Xlenovo
Real Sociedad; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 41/50; ; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 53/20; ; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/5; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-deportivo-la-coruna; 2017-04-09 14:19:16 GMT+3; 2017-04-23 11:00; Nothing; Xlenovo
Real Sociedad; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 41/50; ; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 53/20; ; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/5; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-deportivo-la-coruna; 2017-04-09 18:20:44 GMT+3; 2017-04-23 11:00; Nothing; Xlenovo
Real Sociedad; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 41/50; ; ; ; ; ; ; ; 
Draw; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 53/20; ; ; ; ; ; ; ; 
Deportivo La Coruna; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/5; ; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-sociedad-v-deportivo-la-coruna; 2017-04-09 22:19:15 GMT+3; 2017-04-23 11:00; Nothing; Xlenovo
