META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-20 18:23:44 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; ; 11/10; 1; 11/10; ; 1; 11/10; 11/10; ; 1; ; ; ; 21/20; ; ; 21/20; 29/25; 42/41; ; ; ; ; ; ; 
Draw; 2; 2; 2; ; 21/10; 41/20; 85/40; ; 2; 2; 2; ; 11/5; ; ; ; 39/19; ; ; 39/19; 21/10; 39/19; ; ; ; ; ; ; 
Tenerife; 31/10; 11/4; 27/10; ; 11/4; 13/5; 29/10; ; 11/4; 14/5; 13/5; ; 29/10; ; ; ; 37/13; ; ; 37/13; 31/10; 13/5; ; ; ; ; ; ; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-20 22:23:23 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 21/20; 21/20; 11/10; 1; 11/10; ; 21/20; 11/10; 11/10; ; 11/10; ; 21/20; ; 21/20; ; ; 21/20; 29/25; 42/41; ; 21/20; ; ; 1; 21/20; 
Draw; 2; 2; 2; 2; 21/10; 41/20; 85/40; ; 2; 2; 2; ; 11/5; ; 2; ; 2; ; ; 2; 21/10; 39/19; ; 21/10; ; ; 19/10; 21/10; 
Tenerife; 31/10; 11/4; 11/4; 11/4; 11/4; 13/5; 29/10; ; 13/5; 14/5; 13/5; ; 11/4; ; 3; ; 14/5; ; ; 14/5; 31/10; 13/5; ; 13/5; ; ; 5/2; 5/2; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-21 02:23:00 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; ; 21/20; 11/10; 11/10; 21/20; 11/10; ; 21/20; ; 21/20; 11/10; 1; 21/20; 29/25; 42/41; 42/41; 21/20; 24/23; ; 1; 21/20; 
Draw; 2; 2; 2; 2; 21/10; 2; 21/10; ; 2; 2; 2; 2; 11/5; ; 2; ; 39/19; 2; 2; 39/19; 21/10; 39/19; 39/19; 21/10; 21/10; ; 19/10; 19/10; 
Tenerife; 31/10; 11/4; 11/4; 11/4; 11/4; 13/5; 3; ; 13/5; 14/5; 13/5; 14/5; 11/4; ; 3; ; 37/13; 27/10; 14/5; 37/13; 31/10; 13/5; 56/19; 13/5; 3; ; 5/2; 5/2; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-21 06:22:32 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; ; 21/20; 11/10; 11/10; 21/20; 11/10; ; 21/20; ; 21/20; 11/10; 1; 21/20; 29/25; 42/41; 42/41; 21/20; 24/23; ; 1; 21/20; 
Draw; 2; 2; 2; 2; 21/10; 2; 85/40; ; 2; 2; 2; 2; 11/5; ; 2; ; 39/19; 2; 2; 39/19; 21/10; 39/19; 39/19; 21/10; 21/10; ; 19/10; 19/10; 
Tenerife; 31/10; 11/4; 11/4; 11/4; 11/4; 13/5; 29/10; ; 13/5; 14/5; 13/5; 14/5; 11/4; ; 3; ; 37/13; 27/10; 14/5; 37/13; 31/10; 13/5; 56/19; 13/5; 3; ; 5/2; 19/10; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-21 10:22:32 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 1; 21/20; 11/10; 11/10; 21/20; 11/10; ; 21/20; ; 21/20; 11/10; 1; 21/20; 29/25; 42/41; 42/41; 21/20; 24/23; ; 1; 21/20; 
Draw; 2; 2; 2; 2; 21/10; 2; 85/40; 2; 2; 2; 2; 2; 11/5; ; 2; ; 39/19; 2; 2; 39/19; 21/10; 39/19; 39/19; 21/10; 21/10; ; 19/10; 19/10; 
