META; spain/la-liga-segunda/gimnastic-v-numancia; 2017-02-12 02:27:13 GMT+2; 2017-02-18 17:00; Nothing; Xlenovo
Gimnastic; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Numancia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/gimnastic-v-numancia; 2017-02-12 06:24:25 GMT+2; 2017-02-18 17:00; Nothing; Xlenovo
Gimnastic; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Numancia; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/gimnastic-v-numancia; 2017-02-12 10:24:54 GMT+2; 2017-02-18 17:00; Nothing; Xlenovo
Gimnastic; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Numancia; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/gimnastic-v-numancia; 2017-02-12 14:25:16 GMT+2; 2017-02-18 17:00; Nothing; Xlenovo
Gimnastic; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Numancia; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/gimnastic-v-numancia; 2017-02-12 18:23:48 GMT+2; 2017-02-18 17:00; Nothing; Xlenovo
Gimnastic; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Numancia; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
