META; spain/la-liga-segunda/mirandes-v-oviedo; 2017-02-09 12:02:05 GMT+2; 2017-02-12 17:00; Nothing; Xlenovo
Mirandes; 6/4; 6/4; 31/20; 31/20; 8/5; 29/20; 8/5; 7/5; 6/4; 8/5; 31/20; 8/5; 6/4; 8/5; 6/4; 17/11; 8/5; 16/11; 6/4; 8/5; 161/100; 19/13; 17/11; 6/4; ; 6/4; 6/4; 13/8
Oviedo; 15/8; 7/4; 7/4; 9/5; 15/8; 7/4; 9/5; 9/5; 7/4; 19/10; 17/10; 17/10; 19/10; 7/4; 15/8; 9/5; 19/10; 24/13; 9/5; 19/10; 101/50; 22/13; 9/5; 9/5; ; 9/5; 13/8; 2
Draw; 11/5; 2; 41/20; 2; 21/10; 2; 11/5; 2; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 21/10; 21/10; 2; 21/10; 11/5; 21/10; 39/19; 2; ; 19/10; 2; 21/10
META; spain/la-liga-segunda/mirandes-v-oviedo; 2017-02-09 18:25:09 GMT+2; 2017-02-12 17:00; Nothing; Xlenovo
Mirandes; 6/4; 6/4; 31/20; 31/20; 8/5; 29/20; 8/5; 7/5; 6/4; 8/5; 31/20; 8/5; 6/4; 8/5; 6/4; 17/11; 8/5; 16/11; 6/4; 8/5; 161/100; 19/13; 17/11; 6/4; ; 6/4; 6/4; 13/8
Oviedo; 15/8; 9/5; 7/4; 9/5; 15/8; 7/4; 9/5; 9/5; 7/4; 19/10; 17/10; 17/10; 19/10; 7/4; 15/8; 9/5; 19/10; 24/13; 9/5; 19/10; 101/50; 22/13; 9/5; 9/5; ; 9/5; 13/8; 2
Draw; 11/5; 2; 41/20; 2; 21/10; 2; 11/5; 2; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 21/10; 21/10; 2; 21/10; 11/5; 21/10; 39/19; 2; ; 19/10; 2; 21/10
META; spain/la-liga-segunda/mirandes-v-oviedo; 2017-02-09 22:23:44 GMT+2; 2017-02-12 17:00; Nothing; Xlenovo
Mirandes; 6/4; 6/4; 31/20; 31/20; 8/5; 29/20; 8/5; 7/5; 6/4; 8/5; 31/20; 8/5; 6/4; 8/5; 6/4; 17/11; 8/5; 16/11; 6/4; 8/5; 161/100; 19/13; 17/11; 6/4; ; 6/4; 6/4; 13/8
Oviedo; 15/8; 9/5; 7/4; 9/5; 15/8; 7/4; 9/5; 9/5; 7/4; 19/10; 17/10; 17/10; 19/10; 7/4; 15/8; 9/5; 19/10; 24/13; 9/5; 19/10; 101/50; 22/13; 9/5; 9/5; ; 9/5; 13/8; 2
Draw; 11/5; 2; 41/20; 2; 21/10; 2; 11/5; 2; 2; 2; 2; 2; 21/10; 2; 21/10; 2; 21/10; 21/10; 2; 21/10; 11/5; 21/10; 39/19; 2; ; 19/10; 2; 21/10
