META; english/championship/aston-villa-v-birmingham; 2018-02-03 22:19:45 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
Birmingham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 
META; english/championship/aston-villa-v-birmingham; 2018-02-04 02:19:36 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; ; 8/13; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; 14/5; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; 
Birmingham; ; 9/2; ; ; 47/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 
META; english/championship/aston-villa-v-birmingham; 2018-02-04 10:19:35 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; 8/13; 8/13; 4/6; ; 7/10; ; ; ; 11/17; 4/6; 4/6; ; ; ; ; 4/6; 11/17; ; ; 11/17; ; 4/6; 4/6; 4/6; ; 4/6; ; 
Draw; 14/5; 14/5; 13/5; ; 3; ; ; ; 45/17; 13/5; 11/4; ; ; ; ; 11/4; 13/5; ; ; 13/5; ; 14/5; 27/10; 13/5; ; 12/5; ; 
Birmingham; 17/4; 9/2; 17/4; ; 9/2; ; ; ; 22/5; 17/4; 9/2; ; ; ; ; 9/2; 21/5; ; ; 43/10; ; 22/5; 17/4; 54/13; ; 7/2; ; 
META; english/championship/aston-villa-v-birmingham; 2018-02-04 14:20:07 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; 8/13; 4/6; 7/10; ; 17/25; ; ; ; 11/17; 7/10; 8/13; ; ; ; 4/6; 4/6; 4/6; 8/13; 9/13; 11/17; 4/6; 4/6; 4/6; 4/6; ; 4/6; ; 
Draw; 14/5; 5/2; 12/5; ; 61/20; ; ; ; 45/17; 12/5; 11/4; ; ; ; 11/4; 13/5; 28/11; 14/5; 28/11; 13/5; 13/5; 27/10; 51/20; 13/5; ; 12/5; ; 
Birmingham; 17/4; 19/4; 9/2; ; 23/5; ; ; ; 22/5; 9/2; 9/2; ; ; ; 9/2; 9/2; 54/13; 17/4; 50/13; 43/10; 9/2; 9/2; 9/2; 21/5; ; 7/2; ; 
META; english/championship/aston-villa-v-birmingham; 2018-02-04 18:19:46 GMT+2; 2018-02-11 12:00; Nothing; Xlenovo
Aston Villa; 8/13; 4/6; 7/10; ; 7/10; ; ; ; 4/6; 7/10; 8/13; ; ; 7/10; 4/6; 4/6; 4/6; 8/13; 9/13; 4/6; 4/6; 4/6; 4/6; 4/6; ; 4/6; ; 
Draw; 14/5; 5/2; 12/5; ; 61/20; ; ; ; 45/17; 12/5; 11/4; ; ; 5/2; 11/4; 13/5; 28/11; 14/5; 28/11; 13/5; 13/5; 27/10; 51/20; 13/5; ; 12/5; ; 
Birmingham; 17/4; 19/4; 9/2; ; 22/5; ; ; ; 22/5; 9/2; 9/2; ; ; 9/2; 9/2; 9/2; 54/13; 17/4; 50/13; 43/10; 9/2; 9/2; 9/2; 21/5; ; 7/2; ; 
