META; english/championship/barnsley-v-ipswich; 2017-08-06 02:19:59 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; ; 11/8; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Ipswich; ; 9/5; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 10:19:55 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; ; 11/8; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Ipswich; ; 9/5; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 14:20:01 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 5/4; 7/5; 6/4; ; 13/10; ; 29/20; ; 6/4; ; ; 29/20; 7/5; ; 6/4; 7/5; ; 6/4; 7/5; 6/4; ; 6/4; ; ; 6/4; ; ; ; 
Ipswich; 9/4; 19/10; 19/10; ; 11/5; ; 2; ; 9/5; ; ; 15/8; 2; ; 19/10; 39/19; ; 9/5; 19/10; 43/20; ; 9/5; ; ; 2; ; ; ; 
Draw; 11/5; 23/10; 11/5; ; 21/10; ; 23/10; ; 23/10; ; ; 23/10; 9/4; ; 9/4; 23/10; ; 9/4; 28/13; 23/10; ; 9/4; ; ; 11/5; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 18:20:20 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 5/4; 7/5; 6/4; ; 13/10; 29/20; 7/5; ; 13/10; 7/5; 11/8; 6/4; 7/5; ; 6/4; 7/5; 5/4; 13/10; 23/17; 6/4; 15/11; 13/10; ; 7/5; 7/5; ; ; ; 
Ipswich; 9/4; 19/10; 19/10; ; 11/5; 39/20; 2; ; 9/4; 28/15; 9/5; 2; 2; ; 19/10; 21/10; 11/5; 11/5; 39/19; 43/20; 16/9; 11/5; ; 2; 2; ; ; ; 
Draw; 11/5; 23/10; 11/5; ; 21/10; 23/10; 23/10; ; 11/5; 21/10; 21/10; 21/10; 9/4; ; 9/4; 23/10; 11/5; 21/10; 11/5; 23/10; 40/17; 28/13; ; 23/10; 11/5; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 22:20:22 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 5/4; 7/5; 6/4; ; 11/8; 29/20; 29/20; ; 7/5; 7/5; 7/5; 29/20; 29/20; ; 6/4; 16/11; 23/17; 11/8; 7/5; 6/4; 15/11; 11/8; ; 6/4; 6/4; ; ; ; 
Ipswich; 9/4; 19/10; 19/10; ; 2; 19/10; 2; ; 21/10; 9/5; 9/5; 15/8; 19/10; ; 19/10; 39/19; 2; 2; 2; 43/20; 16/9; 39/19; ; 2; 2; ; ; ; 
Draw; 11/5; 23/10; 11/5; ; 9/4; 23/10; 23/10; ; 11/5; 21/10; 2; 23/10; 9/4; ; 9/4; 23/10; 11/5; 21/10; 28/13; 23/10; 40/17; 28/13; ; 23/10; 11/5; ; ; ; 
