META; english/championship/barnsley-v-leeds; 2017-11-19 02:21:15 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; ; 7/5; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 6/4; 7/5; ; ; 4/6; ; 
Barnsley; ; 9/5; ; ; ; ; ; ; 40/17; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 19/10; 19/10; ; ; 1; ; 
Draw; ; 9/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 9/4; 47/20; ; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-19 10:21:19 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; ; 7/5; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 6/4; 7/5; ; ; 4/6; ; 
Barnsley; ; 9/5; ; ; ; ; ; ; 40/17; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 19/10; 19/10; ; ; 20/21; ; 
Draw; ; 9/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 9/4; 47/20; ; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-19 14:21:24 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 13/8; 7/5; ; ; ; ; 6/4; 6/4; 7/5; ; ; ; ; ; ; ; ; 6/4; ; ; 7/5; ; 8/5; 13/8; 6/4; ; 8/11; ; 
Barnsley; 13/8; 9/5; ; ; ; ; 15/8; 7/4; 19/10; ; ; ; ; ; ; ; ; 17/10; ; ; 15/8; ; 9/5; 13/8; 17/10; ; 11/10; ; 
Draw; 23/10; 9/4; ; ; ; ; 9/4; 23/10; 40/17; ; ; ; ; ; ; ; ; 9/4; ; ; 23/10; ; 9/4; 47/20; 23/10; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-19 18:21:15 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 13/8; 7/5; ; ; ; ; 8/5; 6/4; 16/11; ; 8/5; 31/20; ; ; ; 8/5; ; 17/11; ; ; 16/11; 13/8; 8/5; 13/8; 17/11; ; 6/5; ; 
Barnsley; 13/8; 9/5; ; ; ; ; 17/10; 7/4; 9/5; ; 17/10; 13/8; ; ; ; 7/4; ; 17/10; ; ; 9/5; 13/8; 7/4; 13/8; 17/10; ; 7/5; ; 
Draw; 23/10; 9/4; ; ; ; ; 23/10; 23/10; 40/17; ; 23/10; 12/5; ; ; ; 12/5; ; 23/10; ; ; 40/17; 12/5; 23/10; 47/20; 40/17; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-19 22:21:42 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 13/8; 7/5; ; ; ; ; 8/5; 6/4; 16/11; ; 8/5; 31/20; ; ; ; 8/5; ; 17/11; ; ; 16/11; 13/8; 8/5; 13/8; 17/11; ; 5/4; ; 
Barnsley; 13/8; 9/5; ; ; ; ; 17/10; 7/4; 9/5; ; 17/10; 13/8; ; ; ; 7/4; ; 17/10; ; ; 9/5; 13/8; 7/4; 13/8; 17/10; ; 13/8; ; 
Draw; 23/10; 9/4; ; ; ; ; 23/10; 23/10; 40/17; ; 23/10; 12/5; ; ; ; 12/5; ; 23/10; ; ; 40/17; 12/5; 23/10; 47/20; 40/17; ; 21/10; ; 
