META; english/championship/birmingham-v-wolves; 2017-11-25 22:21:21 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; ; 4/5; ; ; ; ; 20/23; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; 13/5; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Birmingham; ; 10/3; ; ; ; ; 3; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/championship/birmingham-v-wolves; 2017-11-26 02:21:13 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; ; 4/5; ; ; ; ; 9/10; 5/6; 9/10; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; 13/5; 13/5; 13/5; ; ; ; ; ; ; ; ; ; ; ; 28/11; ; ; ; ; ; ; ; 
Birmingham; ; 10/3; ; ; ; ; 3; 11/4; 37/13; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; 
META; english/championship/birmingham-v-wolves; 2017-11-26 10:21:05 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; ; 4/5; ; ; ; ; 9/10; 5/6; 9/10; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; 13/5; 13/5; 13/5; ; ; ; ; ; ; ; ; ; ; ; 28/11; ; ; ; ; ; ; ; 
Birmingham; ; 10/3; ; ; ; ; 3; 11/4; 37/13; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; 
META; english/championship/birmingham-v-wolves; 2017-11-26 14:21:19 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; ; ; 5/6; 4/5; 9/10; 4/5; 4/5; 5/6; ; ; ; 5/6; ; 4/5; ; ; 9/10; ; 4/5; ; 5/6; ; ; ; 
Draw; 13/5; 5/2; 5/2; ; ; ; 5/2; 13/5; 13/5; 12/5; 5/2; 12/5; ; ; ; 13/5; ; 5/2; ; ; 28/11; ; 13/5; ; 28/11; ; ; ; 
Birmingham; 18/5; 18/5; 7/2; ; ; ; 10/3; 10/3; 37/13; 7/2; 7/2; 10/3; ; ; ; 7/2; ; 16/5; ; ; 14/5; ; 18/5; ; 16/5; ; ; ; 
META; english/championship/birmingham-v-wolves; 2017-11-26 18:20:50 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; ; 20/23; 5/6; 4/5; 9/10; 4/5; 4/5; 4/5; ; ; 5/6; 5/6; ; 4/5; ; 4/5; 9/10; 4/5; 4/5; 10/13; 5/6; ; 4/7; ; 
Draw; 13/5; 5/2; 5/2; ; ; 27/10; 5/2; 5/2; 13/5; 5/2; 5/2; 12/5; ; ; 5/2; 13/5; ; 28/11; ; 11/4; 28/11; 13/5; 27/10; 13/5; 28/11; ; 19/10; ; 
Birmingham; 18/5; 18/5; 7/2; ; ; 18/5; 10/3; 7/2; 37/13; 17/5; 7/2; 7/2; ; ; 7/2; 7/2; ; 41/13; ; 57/17; 14/5; 7/2; 7/2; 7/2; 16/5; ; 12/5; ; 
META; english/championship/birmingham-v-wolves; 2017-11-26 22:21:01 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; ; 5/6; 4/5; 8/11; 3/4; 3/4; 4/5; 3/4; ; ; 4/5; 4/5; ; 10/13; ; 4/5; 3/4; 4/5; 4/5; 10/13; 10/13; ; 8/15; ; 
Draw; 13/5; 5/2; 5/2; ; ; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 13/5; ; ; 11/4; 13/5; ; 13/5; ; 11/4; 27/10; 13/5; 27/10; 13/5; 13/5; ; 2; ; 
Birmingham; 18/5; 18/5; 18/5; ; ; 15/4; 7/2; 7/2; 7/2; 18/5; 7/2; 7/2; ; ; 10/3; 15/4; ; 57/17; ; 57/17; 17/5; 7/2; 7/2; 7/2; 17/5; ; 13/5; ; 
META; english/championship/birmingham-v-wolves; 2017-11-27 02:20:57 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; ; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; ; ; 4/5; 4/5; ; 10/13; ; 4/5; 3/4; 4/5; 4/5; 10/13; 10/13; ; 8/15; ; 
Draw; 13/5; 5/2; 5/2; ; ; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; ; ; 11/4; 13/5; ; 13/5; ; 11/4; 27/10; 13/5; 27/10; 13/5; 13/5; ; 19/10; ; 
Birmingham; 18/5; 7/2; 7/2; ; ; 15/4; 10/3; 7/2; 7/2; 17/5; 7/2; 7/2; ; ; 10/3; 15/4; ; 57/17; ; 57/17; 17/5; 7/2; 7/2; 7/2; 57/17; ; 5/2; ; 
META; english/championship/birmingham-v-wolves; 2017-11-27 10:21:12 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; 4/5; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; ; ; 4/5; 4/5; 3/4; 10/13; ; 4/5; 3/4; 4/5; 4/5; 10/13; 10/13; ; 8/15; ; 
Draw; 13/5; 5/2; 5/2; ; 11/4; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; ; ; 11/4; 13/5; 13/5; 13/5; ; 11/4; 27/10; 13/5; 27/10; 13/5; 13/5; ; 23/10; ; 
Birmingham; 18/5; 7/2; 7/2; ; 15/4; 15/4; 10/3; 7/2; 7/2; 17/5; 7/2; 7/2; ; ; 10/3; 15/4; 7/2; 57/17; ; 57/17; 17/5; 7/2; 7/2; 7/2; 57/17; ; 14/5; ; 
META; english/championship/birmingham-v-wolves; 2017-11-27 14:21:18 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; 4/5; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; 4/5; ; 4/5; 4/5; 3/4; 10/13; ; 4/5; 3/4; 4/5; 4/5; 10/13; 10/13; ; 1/4; ; 
Draw; 13/5; 5/2; 5/2; ; 11/4; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; 13/5; ; 11/4; 13/5; 13/5; 13/5; ; 11/4; 27/10; 13/5; 27/10; 13/5; 13/5; ; 23/10; ; 
Birmingham; 18/5; 7/2; 7/2; ; 15/4; 15/4; 10/3; 7/2; 7/2; 7/2; 7/2; 7/2; 10/3; ; 10/3; 15/4; 7/2; 57/17; ; 57/17; 17/5; 7/2; 7/2; 7/2; 57/17; ; 5/2; ; 
META; english/championship/birmingham-v-wolves; 2017-11-27 18:22:06 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; 4/5; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 14/19; 5/6; 10/13; 14/19; 4/5; 4/5; 10/13; 10/13; ; 1/4; 8/11; 
Draw; 13/5; 5/2; 5/2; ; 11/4; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 11/4; 45/17; 13/5; 27/10; 13/5; 13/5; ; 23/10; 23/10; 
Birmingham; 18/5; 7/2; 18/5; ; 15/4; 15/4; 7/2; 7/2; 37/10; 7/2; 7/2; 7/2; 10/3; 18/5; 10/3; 15/4; 7/2; 38/11; 19/5; 39/11; 18/5; 7/2; 18/5; 7/2; 7/2; ; 12/5; 14/5; 
META; english/championship/birmingham-v-wolves; 2017-11-27 22:22:04 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; 4/5; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 10/13; 5/6; 4/5; 14/19; 4/5; 4/5; 10/13; 10/13; ; 8/15; 8/11; 
Draw; 13/5; 5/2; 5/2; ; 11/4; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 28/11; 11/4; 11/4; 45/17; 13/5; 27/10; 13/5; 13/5; ; 23/10; 23/10; 
Birmingham; 18/5; 7/2; 7/2; ; 15/4; 15/4; 10/3; 7/2; 37/10; 17/5; 7/2; 7/2; 10/3; 18/5; 10/3; 15/4; 7/2; 57/17; 19/5; 17/5; 18/5; 7/2; 7/2; 7/2; 57/17; ; 5/2; 14/5; 
META; english/championship/birmingham-v-wolves; 2017-11-28 02:21:51 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; 4/5; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 10/13; 5/6; 4/5; 14/19; 4/5; 4/5; 10/13; 10/13; ; 8/15; 8/11; 
Draw; 13/5; 5/2; 5/2; ; 11/4; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 28/11; 11/4; 11/4; 45/17; 13/5; 27/10; 13/5; 13/5; ; 23/10; 23/10; 
Birmingham; 18/5; 7/2; 7/2; ; 15/4; 15/4; 10/3; 7/2; 37/10; 17/5; 7/2; 7/2; 10/3; 18/5; 10/3; 15/4; 7/2; 57/17; 19/5; 17/5; 18/5; 7/2; 7/2; 7/2; 57/17; ; 13/5; 14/5; 
META; english/championship/birmingham-v-wolves; 2017-11-28 10:21:56 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; ; 4/5; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; 4/5; 5/6; 4/5; 4/5; 3/4; 10/13; 5/6; 4/5; 14/19; 4/5; 4/5; 10/13; 10/13; ; 8/15; 8/11; 
Draw; 13/5; 5/2; 5/2; ; 11/4; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; 13/5; 5/2; 11/4; 13/5; 13/5; 28/11; 11/4; 11/4; 45/17; 13/5; 27/10; 13/5; 13/5; ; 23/10; 23/10; 
Birmingham; 18/5; 7/2; 7/2; ; 15/4; 15/4; 10/3; 7/2; 37/10; 17/5; 7/2; 7/2; 10/3; 7/2; 10/3; 15/4; 7/2; 57/17; 19/5; 17/5; 18/5; 7/2; 7/2; 7/2; 57/17; ; 13/5; 14/5; 
META; english/championship/birmingham-v-wolves; 2017-11-28 14:21:51 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; 4/5; ; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; 4/5; 5/6; 4/5; 4/5; 3/4; 10/13; 5/6; 4/5; 14/19; 4/5; 4/5; 10/13; 10/13; ; 8/15; 8/11; 
Draw; 13/5; 5/2; 5/2; 13/5; ; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; 13/5; 5/2; 11/4; 13/5; 13/5; 28/11; 11/4; 11/4; 45/17; 13/5; 27/10; 13/5; 13/5; ; 23/10; 23/10; 
Birmingham; 18/5; 7/2; 7/2; 17/5; ; 15/4; 10/3; 7/2; 37/10; 17/5; 7/2; 7/2; 10/3; 7/2; 10/3; 15/4; 7/2; 57/17; 19/5; 17/5; 18/5; 7/2; 7/2; 7/2; 57/17; ; 13/5; 14/5; 
META; english/championship/birmingham-v-wolves; 2017-11-28 18:21:49 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; 4/5; 3/4; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 14/19; 5/6; 4/5; 14/19; 4/5; 4/5; 10/13; 10/13; ; 8/15; 1/50; 
Draw; 13/5; 5/2; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 11/4; 45/17; 13/5; 27/10; 13/5; 13/5; ; 23/10; 19/10; 
Birmingham; 18/5; 7/2; 7/2; 17/5; 7/2; 15/4; 10/3; 7/2; 37/10; 17/5; 7/2; 7/2; 10/3; 18/5; 10/3; 15/4; 7/2; 7/2; 19/5; 17/5; 18/5; 7/2; 7/2; 7/2; 57/17; ; 13/5; ; 
META; english/championship/birmingham-v-wolves; 2017-11-28 22:21:48 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; 4/5; 3/4; 5/6; 4/5; 8/11; 3/4; 3/4; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 10/13; 5/6; 3/4; 14/19; 4/5; 3/4; 10/13; 10/13; ; 4/7; 8/11; 
Draw; 13/5; 5/2; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 11/4; 45/17; 13/5; 11/4; 53/20; 45/17; ; 21/10; ; 
Birmingham; 18/5; 7/2; 18/5; 17/5; 7/2; 15/4; 7/2; 7/2; 37/10; 7/2; 7/2; 7/2; 10/3; 37/10; 10/3; 15/4; 7/2; 7/2; 19/5; 37/10; 18/5; 19/5; 15/4; 7/2; 7/2; ; 10/3; 14/5; 
META; english/championship/birmingham-v-wolves; 2017-11-29 02:21:42 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 4/5; 4/5; 4/5; 3/4; 5/6; 4/5; 8/11; 3/4; 3/4; 4/5; 4/5; ; 4/5; 4/5; 4/5; 3/4; 10/13; 5/6; 3/4; 14/19; 4/5; 3/4; 10/13; 10/13; ; 4/7; 8/11; 
Draw; 13/5; 5/2; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; ; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 11/4; 45/17; 13/5; 11/4; 53/20; 45/17; ; 21/10; ; 
Birmingham; 18/5; 7/2; 18/5; 17/5; 7/2; 15/4; 7/2; 7/2; 37/10; 7/2; 7/2; 7/2; ; 37/10; 10/3; 15/4; 7/2; 7/2; 19/5; 37/10; 18/5; 19/5; 15/4; 7/2; 7/2; ; 10/3; 10/3; 
META; english/championship/birmingham-v-wolves; 2017-11-29 10:21:48 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 3/4; 4/5; 4/5; 3/4; 5/6; 4/5; 8/11; 3/4; 3/4; 4/5; 4/5; ; 4/5; 4/5; 4/5; 3/4; 10/13; 5/6; 3/4; 14/19; 4/5; 3/4; 10/13; 4/5; ; 4/7; ; 
Draw; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 13/5; 11/4; 5/2; 5/2; 5/2; ; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 11/4; 45/17; 13/5; 11/4; 53/20; 45/17; ; 21/10; ; 
Birmingham; 18/5; 18/5; 18/5; 17/5; 7/2; 15/4; 7/2; 7/2; 37/10; 7/2; 7/2; 7/2; ; 37/10; 10/3; 15/4; 7/2; 38/11; 19/5; 37/10; 18/5; 19/5; 15/4; 7/2; 7/2; ; 10/3; ; 
META; english/championship/birmingham-v-wolves; 2017-11-29 14:21:41 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 3/4; 4/5; 4/5; 3/4; 5/6; 4/5; 8/11; 3/4; 3/4; 4/5; 4/5; ; 4/5; 4/5; 4/5; 3/4; 10/13; 5/6; 3/4; 14/19; 4/5; 3/4; 10/13; 10/13; ; 4/7; ; 4/5
Draw; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 5/2; 13/5; 11/4; 5/2; 5/2; 12/5; ; 5/2; 11/4; 13/5; 13/5; 28/11; 11/4; 11/4; 45/17; 13/5; 27/10; 53/20; 13/5; ; 21/10; ; 13/5
Birmingham; 18/5; 18/5; 18/5; 17/5; 7/2; 15/4; 7/2; 7/2; 37/10; 18/5; 7/2; 15/4; ; 37/10; 10/3; 7/2; 7/2; 39/11; 19/5; 37/10; 18/5; 19/5; 15/4; 7/2; 18/5; ; 10/3; ; 7/2
META; english/championship/birmingham-v-wolves; 2017-11-29 18:21:48 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 3/4; 4/5; 4/5; 3/4; 4/5; 4/5; 8/11; 3/4; 3/4; 4/5; 4/5; ; 4/5; 4/5; 4/5; 3/4; 10/13; 5/6; 3/4; 14/19; 4/5; 3/4; 10/13; 10/13; ; 4/7; 8/11; 4/5
Draw; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 11/4; 5/2; 5/2; 12/5; ; 5/2; 11/4; 13/5; 13/5; 28/11; 11/4; 11/4; 45/17; 13/5; 27/10; 53/20; 13/5; ; 21/10; ; 13/5
Birmingham; 18/5; 18/5; 18/5; 17/5; 7/2; 18/5; 7/2; 7/2; 37/10; 18/5; 7/2; 15/4; ; 37/10; 10/3; 7/2; 7/2; 18/5; 19/5; 37/10; 18/5; 19/5; 15/4; 7/2; 62/17; ; 10/3; ; 7/2
META; english/championship/birmingham-v-wolves; 2017-11-29 22:21:46 GMT+2; 2017-12-04 19:45; Nothing; Xlenovo
Wolves; 3/4; 3/4; ; 4/5; 3/4; 4/5; 4/5; 8/11; 3/4; ; 4/5; 4/5; ; 4/5; 4/5; 4/5; 3/4; 10/13; 83/100; 3/4; 14/19; 4/5; 3/4; 10/13; 10/13; ; 4/7; ; 4/5
