META; english/championship/brentford-v-birmingham; 2018-02-17 14:20:40 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/5; ; ; ; ; ; 4/5; 8/11; 3/4; ; ; ; ; ; ; ; 4/5; ; ; 3/4; ; 4/5; 10/13; ; ; 8/11; ; 
Draw; 5/2; ; ; ; ; ; 13/5; 13/5; 27/10; ; ; ; ; ; ; ; 13/5; ; ; 45/17; ; 13/5; 5/2; 45/17; ; 23/10; ; 
Birmingham; 7/2; ; ; ; ; ; 7/2; 7/2; 7/2; ; ; ; ; ; ; ; 39/11; ; ; 17/5; ; 18/5; 15/4; 18/5; ; 3; ; 
META; english/championship/brentford-v-birmingham; 2018-02-17 18:20:27 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/5; ; ; ; ; 4/5; 4/5; 8/11; 3/4; ; 4/5; ; ; ; ; 4/5; 4/5; ; ; 3/4; 5/6; 4/5; 10/13; ; ; 8/11; ; 
Draw; 5/2; ; ; ; ; 11/4; 13/5; 13/5; 27/10; ; 13/5; ; ; ; ; 13/5; 13/5; ; ; 45/17; 13/5; 13/5; 5/2; 45/17; ; 5/2; ; 
Birmingham; 7/2; ; ; ; ; 4; 7/2; 7/2; 7/2; ; 19/5; ; ; ; ; 7/2; 39/11; ; ; 17/5; 7/2; 18/5; 15/4; 39/11; ; 3; ; 
META; english/championship/brentford-v-birmingham; 2018-02-17 22:19:54 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/5; 8/11; ; 8/11; 43/50; 4/5; 4/5; 8/11; 3/4; ; 4/5; ; ; ; ; 4/5; 4/5; ; ; 3/4; 5/6; 3/4; 10/13; 4/5; ; 8/11; ; 
Draw; 5/2; 5/2; ; 5/2; 66/25; 11/4; 5/2; 13/5; 27/10; ; 13/5; ; ; ; ; 13/5; 13/5; ; ; 45/17; 13/5; 13/5; 5/2; 45/17; ; 5/2; ; 
Birmingham; 7/2; 4; ; 10/3; 19/5; 4; 7/2; 7/2; 7/2; ; 19/5; ; ; ; ; 15/4; 39/11; ; ; 17/5; 7/2; 19/5; 15/4; 18/5; ; 10/3; ; 
META; english/championship/brentford-v-birmingham; 2018-02-18 02:19:33 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/5; 8/11; ; 8/11; 43/50; 4/5; 4/5; 8/11; 3/4; ; 4/5; ; ; ; ; 4/5; 4/5; ; ; 3/4; 5/6; 3/4; 10/13; 4/5; ; 8/11; ; 
Draw; 5/2; 5/2; ; 5/2; 66/25; 11/4; 5/2; 13/5; 27/10; ; 13/5; ; ; ; ; 13/5; 13/5; ; ; 45/17; 13/5; 13/5; 5/2; 45/17; ; 5/2; ; 
Birmingham; 7/2; 4; ; 10/3; 19/5; 4; 7/2; 7/2; 7/2; ; 19/5; ; ; ; ; 15/4; 39/11; ; ; 17/5; 7/2; 19/5; 15/4; 39/11; ; 10/3; ; 
META; english/championship/brentford-v-birmingham; 2018-02-18 10:20:01 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 3/4; 8/11; 3/4; 8/11; 79/100; 4/5; 3/4; 8/11; 3/4; 3/4; 4/5; 3/4; ; 3/4; 4/5; 4/5; 4/5; ; ; 3/4; 4/5; 3/4; 10/13; 4/5; ; 8/11; ; 
Draw; 5/2; 5/2; 5/2; 5/2; 68/25; 11/4; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; ; 13/5; 5/2; 13/5; 13/5; ; ; 45/17; 13/5; 13/5; 5/2; 13/5; ; 5/2; ; 
Birmingham; 15/4; 4; 15/4; 10/3; 21/5; 4; 15/4; 7/2; 7/2; 15/4; 4; 15/4; ; 19/5; 15/4; 15/4; 37/10; ; ; 17/5; 19/5; 4; 15/4; 37/10; ; 10/3; ; 
META; english/championship/brentford-v-birmingham; 2018-02-18 14:20:09 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 13/20; 8/11; 7/10; 8/11; 7/10; 8/11; 7/10; 4/6; 7/10; 7/10; 7/10; 4/6; 8/11; 7/10; 7/10; 7/10; 5/7; 11/17; 9/13; 7/10; 4/6; 4/6; 13/20; 5/7; ; 8/11; ; 
Draw; 13/5; 5/2; 5/2; 5/2; 29/10; 29/10; 13/5; 5/2; 13/5; 13/5; 11/4; 13/5; 11/4; 27/10; 11/4; 13/5; 45/17; 13/5; 28/11; 13/5; 14/5; 11/4; 27/10; 45/17; ; 23/10; ; 
Birmingham; 9/2; 4; 17/4; 10/3; 47/10; 9/2; 17/4; 4; 39/10; 9/2; 9/2; 9/2; 4; 17/4; 4; 4; 21/5; 9/2; 17/5; 19/5; 9/2; 9/2; 9/2; 17/4; ; 4; ; 
META; english/championship/brentford-v-birmingham; 2018-02-18 18:19:51 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 13/20; 8/11; 7/10; 4/6; 37/50; 7/10; 7/10; 8/13; 13/18; 8/11; 7/10; 7/10; 8/11; 8/11; 7/10; 7/10; 5/7; 11/17; 9/13; 7/10; 4/6; 7/10; 4/6; 14/19; ; 8/13; 4/6; 
Draw; 13/5; 5/2; 5/2; 13/5; 139/50; 3; 13/5; 11/4; 28/11; 5/2; 11/4; 13/5; 13/5; 13/5; 11/4; 13/5; 28/11; 13/5; 28/11; 5/2; 11/4; 14/5; 27/10; 13/5; ; 14/5; 23/10; 
Birmingham; 9/2; 4; 21/5; 9/2; 9/2; 9/2; 17/4; 4; 22/5; 21/5; 9/2; 4; 4; 17/4; 4; 9/2; 21/5; 9/2; 17/5; 43/10; 17/4; 4; 17/4; 17/4; ; 21/5; 7/2; 
META; english/championship/brentford-v-birmingham; 2018-02-18 22:19:34 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 13/20; 8/11; 4/6; 4/6; 69/100; 7/10; 13/20; 8/13; 4/6; 7/10; 7/10; 4/6; 8/11; 7/10; 7/10; 7/10; 4/6; 11/17; 9/13; 7/11; 4/6; 8/11; 13/20; 4/6; ; 4/6; 8/13; 4/7
Draw; 13/5; 5/2; 5/2; 13/5; 141/50; 3; 13/5; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 11/4; 13/5; 45/17; 13/5; 28/11; 45/17; 11/4; 11/4; 27/10; 27/10; ; 27/10; 12/5; 12/5
Birmingham; 9/2; 4; 17/4; 9/2; 5; 9/2; 9/2; 4; 23/5; 9/2; 9/2; 9/2; 4; 17/4; 4; 9/2; 23/5; 9/2; 17/5; 23/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; 4; 4
META; english/championship/brentford-v-birmingham; 2018-02-19 02:19:33 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 13/20; 7/10; 4/6; 4/6; 69/100; 7/10; 13/20; 8/13; 4/6; 7/10; 7/10; 4/6; 7/10; 7/10; 4/6; 4/6; 4/6; 11/17; 9/13; 7/11; 4/6; 8/11; 13/20; 4/6; ; 8/13; 8/13; 4/7
Draw; 13/5; 13/5; 5/2; 13/5; 141/50; 3; 13/5; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 11/4; 13/5; 45/17; 13/5; 28/11; 45/17; 11/4; 11/4; 27/10; 27/10; ; 27/10; 12/5; 12/5
Birmingham; 9/2; 17/4; 9/2; 9/2; 5; 9/2; 9/2; 4; 23/5; 9/2; 9/2; 9/2; 4; 17/4; 9/2; 9/2; 23/5; 9/2; 17/5; 23/5; 9/2; 9/2; 9/2; 79/17; ; 23/5; 21/5; 21/5
META; english/championship/brentford-v-birmingham; 2018-02-19 10:19:29 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 7/10; 4/6; 4/6; 69/100; 7/10; 13/20; 8/13; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 11/17; 4/6; 7/11; 4/6; 7/10; 13/20; 4/6; ; 4/6; 8/13; 4/7
Draw; 14/5; 13/5; 13/5; 13/5; 141/50; 3; 13/5; 11/4; 27/10; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 13/5; 45/17; 13/5; 28/11; 45/17; 11/4; 14/5; 27/10; 27/10; ; 11/4; 12/5; 12/5
Birmingham; 5; 17/4; 17/4; 9/2; 5; 9/2; 9/2; 4; 23/5; 9/2; 9/2; 9/2; 4; 9/2; 9/2; 9/2; 79/17; 9/2; 39/11; 23/5; 9/2; 19/4; 9/2; 47/10; ; 23/5; 21/5; 21/5
META; english/championship/brentford-v-birmingham; 2018-02-19 14:19:54 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 7/10; 4/6; 4/6; 69/100; 7/10; 13/20; 8/13; 4/6; 7/10; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 11/17; 11/17; 4/6; 7/11; 8/13; 8/11; 4/6; 11/17; ; 4/6; ; 4/7
Draw; 14/5; 13/5; 13/5; 13/5; 59/20; 3; 11/4; 11/4; 27/10; 27/10; 11/4; 14/5; 11/4; 27/10; 11/4; 13/5; 11/4; 13/5; 28/11; 45/17; 14/5; 14/5; 27/10; 14/5; ; 11/4; ; 5/2
Birmingham; 5; 4; 21/5; 9/2; 47/10; 9/2; 9/2; 4; 23/5; 21/5; 9/2; 4; 4; 17/4; 9/2; 9/2; 23/5; 9/2; 39/11; 23/5; 9/2; 9/2; 19/4; 79/17; ; 23/5; ; 4
META; english/championship/brentford-v-birmingham; 2018-02-19 18:20:00 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Brentford; 4/6; 8/13; 4/6; 4/6; 17/25; 7/10; 13/20; 8/13; 4/6; 4/6; 7/10; 4/6; 4/6; 7/10; 4/6; 8/13; 11/17; 11/17; 19/29; 7/11; 8/13; 7/10; 4/6; 11/17; ; 8/13; ; 4/7
Draw; 14/5; 11/4; 11/4; 13/5; 3; 3; 11/4; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 29/10; 11/4; 11/4; 14/5; 13/5; 37/13; 45/17; 14/5; 14/5; 57/20; 37/13; ; 14/5; ; 5/2
Birmingham; 5; 17/4; 17/4; 9/2; 47/10; 9/2; 9/2; 4; 23/5; 17/4; 9/2; 4; 17/4; 9/2; 9/2; 9/2; 49/11; 9/2; 43/10; 23/5; 17/4; 9/2; 19/4; 9/2; ; 9/2; ; 4
META; english/championship/brentford-v-birmingham; 2018-02-19 22:20:01 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
