META; english/championship/burton-v-cardiff; 2017-06-23 22:17:31 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Cardiff; 13/8; 6/4; ; 13/10; ; 8/5; 8/5; 6/4; 13/8; 13/10; 11/8; 13/8; 31/20; 6/4; 6/4; ; 8/5; 8/5; 17/10; 8/5; 9/5; ; 17/10; ; 17/10; ; 1/33; ; 
Burton; 13/8; 9/5; ; 9/5; ; 8/5; 7/4; 7/5; 13/8; 7/4; 13/8; 17/10; 7/4; 7/5; 7/4; ; 8/5; 8/5; 8/5; 8/5; 7/4; ; 8/5; ; 8/5; ; 4/6; ; 
Draw; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 11/5; 23/10; 9/4; 12/5; ; 9/4; 23/10; 9/4; 9/4; 47/20; ; 9/4; ; 23/10; ; 19/10; ; 
META; english/championship/burton-v-cardiff; 2017-06-24 02:17:28 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Burton; 13/8; 9/5; ; 9/5; ; 8/5; 7/4; 7/5; 13/8; 7/4; 13/8; 17/10; 7/4; 7/5; 7/4; ; 8/5; 8/5; 8/5; 8/5; 7/4; ; 8/5; ; 8/5; ; 1/50; ; 
Cardiff; 13/8; 6/4; ; 13/10; ; 8/5; 13/8; 6/4; 13/8; 13/10; 11/8; 8/5; 31/20; 6/4; 6/4; ; 8/5; 8/5; 17/10; 8/5; 9/5; ; 17/10; ; 17/10; ; 1/50; ; 
Draw; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; ; 9/4; 23/10; 9/4; 9/4; 47/20; ; 9/4; ; 23/10; ; 19/10; ; 
META; english/championship/burton-v-cardiff; 2017-06-24 10:17:34 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Burton; 13/8; 9/5; ; 9/5; ; 8/5; 7/4; 7/5; 13/8; 7/4; 13/8; 17/10; 7/4; 7/5; 7/4; ; 8/5; 8/5; 8/5; 8/5; 7/4; ; 8/5; ; 8/5; ; 1/50; ; 
Cardiff; 13/8; 6/4; ; 13/10; ; 8/5; 13/8; 6/4; 13/8; 13/10; 11/8; 8/5; 31/20; 6/4; 6/4; ; 8/5; 8/5; 17/10; 8/5; 9/5; ; 17/10; ; 17/10; ; 1/50; ; 
Draw; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; ; 9/4; 23/10; 9/4; 9/4; 47/20; ; 9/4; ; 23/10; ; 19/10; ; 
