META; english/championship/derby-v-middlesbrough; 2018-04-15 02:19:43 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 7/5; 23/20; 13/10; 11/10; 11/10; 23/20; 6/5; 13/10; 11/10; 5/4; 21/20
Middlesbrough; 9/5; 12/5; 21/10; 11/5; 12/5; 12/5; 9/4; 11/5; 40/17; 23/10; 21/10
Draw; 11/5; 5/2; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 9/4
META; english/championship/derby-v-middlesbrough; 2018-04-15 10:19:45 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 13/10; 7/5; 13/10; 6/5; 13/10; 11/10; 11/10; 5/4; 23/20; 5/4; 13/10; 5/4; 11/10; 13/10; 5/4; 11/10; 5/4
Draw; 9/4; 11/5; 21/10; 9/4; 9/4; 21/10; 12/5; 21/10; 23/10; 11/5; 23/10; 23/10; 40/17; 23/10; 23/10; 21/10; 2
Middlesbrough; 21/10; 9/5; 9/4; 5/2; 21/10; 23/10; 12/5; 9/4; 12/5; 23/10; 11/5; 28/13; 40/17; 11/5; 28/13; 9/4; 11/5
META; english/championship/derby-v-middlesbrough; 2018-04-15 14:20:24 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 6/4; 7/5; 31/20; 13/10; 6/4; 6/4; 7/5; 6/5; 31/20; 29/20; 8/5; 8/5; 7/5; 6/4; 10/7; 6/5; 6/4; 6/4; 11/8; 5/4
Middlesbrough; 9/5; 9/5; 15/8; 11/5; 2; 19/10; 15/8; 11/5; 15/8; 2; 15/8; 9/5; 2; 9/5; 29/16; 11/5; 19/10; 24/13; 9/5; 21/10
Draw; 9/4; 11/5; 21/10; 11/5; 21/10; 11/5; 2; 12/5; 2; 21/10; 21/10; 11/5; 11/5; 11/5; 11/5; 40/17; 9/4; 9/4; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-15 18:19:59 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 6/4; 7/5; 6/4; 13/8; 6/4; 6/4; 7/5; 6/4; 29/20; 31/20; 8/5; 6/4; 17/11; 10/7; 6/4; 6/4; 17/11; 7/5; 8/5
Middlesbrough; 9/5; 9/5; 15/8; 101/50; 2; 15/8; 9/5; 7/4; 19/10; 2; 9/5; 19/10; 9/5; 29/16; 7/4; 19/10; 24/13; 9/5; 19/10
Draw; 9/4; 11/5; 11/5; 56/25; 11/5; 21/10; 2; 12/5; 11/5; 2; 11/5; 9/4; 28/13; 11/5; 40/17; 9/4; 28/13; 21/10; 2
META; english/championship/derby-v-middlesbrough; 2018-04-15 22:20:09 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 6/4; 6/4; 6/4; 13/8; 6/4; 6/4; 7/5; 6/4; 6/4; 31/20; 8/5; 6/4; 17/11; 10/7; 6/4; 6/4; 17/11; 7/5; 8/5
Middlesbrough; 9/5; 19/10; 15/8; 101/50; 2; 15/8; 9/5; 7/4; 15/8; 2; 9/5; 19/10; 9/5; 29/16; 7/4; 19/10; 24/13; 9/5; 2
Draw; 9/4; 11/5; 11/5; 56/25; 11/5; 21/10; 2; 12/5; 11/5; 2; 11/5; 11/5; 28/13; 11/5; 40/17; 9/4; 11/5; 2; 11/5
META; english/championship/derby-v-middlesbrough; 2018-04-16 02:19:53 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 6/4; 6/4; 6/4; 13/8; 6/4; 6/4; 7/5; 6/4; 6/4; 31/20; 8/5; 6/4; 17/11; 6/4; 10/7; 6/4; 6/4; 17/11; 7/5; 6/4; 8/5
Middlesbrough; 9/5; 19/10; 15/8; 101/50; 2; 15/8; 9/5; 7/4; 19/10; 2; 9/5; 19/10; 9/5; 9/5; 29/16; 7/4; 19/10; 24/13; 9/5; 19/10; 2
Draw; 9/4; 11/5; 11/5; 56/25; 11/5; 21/10; 2; 12/5; 11/5; 2; 11/5; 11/5; 28/13; 11/5; 11/5; 40/17; 9/4; 11/5; 2; 11/5; 11/5
META; english/championship/derby-v-middlesbrough; 2018-04-16 10:19:54 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 6/4; 13/8; 6/4; 6/4; 7/5; 6/4; 6/4; 31/20; 8/5; 6/4; 6/4; 6/4; 10/7; 6/4; 6/4; 17/11; 7/5; 6/4; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 101/50; 2; 15/8; 9/5; 7/4; 15/8; 2; 9/5; 19/10; 24/13; 9/5; 29/16; 7/4; 19/10; 24/13; 9/5; 19/10; 2
Draw; 9/4; 11/5; 11/5; 56/25; 11/5; 21/10; 2; 12/5; 11/5; 2; 11/5; 11/5; 28/13; 11/5; 11/5; 40/17; 9/4; 11/5; 2; 11/5; 11/5
META; english/championship/derby-v-middlesbrough; 2018-04-16 14:20:29 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 8/5; 31/20; 8/5; 8/5; 6/4; 6/4; 6/4; 10/7; 6/4; 6/4; 17/11; 7/5; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 51/25; 2; 19/10; 9/5; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 24/13; 9/5; 29/16; 15/8; 19/10; 19/10; 13/8; 2; 
Draw; 9/4; 11/5; 11/5; 111/50; 11/5; 21/10; 2; 11/5; 21/10; 2; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 28/13; 9/4; 28/13; 2; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-16 18:20:43 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 6/4; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 6/4; 6/4; 17/11; 6/4; 7/5; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 51/25; 2; 19/10; 9/5; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 19/10; 9/5; 29/16; 15/8; 19/10; 19/10; 15/8; 13/8; 2; 
Draw; 9/4; 11/5; 11/5; 111/50; 11/5; 21/10; 2; 11/5; 11/5; 2; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 28/13; 9/4; 11/5; 21/10; 2; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-16 22:20:41 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 6/4; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 6/4; 6/4; 17/11; 6/4; 7/5; 13/10; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 51/25; 2; 19/10; 9/5; 19/10; 15/8; 2; 19/10; 9/5; 19/10; 19/10; 9/5; 29/16; 15/8; 19/10; 19/10; 15/8; 13/8; 6/4; 2; 
Draw; 9/4; 11/5; 11/5; 111/50; 11/5; 21/10; 2; 11/5; 11/5; 2; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 28/13; 9/4; 11/5; 21/10; 2; 9/5; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-17 02:20:34 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 6/4; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 6/4; 6/4; 17/11; 6/4; 7/5; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 51/25; 2; 19/10; 9/5; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 19/10; 9/5; 29/16; 15/8; 19/10; 19/10; 15/8; 13/8; 2; 
Draw; 9/4; 11/5; 11/5; 111/50; 11/5; 21/10; 2; 11/5; 11/5; 2; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 28/13; 9/4; 11/5; 21/10; 2; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-17 10:20:35 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 6/4; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 6/4; 6/4; 17/11; 6/4; 7/5; 27/20; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 51/25; 2; 19/10; 9/5; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 19/10; 9/5; 29/16; 15/8; 19/10; 19/10; 15/8; 13/8; 13/8; 2
Draw; 9/4; 11/5; 11/5; 111/50; 11/5; 21/10; 2; 11/5; 11/5; 2; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 28/13; 9/4; 11/5; 21/10; 2; 19/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-17 14:20:43 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 6/4; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 6/4; 6/4; 17/11; 6/4; 7/5; 7/5; 8/5; 6/4
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 51/25; 2; 19/10; 9/5; 19/10; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 19/10; 9/5; 29/16; 15/8; 19/10; 19/10; 15/8; 9/5; 19/10; 2; 19/10
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 11/5; 21/10; 2; 11/5; 21/10; 11/5; 2; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 28/13; 9/4; 11/5; 21/10; 2; 21/10; 2; 
META; english/championship/derby-v-middlesbrough; 2018-04-17 18:20:47 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 6/4; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 6/4; 6/4; 17/11; 6/4; 7/5; 13/10; 8/5; 6/4
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 51/25; 2; 19/10; 9/5; 19/10; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 19/10; 9/5; 29/16; 15/8; 19/10; 19/10; 15/8; 9/5; 6/4; 2; 15/8
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 11/5; 21/10; 2; 11/5; 21/10; 11/5; 2; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 28/13; 9/4; 11/5; 21/10; 2; 9/5; 21/10; 19/10
META; english/championship/derby-v-middlesbrough; 2018-04-17 22:20:52 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 8/5; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 31/21; 6/4; 17/11; 6/4; 13/10; 8/5; 6/4; 
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 51/25; 2; 19/10; 9/5; 2; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 19/10; 9/5; 29/16; 37/19; 19/10; 19/10; 15/8; 7/4; 6/4; 2; 19/10
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 11/5; 21/10; 2; 28/13; 21/10; 21/10; 2; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; 21/10; 9/5; 21/10; 2; 
META; english/championship/derby-v-middlesbrough; 2018-04-18 02:20:31 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 8/5; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 31/21; 6/4; 17/11; 6/4; 7/5; 13/10; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 51/25; 2; 19/10; 9/5; 2; 19/10; 15/8; 2; 19/10; 19/10; 19/10; 19/10; 9/5; 29/16; 37/19; 19/10; 19/10; 15/8; 7/4; 6/4; 2; 19/10
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 11/5; 21/10; 2; 28/13; 21/10; 2; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; 21/10; 9/5; 21/10; 2; ; 
META; english/championship/derby-v-middlesbrough; 2018-04-18 10:20:37 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 41/25; 6/4; 6/4; 7/5; 6/4; 31/20; 6/4; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 31/21; 6/4; 17/11; 6/4; 7/5; 7/5; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 51/25; 2; 19/10; 9/5; 2; 19/10; 19/10; 2; 19/10; 19/10; 19/10; 19/10; 9/5; 29/16; 37/19; 19/10; 19/10; 15/8; 17/10; 17/10; 2; 19/10
Draw; 9/4; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 28/13; 21/10; 2; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; 21/10; 19/10; 21/10; 2; ; 
META; english/championship/derby-v-middlesbrough; 2018-04-18 14:20:50 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 6/4; 31/20; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 31/21; 6/4; 17/11; 6/4; 7/5; 7/5; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 51/25; 2; 19/10; 9/5; 2; 19/10; 19/10; 2; 15/8; 19/10; 19/10; 19/10; 24/13; 9/5; 29/16; 37/19; 19/10; 19/10; 15/8; 17/10; 17/10; 2; 
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 11/5; 21/10; 2; 28/13; 21/10; 2; 21/10; 21/10; 23/10; 21/10; 11/5; 11/5; 11/5; 21/10; 9/4; 9/4; 21/10; 19/10; 21/10; 21/10; ; 
META; english/championship/derby-v-middlesbrough; 2018-04-18 18:20:52 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 8/5; 31/20; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 31/21; 6/4; 17/11; 6/4; 6/4; 6/4; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 51/25; 2; 19/10; 9/5; 2; 19/10; 15/8; 2; 15/8; 19/10; 19/10; 19/10; 24/13; 9/5; 29/16; 37/19; 19/10; 19/10; 15/8; 9/5; 9/5; 2; 15/8
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 11/5; 21/10; 2; 28/13; 21/10; 2; 21/10; 21/10; 23/10; 21/10; 11/5; 11/5; 11/5; 21/10; 9/4; 9/4; 21/10; 19/10; 21/10; 2; ; 
META; english/championship/derby-v-middlesbrough; 2018-04-18 22:20:40 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 6/4; 31/20; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 31/21; 6/4; 17/11; 6/4; 6/4; 7/5; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 51/25; 2; 19/10; 15/8; 2; 19/10; 15/8; 2; 15/8; 19/10; 19/10; 19/10; 19/10; 9/5; 29/16; 37/19; 19/10; 19/10; 15/8; 9/5; 9/5; 2; 15/8
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 9/4; 21/10; 21/10; 28/13; 21/10; 11/5; 2; 21/10; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; 21/10; 19/10; 21/10; 2; 
META; english/championship/derby-v-middlesbrough; 2018-04-19 02:20:07 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 6/4; 31/20; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 10/7; 31/21; 6/4; 17/11; 6/4; 6/4; 6/4; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 51/25; 2; 19/10; 15/8; 2; 19/10; 19/10; 2; 15/8; 19/10; 19/10; 19/10; 19/10; 9/5; 29/16; 37/19; 19/10; 19/10; 15/8; 13/8; 13/8; 2; 15/8
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 9/4; 21/10; 21/10; 28/13; 21/10; 21/10; 2; 21/10; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; 21/10; 19/10; 21/10; 2; 
META; english/championship/derby-v-middlesbrough; 2018-04-19 10:20:05 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 6/4; 31/20; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 23/15; 31/21; 6/4; 17/11; 6/4; 6/4; 6/4; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 19/10; 15/8; 51/25; 2; 19/10; 15/8; 2; 19/10; 19/10; 2; 15/8; 19/10; 19/10; 19/10; 19/10; 9/5; 21/11; 37/19; 19/10; 37/19; 15/8; 17/10; 13/8; 2; 15/8
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 9/4; 21/10; 21/10; 28/13; 21/10; 21/10; 2; 21/10; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 11/5; 21/10; 19/10; 21/10; 2; 
META; english/championship/derby-v-middlesbrough; 2018-04-19 14:20:14 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 6/4; 31/20; 6/4; 31/20; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 23/15; 31/21; 6/4; 17/11; 6/4; 6/4; 6/4; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 19/10; 15/8; 51/25; 2; 19/10; 15/8; 2; 19/10; 19/10; 2; 15/8; 19/10; 19/10; 19/10; 19/10; 9/5; 21/11; 37/19; 19/10; 19/10; 15/8; 7/4; 7/4; 2; 
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 9/4; 21/10; 21/10; 28/13; 21/10; 21/10; 2; 21/10; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; 21/10; 19/10; 21/10; 21/10; 
META; english/championship/derby-v-middlesbrough; 2018-04-19 18:20:11 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 163/100; 6/4; 6/4; 7/5; 17/11; 31/20; 6/4; 31/20; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 23/15; 6/4; 8/5; 17/11; 6/4; 6/4; 6/4; 8/5; 8/5
Middlesbrough; 15/8; 19/10; 19/10; 15/8; 51/25; 2; 19/10; 15/8; 2; 19/10; 19/10; 2; 15/8; 19/10; 19/10; 19/10; 19/10; 9/5; 21/11; 37/19; 2; 37/19; 15/8; 7/4; 9/5; 2; 
Draw; 9/4; 11/5; 21/10; 11/5; 111/50; 9/4; 21/10; 21/10; 28/13; 21/10; 21/10; 2; 21/10; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 21/10; 9/4; 28/13; 21/10; 21/10; 21/10; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-19 22:20:12 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 29/20; 6/4; 31/20; 6/4; 169/100; 6/4; 8/5; 7/5; 17/11; 31/20; 8/5; 31/20; 31/20; 8/5; 8/5; 6/4; 17/11; 6/4; 23/15; 6/4; 8/5; 17/11; 13/8; 6/4; 6/4; 13/8; 17/10
Middlesbrough; 15/8; 19/10; 15/8; 15/8; 97/50; 2; 15/8; 15/8; 2; 19/10; 15/8; 2; 15/8; 19/10; 19/10; 19/10; 19/10; 9/5; 21/11; 37/19; 2; 19/10; 9/5; 9/5; 19/10; 19/10; 7/4
Draw; 9/4; 11/5; 21/10; 11/5; 56/25; 9/4; 21/10; 21/10; 28/13; 21/10; 21/10; 2; 21/10; 21/10; 23/10; 21/10; 11/5; 11/5; 11/5; 21/10; 9/4; 9/4; 21/10; 2; 21/10; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-20 02:19:46 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 31/20; 6/4; 17/10; 6/4; 8/5; 7/5; 17/11; 31/20; 6/4; 31/20; 31/20; 8/5; 8/5; 6/4; 8/5; 6/4; 23/15; 6/4; 13/8; 8/5; 13/8; 6/4; 7/5; 7/5; 17/10
Middlesbrough; 2; 19/10; 15/8; 15/8; 39/20; 2; 15/8; 15/8; 2; 15/8; 19/10; 2; 15/8; 19/10; 19/10; 19/10; 24/13; 9/5; 21/11; 37/19; 2; 19/10; 9/5; 19/10; 17/10; 7/4; 7/4
Draw; 11/5; 11/5; 21/10; 11/5; 111/50; 9/4; 21/10; 21/10; 28/13; 21/10; 21/10; 2; 21/10; 21/10; 23/10; 21/10; 28/13; 11/5; 11/5; 21/10; 11/5; 28/13; 21/10; 2; 19/10; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-20 10:19:49 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 31/20; 6/4; 17/10; 6/4; 8/5; 7/5; 17/11; 31/20; 6/4; 31/20; 31/20; 8/5; 8/5; 6/4; 8/5; 6/4; 23/15; 6/4; 13/8; 8/5; 13/8; 6/4; 7/5; 13/8; 17/10
Middlesbrough; 2; 19/10; 15/8; 15/8; 39/20; 2; 15/8; 15/8; 2; 19/10; 2; 15/8; 19/10; 2; 19/10; 24/13; 9/5; 21/11; 37/19; 2; 19/10; 15/8; 19/10; 17/10; 19/10; 19/10; 
Draw; 11/5; 11/5; 21/10; 11/5; 9/4; 21/10; 21/10; 28/13; 21/10; 11/5; 2; 21/10; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 11/5; 28/13; 21/10; 2; 19/10; 21/10; 2; 
META; english/championship/derby-v-middlesbrough; 2018-04-20 14:20:01 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 13/8; 6/4; 31/20; 8/5; 17/10; 8/5; 8/5; 6/4; 17/11; 8/5; 6/4; 31/20; 6/4; 8/5; 8/5; 6/4; 8/5; 6/4; 23/15; 6/4; 13/8; 8/5; 13/8; 6/4; 8/5; 13/8; 6/4
Middlesbrough; 2; 19/10; 15/8; 15/8; 39/20; 2; 15/8; 15/8; 2; 15/8; 2; 15/8; 19/10; 2; 19/10; 24/13; 9/5; 21/11; 37/19; 2; 19/10; 15/8; 19/10; 19/10; 19/10; 19/10; 
Draw; 11/5; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 28/13; 21/10; 11/5; 2; 11/5; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 21/10; 11/5; 28/13; 21/10; 21/10; 19/10; 21/10; 21/10; 
META; english/championship/derby-v-middlesbrough; 2018-04-20 18:20:09 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 17/10; 13/8; 13/8; 8/5; 173/100; 13/8; 13/8; 6/4; 17/11; 33/20; 6/4; 13/8; 13/8; 33/20; 17/10; 8/5; 28/17; 6/4; 18/11; 6/4; 17/10; 28/17; 13/8; 8/5; 13/8; 13/8; 17/10
Middlesbrough; 19/10; 9/5; 9/5; 15/8; 97/50; 19/10; 15/8; 15/8; 2; 9/5; 2; 15/8; 9/5; 37/20; 19/10; 9/5; 24/13; 9/5; 25/14; 37/19; 19/10; 24/13; 15/8; 15/8; 19/10; 19/10; 19/10
Draw; 11/5; 21/10; 2; 21/10; 109/50; 11/5; 21/10; 21/10; 28/13; 21/10; 11/5; 2; 21/10; 41/20; 11/5; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 28/13; 21/10; 21/10; 19/10; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-20 22:20:20 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 31/20; 6/4; 31/20; 8/5; 171/00; 13/8; 6/4; 6/4; 17/11; 31/20; 6/4; 31/20; 6/4; 8/5; 8/5; 6/4; 8/5; 6/4; 20/13; 6/4; 13/8; 8/5; 13/8; 6/4; 8/5; 13/8; 13/8
Middlesbrough; 21/10; 19/10; 19/10; 15/8; 199/00; 19/10; 2; 15/8; 2; 19/10; 2; 19/10; 2; 39/20; 2; 19/10; 19/10; 9/5; 79/40; 37/19; 2; 19/10; 15/8; 19/10; 19/10; 19/10; 19/10
Draw; 11/5; 21/10; 2; 21/10; 54/25; 11/5; 21/10; 21/10; 28/13; 2; 11/5; 2; 21/10; 41/20; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 19/10; 21/10; 21/10
META; english/championship/derby-v-middlesbrough; 2018-04-21 02:19:57 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 8/5; 6/4; 31/20; 8/5; 171/00; 13/8; 13/8; 6/4; 17/11; 31/20; 6/4; 31/20; 6/4; 8/5; 8/5; 6/4; 8/5; 6/4; 20/13; 6/4; 8/5; 8/5; 13/8; 8/5; 13/8; 13/8; 13/8
Middlesbrough; 2; 19/10; 19/10; 15/8; 199/00; 19/10; 19/10; 15/8; 2; 19/10; 2; 19/10; 2; 39/20; 2; 19/10; 19/10; 9/5; 79/40; 37/19; 2; 19/10; 15/8; 19/10; 19/10; 19/10; 19/10
Draw; 9/4; 21/10; 2; 21/10; 54/25; 11/5; 21/10; 21/10; 28/13; 2; 11/5; 2; 21/10; 41/20; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 21/10; 21/10; 21/10; 19/10; 21/10; 11/5
META; english/championship/derby-v-middlesbrough; 2018-04-21 10:20:04 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Derby; 8/5; 6/4; 31/20; 8/5; 163/00; 13/8; 8/5; 6/4; 17/11; 31/20; 8/5; 8/5; 6/4; 8/5; 8/5; 6/4; 17/11; 6/4; 20/13; 6/4; 13/8; 17/11; 8/5; 8/5; 13/8; 13/8; 13/8
Middlesbrough; 2; 19/10; 19/10; 15/8; 41/20; 19/10; 19/10; 15/8; 2; 19/10; 2; 19/10; 15/8; 39/20; 2; 19/10; 37/19; 9/5; 79/40; 37/19; 2; 37/19; 2; 19/10; 2; 2; 
Draw; 9/4; 21/10; 2; 21/10; 11/5; 11/5; 21/10; 21/10; 28/13; 2; 11/5; 2; 21/10; 41/20; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 28/13; 21/10; 21/10; 21/10; 11/5; 11/5
META; english/championship/derby-v-middlesbrough; 2018-04-21 14:20:23 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
