META; english/championship/hull-v-birmingham; 2017-09-24 02:22:05 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; ; 10/11; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Birmingham; ; 11/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-24 10:22:03 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; ; 10/11; ; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
Birmingham; ; 11/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-24 14:22:06 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 5/6; 10/11; ; ; ; ; 9/10; 10/11; 1; ; ; ; ; ; ; 10/11; ; ; 10/11; ; ; 1; ; 10/11; ; ; ; ; 
Draw; 12/5; 5/2; ; ; ; ; 5/2; 12/5; 5/2; ; ; ; ; ; ; 5/2; ; ; 12/5; ; ; 5/2; ; 12/5; ; ; ; ; 
Birmingham; 7/2; 11/4; ; ; ; ; 16/5; 16/5; 5/2; ; ; ; ; ; ; 31/10; ; ; 56/19; ; ; 5/2; ; 16/5; ; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-24 18:21:56 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 5/6; 10/11; ; ; 17/20; 9/10; 9/10; 5/6; 1; ; ; 10/11; ; ; 5/6; 10/11; 11/13; ; 10/11; ; ; 1; 9/10; 20/23; 17/20; ; ; ; 
Draw; 12/5; 5/2; ; ; 12/5; 5/2; 5/2; 12/5; 5/2; ; ; 12/5; ; ; 23/10; 12/5; 12/5; ; 27/11; ; ; 5/2; 5/2; 12/5; 49/20; ; ; ; 
Birmingham; 7/2; 11/4; ; ; 10/3; 10/3; 16/5; 16/5; 5/2; ; ; 16/5; ; ; 7/2; 16/5; 13/4; ; 3; ; ; 5/2; 10/3; 16/5; 10/3; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-24 22:21:56 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 5/6; 10/11; ; ; 17/20; 9/10; 9/10; 5/6; 1; ; ; 10/11; ; ; 5/6; 10/11; 11/13; ; 10/11; ; ; 1; 9/10; 9/10; 17/20; ; ; ; 
Draw; 12/5; 5/2; ; ; 12/5; 5/2; 5/2; 12/5; 5/2; ; ; 12/5; ; ; 23/10; 12/5; 12/5; ; 27/11; ; ; 5/2; 5/2; 12/5; 49/20; ; ; ; 
Birmingham; 7/2; 11/4; ; ; 10/3; 10/3; 16/5; 16/5; 5/2; ; ; 16/5; ; ; 7/2; 16/5; 13/4; ; 3; ; ; 5/2; 10/3; 16/5; 10/3; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-25 02:21:37 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 5/6; 10/11; ; ; 17/20; 9/10; 20/23; 5/6; 4/5; ; ; 20/23; ; ; 5/6; 11/13; 11/13; 4/5; 5/6; ; ; 4/5; 9/10; 20/23; 17/20; ; ; ; 
Draw; 12/5; 5/2; ; ; 12/5; 5/2; 5/2; 5/2; 5/2; ; ; 12/5; ; ; 23/10; 5/2; 12/5; ; 27/11; ; ; 5/2; 5/2; 12/5; 49/20; ; ; ; 
Birmingham; 7/2; 11/4; ; ; 10/3; 10/3; 10/3; 10/3; 33/10; ; ; 10/3; ; ; 7/2; 16/5; 13/4; 13/4; 57/17; ; ; 13/4; 10/3; 16/5; 10/3; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-25 10:21:57 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Hull; 5/6; 10/11; ; ; 5/6; 9/10; 17/20; 4/5; 4/5; ; ; 20/23; ; ; 5/6; 11/13; 11/13; 4/5; 5/6; ; ; 4/5; 9/10; 17/20; 17/20; ; ; ; 
Draw; 12/5; 5/2; ; ; 12/5; 5/2; 5/2; 13/5; 5/2; ; ; 12/5; ; ; 23/10; 5/2; 12/5; ; 5/2; ; ; 5/2; 5/2; 12/5; 49/20; ; ; ; 
Birmingham; 7/2; 11/4; ; ; 7/2; 10/3; 7/2; 10/3; 33/10; ; ; 10/3; ; ; 7/2; 10/3; 13/4; 13/4; 57/17; ; ; 13/4; 10/3; 16/5; 10/3; ; ; ; 
META; english/championship/hull-v-birmingham; 2017-09-25 14:22:04 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
