META; english/championship/hull-v-ipswich; 2017-11-05 02:21:45 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; ; 10/11; ; ; ; ; ; 1; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; ; ; ; ; ; ; 
Ipswich; ; 14/5; ; ; ; ; ; 5/2; 27/11; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-05 10:22:01 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; ; 10/11; ; ; ; ; ; 1; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; ; ; ; ; ; ; 
Ipswich; ; 14/5; ; ; ; ; ; 5/2; 27/11; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-05 14:21:35 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 21/20; 1; 21/20; ; 21/20; ; ; 1; 11/10; 21/20; ; ; ; ; 21/20; 11/10; 1; 21/20; ; ; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 12/5; ; 5/2; ; ; 5/2; 23/10; 12/5; ; ; ; ; 5/2; 12/5; 12/5; 23/10; ; ; 9/4; 5/2; 12/5; ; 23/10; ; ; ; 
Ipswich; 13/5; 13/5; 5/2; ; 11/4; ; ; 13/5; 28/11; 12/5; ; ; ; ; 13/5; 13/5; 13/5; 5/2; ; ; 5/2; 13/5; 27/10; ; 5/2; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-05 18:21:48 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 21/20; 1; 21/20; ; 21/20; ; ; 1; 21/20; 21/20; 11/10; 21/20; ; ; 21/20; 21/20; 1; 1; ; 17/16; 24/23; 21/20; 21/20; ; 1; ; ; ; 
Draw; 23/10; 12/5; 12/5; ; 5/2; ; ; 5/2; 5/2; 12/5; 12/5; 23/10; ; ; 5/2; 12/5; 12/5; 12/5; ; 12/5; 27/11; 5/2; 12/5; ; 12/5; ; ; ; 
Ipswich; 13/5; 13/5; 5/2; ; 11/4; ; ; 13/5; 13/5; 5/2; 11/4; 13/5; ; ; 13/5; 13/5; 13/5; 5/2; ; 21/10; 28/11; 13/5; 27/10; ; 28/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-05 22:21:21 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 21/20; 21/20; 21/20; ; 21/20; ; ; 1; 21/20; 21/20; 11/10; 21/20; ; ; 21/20; 11/10; 1; 1; ; 17/16; 24/23; 21/20; 21/20; ; 1; ; ; ; 
Draw; 23/10; 5/2; 12/5; ; 5/2; ; ; 5/2; 5/2; 12/5; 12/5; 23/10; ; ; 5/2; 12/5; 12/5; 12/5; ; 12/5; 27/11; 5/2; 5/2; ; 12/5; ; ; ; 
Ipswich; 13/5; 5/2; 5/2; ; 11/4; ; ; 13/5; 13/5; 5/2; 11/4; 13/5; ; ; 13/5; 13/5; 13/5; 5/2; ; 21/10; 28/11; 13/5; 13/5; ; 28/11; ; ; ; 
