META; english/championship/leeds-v-reading; 2017-09-30 22:21:27 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; 
Reading; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; 
META; english/championship/leeds-v-reading; 2017-10-01 02:21:23 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; ; 8/11; ; ; ; ; ; 8/13; 11/17; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; 4/6; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; 11/4; 45/17; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 11/4; ; ; ; ; 
Reading; ; 16/5; ; ; ; ; ; 4; 22/5; ; ; ; ; ; ; ; ; ; ; ; ; 43/10; ; 15/4; ; ; ; ; 
META; english/championship/leeds-v-reading; 2017-10-01 10:21:22 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; ; 8/11; ; ; ; ; ; 8/13; 11/17; ; ; ; ; ; ; ; ; ; ; ; ; 11/17; ; 4/6; ; ; ; ; 
Draw; ; 11/4; ; ; ; ; ; 11/4; 45/17; ; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; 11/4; ; ; ; ; 
Reading; ; 16/5; ; ; ; ; ; 4; 22/5; ; ; ; ; ; ; ; ; ; ; ; ; 43/10; ; 15/4; ; ; ; ; 
META; english/championship/leeds-v-reading; 2017-10-01 14:21:31 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; ; ; 4/6; 8/13; 11/17; ; 7/10; ; ; ; ; 7/10; ; ; 9/13; ; ; 11/17; ; 7/10; ; ; ; ; 
Draw; 14/5; 11/4; ; 13/5; ; ; 14/5; 11/4; 45/17; ; 13/5; ; ; ; ; 14/5; ; ; 13/5; ; ; 13/5; ; 11/4; ; ; ; ; 
Reading; 4; 16/5; ; 9/2; ; ; 17/4; 4; 22/5; ; 4; ; ; ; ; 4; ; ; 50/13; ; ; 43/10; ; 15/4; ; ; ; ; 
META; english/championship/leeds-v-reading; 2017-10-01 18:20:56 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 7/10; ; ; ; 8/11; 7/10; 11/17; 19/29; 9/13; ; 7/10; 19/29; ; 7/10; ; ; ; ; 
Draw; 14/5; 11/4; ; 13/5; 11/4; 29/10; 11/4; 11/4; 45/17; ; 13/5; ; ; ; 13/5; 14/5; 14/5; 28/11; 13/5; ; 28/11; 28/11; ; 11/4; ; ; ; ; 
Reading; 4; 16/5; ; 9/2; 4; 21/5; 21/5; 4; 23/5; ; 4; ; ; ; 17/4; 4; 4; 9/2; 50/13; ; 33/10; 9/2; ; 15/4; ; ; ; ; 
META; english/championship/leeds-v-reading; 2017-10-01 22:20:45 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 7/10; 8/11; ; 4/6; 8/11; 7/10; 11/17; 19/29; 9/13; ; 7/10; 19/29; ; 7/10; ; ; 1/2; ; 
Draw; 14/5; 11/4; ; 13/5; 11/4; 29/10; 14/5; 11/4; 45/17; ; 13/5; 27/10; ; 29/10; 13/5; 14/5; 14/5; 28/11; 13/5; ; 28/11; 28/11; ; 11/4; ; ; 2; ; 
Reading; 4; 16/5; ; 9/2; 4; 21/5; 4; 4; 23/5; ; 4; 4; ; 4; 17/4; 4; 4; 9/2; 50/13; ; 33/10; 9/2; ; 15/4; ; ; 3; ; 
META; english/championship/leeds-v-reading; 2017-10-02 02:20:38 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 7/10; 8/11; ; 4/6; 8/11; 7/10; 11/17; 19/29; 9/13; ; 7/10; 19/29; ; 7/10; ; ; 4/7; ; 
Draw; 14/5; 11/4; ; 13/5; 11/4; 29/10; 14/5; 11/4; 45/17; ; 13/5; 27/10; ; 29/10; 13/5; 14/5; 14/5; 28/11; 13/5; ; 28/11; 28/11; ; 11/4; ; ; 12/5; ; 
Reading; 4; 16/5; ; 9/2; 4; 21/5; 4; 4; 23/5; ; 4; 4; ; 4; 17/4; 4; 4; 9/2; 50/13; ; 33/10; 9/2; ; 15/4; ; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-02 10:21:05 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 7/10; 3/4; ; 4/6; 8/11; 7/10; 11/17; 19/29; 9/13; ; 7/10; 19/29; ; 7/10; ; ; 4/7; ; 
Draw; 14/5; 11/4; ; 13/5; 11/4; 29/10; 14/5; 11/4; 45/17; ; 13/5; 27/10; ; 29/10; 13/5; 14/5; 14/5; 28/11; 13/5; ; 28/11; 28/11; ; 13/5; ; ; 5/2; ; 
Reading; 4; 16/5; ; 9/2; 4; 21/5; 4; 4; 23/5; ; 4; 19/5; ; 4; 17/4; 4; 4; 9/2; 50/13; ; 33/10; 9/2; ; 15/4; ; ; 7/2; ; 
META; english/championship/leeds-v-reading; 2017-10-02 18:21:21 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; ; 7/10; 3/4; ; 4/6; 7/10; 4/6; 11/17; 11/17; 3/4; 7/10; 19/29; 4/6; 7/10; 4/6; ; 4/7; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 29/10; 11/4; 11/4; 45/17; ; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 27/10; 57/20; 28/11; 28/11; 14/5; 14/5; 14/5; ; 5/2; ; 
Reading; 4; 19/5; ; 9/2; 4; 21/5; 4; 4; 23/5; ; 4; 19/5; ; 4; 4; 4; 4; 41/10; 43/10; 33/10; 9/2; 4; 4; 4; ; 14/5; ; 
META; english/championship/leeds-v-reading; 2017-10-02 22:21:46 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; ; 7/10; 3/4; ; 4/6; 7/10; 4/6; 11/17; 11/17; 3/4; 7/10; 19/29; 4/6; 7/10; 4/6; ; 8/13; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 29/10; 11/4; 11/4; 45/17; ; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 27/10; 57/20; 28/11; 28/11; 14/5; 14/5; 14/5; ; 5/2; ; 
Reading; 4; 19/5; ; 9/2; 4; 21/5; 4; 4; 23/5; ; 4; 19/5; ; 4; 4; 4; 4; 41/10; 43/10; 33/10; 9/2; 4; 4; 4; ; 14/5; ; 
META; english/championship/leeds-v-reading; 2017-10-03 02:21:29 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 4/6; 3/4; 7/10; 19/29; 4/6; 7/10; 4/6; ; 8/13; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 29/10; 13/5; 11/4; 45/17; ; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 28/11; 14/5; 14/5; 14/5; ; 5/2; ; 
Reading; 4; 19/5; ; 9/2; 4; 21/5; 15/4; 4; 23/5; ; 4; 19/5; ; 4; 4; 4; 4; 39/10; 43/10; 33/10; 9/2; 4; 4; 4; ; 14/5; ; 
META; english/championship/leeds-v-reading; 2017-10-03 10:21:44 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 4/6; 3/4; 7/10; 19/29; 4/6; 7/10; 4/6; ; 8/13; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 29/10; 13/5; 11/4; 45/17; ; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 28/11; 14/5; 14/5; 14/5; ; 5/2; ; 
Reading; 4; 19/5; ; 9/2; 4; 21/5; 15/4; 4; 23/5; ; 4; 19/5; ; 4; 4; 4; 4; 39/10; 43/10; 33/10; 9/2; 4; 4; 4; ; 14/5; ; 
META; english/championship/leeds-v-reading; 2017-10-03 14:21:49 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; ; 4/6; 4/6; 7/10; 7/10; 4/6; 4/6; ; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 9/13; 3/4; 7/10; 19/29; 4/6; 7/10; 4/6; ; 8/13; ; 
Draw; 14/5; 13/5; ; 13/5; 11/4; 29/10; 13/5; 11/4; 45/17; ; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 28/11; 14/5; 14/5; 14/5; ; 12/5; ; 
Reading; 4; 19/5; ; 9/2; 4; 21/5; 15/4; 4; 23/5; ; 4; 19/5; ; 4; 4; 4; 4; 50/13; 43/10; 33/10; 9/2; 4; 4; 4; ; 14/5; ; 
META; english/championship/leeds-v-reading; 2017-10-03 18:21:40 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; ; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 9/13; 3/4; 7/10; 13/18; 4/6; 7/10; 4/6; ; 8/13; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; ; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 14/5; 14/5; ; 12/5; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; ; 4; 19/5; ; 4; 4; 4; 4; 19/5; 43/10; 33/10; 19/5; 4; 4; 4; ; 14/5; ; 
META; english/championship/leeds-v-reading; 2017-10-03 22:21:41 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 9/13; 3/4; 7/10; 13/18; 4/6; 8/11; 4/6; ; 8/15; ; 
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 29/10; 13/5; 11/4; 27/10; 13/5; 13/5; 27/10; ; 29/10; 14/5; 13/5; 14/5; 45/17; 57/20; 28/11; 45/17; 14/5; 11/4; 14/5; ; 12/5; ; 
Reading; 4; 19/5; 19/5; 9/2; 4; 21/5; 15/4; 4; 39/10; 15/4; 4; 19/5; ; 4; 4; 4; 4; 19/5; 43/10; 33/10; 19/5; 4; 4; 4; ; 14/5; ; 
META; english/championship/leeds-v-reading; 2017-10-04 02:21:35 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 13/20; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 13/18; 8/11; 8/11; 3/4; ; 4/6; 7/10; 4/6; 11/17; 9/13; 3/4; 7/10; 13/18; 4/6; 7/10; 4/6; ; 1/2; ; 
