META; english/championship/nottingham-forest-v-fulham; 2017-09-17 02:22:06 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-17 10:21:57 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-17 14:21:55 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-17 18:21:48 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-17 22:21:51 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-18 02:21:39 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-18 10:21:43 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-18 14:21:51 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-18 18:21:48 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; ; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-18 22:21:45 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 20/21; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 02:21:44 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 20/21; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 10:21:51 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 20/21; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 14:21:50 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 2; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 18:21:57 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Draw; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; 45/17; ; ; ; 45/17; ; ; ; ; 2; ; 
META; english/championship/nottingham-forest-v-fulham; 2017-09-19 22:21:52 GMT+3; 2017-09-26 19:45; Nothing; Xlenovo
Fulham; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
Nottingham Forest; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; 8/13; ; 
