META; english/championship/qpr-v-bristol-city; 2017-12-16 22:20:38 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; ; 11/8; ; ; ; ; 13/10; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 13/10; 13/10; 13/10; 13/10; 5/4; ; 5/6; ; 
QPR; ; 19/10; ; ; ; ; 2; 21/10; 2; ; ; ; ; ; ; 2; ; 37/19; ; ; 2; 2; 2; 2; 2; ; 13/8; ; 
Draw; ; 23/10; ; ; ; ; 23/10; 12/5; 12/5; ; ; ; ; ; ; 5/2; ; 40/17; ; ; 40/17; 12/5; 5/2; 12/5; 12/5; ; 21/10; ; 
META; english/championship/qpr-v-bristol-city; 2017-12-17 02:20:36 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; ; 11/8; ; ; ; ; 13/10; 13/10; 13/10; ; ; 13/10; ; ; ; 11/8; ; 5/4; ; ; 13/10; 13/10; 13/10; 13/10; 5/4; ; 23/20; ; 
QPR; ; 19/10; ; ; ; ; 2; 21/10; 2; ; ; 2; ; ; ; 2; ; 37/19; ; ; 2; 2; 2; 2; 2; ; 9/5; ; 
Draw; ; 23/10; ; ; ; ; 12/5; 12/5; 12/5; ; ; 23/10; ; ; ; 12/5; ; 40/17; ; ; 40/17; 12/5; 5/2; 12/5; 12/5; ; 11/5; ; 
META; english/championship/qpr-v-bristol-city; 2017-12-17 10:20:35 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 11/10; 11/8; 15/13; ; ; ; 6/5; 6/5; 13/10; 11/10; 6/5; 6/5; ; 23/20; ; 5/4; ; 15/13; ; ; 13/10; 11/10; 23/20; 11/10; 15/13; ; 23/20; ; 
QPR; 23/10; 19/10; 9/4; ; ; ; 11/5; 21/10; 2; 9/4; 21/10; 9/4; ; 23/10; ; 9/4; ; 28/13; ; ; 2; 23/10; 23/10; 23/10; 11/5; ; 19/10; ; 
Draw; 5/2; 23/10; 5/2; ; ; ; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; ; 5/2; ; 5/2; ; 12/5; ; ; 40/17; 13/5; 5/2; 5/2; 12/5; ; 11/5; ; 
