META; english/championship/qpr-v-wolves; 2017-10-21 22:23:32 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; ; ; ; ; ; ; 6/5; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
QPR; ; ; ; ; ; ; 23/10; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/championship/qpr-v-wolves; 2017-10-22 02:22:36 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; ; 6/5; ; ; ; ; 6/5; 11/10; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 23/20; ; ; 4/6; ; 
QPR; ; 21/10; ; ; ; ; 23/10; 23/10; 5/2; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; ; 47/20; ; ; 19/10; ; 
Draw; ; 23/10; ; ; ; ; 5/2; 13/5; 40/17; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; 11/5; ; 
META; english/championship/qpr-v-wolves; 2017-10-22 10:23:01 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; ; 6/5; ; ; ; ; 6/5; 11/10; 11/10; ; ; 23/20; ; ; ; 6/5; ; 21/20; ; ; 11/10; ; 23/20; 11/10; 11/10; ; 4/6; ; 
QPR; ; 21/10; ; ; ; ; 23/10; 23/10; 5/2; ; ; 12/5; ; ; ; 12/5; ; 27/11; ; ; 27/11; ; 5/2; 49/20; 27/11; ; 19/10; ; 
Draw; ; 23/10; ; ; ; ; 5/2; 13/5; 40/17; ; ; 12/5; ; ; ; 12/5; ; 23/10; ; ; 23/10; ; 23/10; 12/5; 40/17; ; 11/5; ; 
META; english/championship/qpr-v-wolves; 2017-10-22 14:23:20 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Wolves; 1; 21/20; ; ; 21/20; 21/20; 21/20; 1; 1; ; 1; 1; ; ; 21/20; 21/20; 1; 1; ; 19/20; 1; ; 1; 19/20; 1; ; 5/6; ; 
Draw; 12/5; 5/2; ; ; 5/2; 13/5; 12/5; 12/5; 12/5; ; 5/2; 12/5; ; ; 5/2; 5/2; 12/5; 23/10; ; 12/5; 40/17; ; 5/2; 5/2; 40/17; ; 11/5; ; 
QPR; 11/4; 5/2; ; ; 11/4; 29/10; 11/4; 11/4; 11/4; ; 3; 13/5; ; ; 13/5; 11/4; 13/5; 28/11; ; 12/5; 27/10; ; 14/5; 14/5; 13/5; ; 19/10; ; 
