META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-16 22:20:43 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; ; ; ; ; ; ; 7/5; 13/10; 13/10; ; ; ; ; ; ; 7/5; ; 5/4; ; ; 13/10; 7/5; 7/5; 11/8; 13/10; ; 5/6; ; 
Middlesbrough; ; 7/4; ; ; ; ; 19/10; 2; 2; ; ; ; ; ; ; 2; ; 37/19; ; ; 2; 2; 19/10; 39/20; 2; ; 6/5; ; 
Draw; ; 23/10; ; ; ; ; 12/5; 12/5; 12/5; ; ; ; ; ; ; 12/5; ; 40/17; ; ; 40/17; 12/5; 12/5; 47/20; 40/17; ; 2; ; 
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-17 02:20:40 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; ; ; ; ; ; ; 7/5; 13/10; 13/10; ; ; 11/8; ; ; ; 7/5; ; 13/10; ; ; 13/10; 7/5; 7/5; 11/8; 13/10; ; 5/4; ; 
Middlesbrough; ; 7/4; ; ; ; ; 19/10; 2; 2; ; ; 2; ; ; ; 2; ; 37/19; ; ; 2; 2; 19/10; 39/20; 37/19; ; 13/8; ; 
Draw; ; 23/10; ; ; ; ; 23/10; 12/5; 12/5; ; ; 9/4; ; ; ; 12/5; ; 40/17; ; ; 40/17; 12/5; 12/5; 47/20; 40/17; ; 21/10; ; 
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-17 10:20:40 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 5/4; ; 5/4; ; ; ; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; ; 13/10; ; 13/10; ; 5/4; ; ; 13/10; 13/10; 5/4; 5/4; 5/4; ; 5/4; ; 
Middlesbrough; 11/5; 7/4; 11/5; ; ; ; 2; 21/10; 2; 11/5; 2; 11/5; ; 9/4; ; 21/10; ; 39/19; ; ; 2; 9/4; 9/4; 11/5; 39/19; ; 7/4; ; 
Draw; 23/10; 23/10; 11/5; ; ; ; 23/10; 23/10; 12/5; 11/5; 12/5; 23/10; ; 9/4; ; 12/5; ; 23/10; ; ; 40/17; 23/10; 12/5; 47/20; 23/10; ; 21/10; ; 
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-17 14:20:48 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 31/20; 7/5; 17/11; ; ; ; 6/4; 7/5; 13/10; 31/20; 13/10; 8/5; ; 31/20; 6/4; 6/4; ; 16/11; ; 11/8; 13/10; 8/5; 6/4; 31/20; 6/4; ; 5/4; ; 
Middlesbrough; 17/10; 19/10; 28/15; ; ; ; 7/4; 9/5; 2; 15/8; 2; 9/5; ; 15/8; 9/5; 15/8; ; 7/4; ; 48/29; 2; 9/5; 19/10; 9/5; 7/4; ; 6/4; ; 
Draw; 23/10; 23/10; 21/10; ; ; ; 9/4; 23/10; 12/5; 21/10; 12/5; 21/10; ; 11/5; 12/5; 23/10; ; 9/4; ; 9/4; 40/17; 9/4; 23/10; 9/4; 9/4; ; 21/10; ; 
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-17 18:20:26 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 31/20; 7/5; 17/11; 8/5; ; 6/4; 8/5; 6/4; 13/10; 31/20; 13/10; 8/5; ; 31/20; 8/5; 6/4; ; 6/4; 43/25; 11/8; 13/10; 8/5; 6/4; 31/20; 17/11; ; 7/5; ; 
Middlesbrough; 17/10; 19/10; 28/15; 7/4; ; 15/8; 7/4; 9/5; 2; 15/8; 2; 9/5; ; 15/8; 7/4; 15/8; ; 17/10; 93/50; 48/29; 2; 9/5; 19/10; 9/5; 17/10; ; 7/4; ; 
Draw; 23/10; 23/10; 21/10; 11/5; ; 23/10; 11/5; 23/10; 12/5; 21/10; 12/5; 21/10; ; 11/5; 23/10; 23/10; ; 9/4; 23/10; 9/4; 40/17; 9/4; 23/10; 9/4; 9/4; ; 21/10; ; 
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-17 22:20:12 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 31/20; 6/4; 17/11; 8/5; ; 6/4; 8/5; 6/4; 13/10; 31/20; 13/10; 8/5; 6/4; 31/20; 8/5; 6/4; ; 17/11; 43/25; 16/11; 13/10; 8/5; 6/4; 31/20; 17/11; ; 6/4; ; 
