META; english/league-1/blackpool-v-peterborough; 2018-02-11 18:21:00 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 8/5; 3/2; ; ; ; ; 8/5; ; ; ; 8/5; ; ; ; ; ; 17/11; ; ; ; ; 8/5; 31/20; 17/11; ; ; ; 
Peterborough; 6/4; 17/10; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; 16/11; ; ; ; ; 8/5; 6/4; 16/11; ; ; ; 
Draw; 13/5; 12/5; ; ; ; ; 5/2; ; ; ; 13/5; ; ; ; ; ; 5/2; ; ; ; ; 13/5; 13/5; 5/2; ; ; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-11 22:20:48 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 8/5; 3/2; ; ; ; 13/8; 8/5; 8/5; ; ; 8/5; 31/20; ; ; ; 8/5; 17/11; ; ; ; ; 8/5; 31/20; 17/11; ; 6/4; ; 
Peterborough; 6/4; 17/10; ; ; ; 13/8; 6/4; 6/4; ; ; 6/4; 31/20; ; ; ; 6/4; 16/11; ; ; ; ; 8/5; 6/4; 16/11; ; 6/4; ; 
Draw; 13/5; 12/5; ; ; ; 5/2; 5/2; 12/5; ; ; 13/5; 13/5; ; ; ; 5/2; 5/2; ; ; ; ; 13/5; 13/5; 28/11; ; 9/4; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-12 02:20:39 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 8/5; 3/2; ; ; ; 13/8; 8/5; 6/4; ; ; 8/5; 31/20; ; ; ; 6/4; 17/11; ; ; ; ; 8/5; 31/20; 17/11; ; 6/4; ; 
Peterborough; 6/4; 17/10; ; ; ; 13/8; 6/4; 8/5; ; ; 6/4; 31/20; ; ; ; 6/4; 16/11; ; ; ; ; 8/5; 6/4; 16/11; ; 6/4; ; 
Draw; 13/5; 12/5; ; ; ; 13/5; 5/2; 5/2; ; ; 13/5; 13/5; ; ; ; 13/5; 5/2; ; ; ; ; 13/5; 13/5; 28/11; ; 23/10; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-12 10:20:59 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 8/5; 3/2; ; ; ; 13/8; 8/5; 6/4; 8/5; ; 8/5; 31/20; ; ; ; 6/4; 17/11; 8/5; ; 8/5; ; 8/5; 31/20; 17/11; ; 6/4; ; 
Peterborough; 6/4; 17/10; ; ; ; 13/8; 6/4; 8/5; 6/4; ; 6/4; 31/20; ; ; ; 6/4; 16/11; 6/4; ; 6/4; ; 8/5; 6/4; 16/11; ; 6/4; ; 
Draw; 13/5; 12/5; ; ; ; 13/5; 5/2; 5/2; 28/11; ; 13/5; 13/5; ; ; ; 13/5; 5/2; 5/2; ; 28/11; ; 13/5; 13/5; 5/2; ; 12/5; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-12 14:21:14 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Peterborough; 6/4; 13/8; ; ; ; 13/8; 6/4; 8/5; 6/4; ; 6/4; 31/20; ; ; 6/4; 6/4; 16/11; 6/4; ; 6/4; 6/4; 31/20; 6/4; 16/11; ; 6/4; ; 
Blackpool; 8/5; 6/4; ; ; ; 13/8; 8/5; 6/4; 8/5; ; 8/5; 13/8; ; ; 17/10; 8/5; 17/11; 8/5; ; 8/5; 13/8; 13/8; 31/20; 17/11; ; 6/4; ; 
Draw; 13/5; 13/5; ; ; ; 13/5; 5/2; 5/2; 28/11; ; 13/5; 12/5; ; ; 23/10; 5/2; 5/2; 5/2; ; 28/11; 13/5; 13/5; 13/5; 5/2; ; 12/5; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-12 18:21:16 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Peterborough; 6/4; 13/8; ; ; ; 13/8; 6/4; 8/5; 6/4; ; 6/4; 31/20; ; ; 6/4; 6/4; 16/11; 6/4; ; 6/4; 6/4; 31/20; 6/4; 16/11; ; 6/4; ; 
