META; english/league-1/bradford-v-blackpool; 2017-06-23 22:17:57 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; ; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/100; ; 
Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; ; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; ; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/100; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-24 02:17:53 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; ; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/100; ; 
Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; ; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; ; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/100; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-24 10:17:59 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; ; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/100; ; 
Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; ; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; ; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/100; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-24 14:18:00 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; ; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/100; ; 
Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; ; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; ; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/100; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-24 18:17:59 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; ; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/100; ; 
Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; ; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
