META; english/league-1/bury-v-gillingham; 2018-02-18 14:21:17 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 13/10; 13/10; ; ; 7/5; ; 13/10; ; ; ; ; ; ; ; 5/4; 13/10; 5/4; ; ; ; ; ; 5/4; 5/4; ; ; ; 
Gillingham; 2; 21/10; ; ; 52/25; ; 2; ; ; ; ; ; ; ; 21/10; 2; 37/19; ; ; ; ; ; 2; 37/19; ; ; ; 
Draw; 12/5; 23/10; ; ; 63/25; ; 23/10; ; ; ; ; ; ; ; 23/10; 12/5; 23/10; ; ; ; ; ; 12/5; 40/17; ; ; ; 
META; english/league-1/bury-v-gillingham; 2018-02-18 18:20:59 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 13/10; 13/10; ; ; 7/5; ; 13/10; ; ; ; 13/10; ; ; ; 5/4; 13/10; 5/4; ; ; ; 13/10; 13/10; 5/4; 5/4; ; ; ; 
Gillingham; 2; 21/10; ; ; 52/25; ; 2; ; ; ; 21/10; ; ; ; 21/10; 2; 37/19; ; ; ; 2; 85/40; 2; 37/19; ; ; ; 
Draw; 12/5; 23/10; ; ; 63/25; ; 23/10; ; ; ; 12/5; ; ; ; 23/10; 12/5; 23/10; ; ; ; 12/5; 12/5; 12/5; 40/17; ; ; ; 
META; english/league-1/bury-v-gillingham; 2018-02-18 22:20:41 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 13/10; 13/10; ; ; 7/5; ; 13/10; ; ; ; 13/10; ; ; ; 5/4; 13/10; 5/4; ; ; ; 13/10; 13/10; 5/4; 5/4; ; ; ; 
Gillingham; 2; 21/10; ; ; 52/25; ; 2; ; ; ; 21/10; ; ; ; 21/10; 2; 19/10; ; ; ; 2; 85/40; 2; 37/19; ; ; ; 
Draw; 12/5; 23/10; ; ; 63/25; ; 23/10; ; ; ; 12/5; ; ; ; 23/10; 12/5; 23/10; ; ; ; 12/5; 12/5; 12/5; 40/17; ; ; ; 
META; english/league-1/bury-v-gillingham; 2018-02-19 02:20:39 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 13/10; 13/10; ; ; 7/5; ; 13/10; ; ; ; 13/10; ; ; ; 5/4; 13/10; 5/4; ; ; ; 13/10; 13/10; 5/4; 5/4; ; ; ; 
Gillingham; 2; 21/10; ; ; 52/25; ; 2; ; ; ; 21/10; ; ; ; 21/10; 2; 37/19; ; ; ; 2; 85/40; 2; 37/19; ; ; ; 
Draw; 12/5; 23/10; ; ; 63/25; ; 23/10; ; ; ; 12/5; ; ; ; 23/10; 12/5; 23/10; ; ; ; 12/5; 12/5; 12/5; 40/17; ; ; ; 
META; english/league-1/bury-v-gillingham; 2018-02-19 10:20:37 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 13/10; 13/10; ; ; 7/5; ; 13/10; ; ; ; 13/10; 13/10; ; ; 5/4; 13/10; 5/4; 13/10; ; ; 13/10; 13/10; 5/4; 5/4; ; ; ; 
Gillingham; 2; 21/10; ; ; 52/25; ; 2; ; ; ; 21/10; 21/10; ; ; 21/10; 2; 37/19; 2; ; ; 2; 85/40; 2; 37/19; ; ; ; 
Draw; 12/5; 23/10; ; ; 63/25; ; 23/10; ; ; ; 12/5; 23/10; ; ; 23/10; 12/5; 23/10; 23/10; ; ; 12/5; 12/5; 12/5; 40/17; ; ; ; 
META; english/league-1/bury-v-gillingham; 2018-02-19 14:21:07 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 13/10; 13/10; ; ; 7/5; 13/10; 13/10; 11/10; ; ; 13/10; 13/10; ; ; 13/10; 13/10; 5/4; 13/10; ; ; 13/10; 13/10; 5/4; 5/4; ; ; ; 
Gillingham; 2; 2; ; ; 52/25; 23/10; 2; 2; ; ; 21/10; 21/10; ; ; 21/10; 2; 37/19; 2; ; ; 2; 85/40; 2; 37/19; ; ; ; 
Draw; 12/5; 12/5; ; ; 63/25; 5/2; 23/10; 11/5; ; ; 12/5; 23/10; ; ; 23/10; 12/5; 23/10; 23/10; ; ; 12/5; 12/5; 12/5; 40/17; ; ; ; 
META; english/league-1/bury-v-gillingham; 2018-02-19 18:21:10 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; 27/20; 13/10; 13/10; 6/5; 23/18; 13/10; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; ; 23/18; 13/10; 13/10; 5/4; 5/4; ; ; ; 
Gillingham; 21/10; 21/10; 11/5; 2; 58/25; 23/10; 21/10; 2; 39/19; 21/10; 11/5; 11/5; 9/4; ; 21/10; 21/10; 2; 2; ; 39/19; 9/4; 85/40; 21/10; 39/19; ; ; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 117/50; 12/5; 9/4; 21/10; 40/17; 21/10; 23/10; 11/5; 9/4; ; 23/10; 9/4; 11/5; 23/10; ; 40/17; 23/10; 12/5; 9/4; 9/4; ; ; ; 
META; english/league-1/bury-v-gillingham; 2018-02-19 22:21:10 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; 27/20; 13/10; 13/10; 6/5; 23/18; 13/10; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 5/4; ; ; ; 
Gillingham; 21/10; 21/10; 21/10; 2; 58/25; 23/10; 21/10; 2; 39/19; 21/10; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 21/10; ; ; ; 
