META; english/league-1/fleetwood-v-mk-dons; 2018-02-18 14:21:22 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 21/20; ; ; 57/50; ; 21/20; ; ; ; ; ; ; ; 11/10; 11/10; 1; ; ; ; ; ; 21/20; 1; ; ; ; 
MK Dons; 12/5; 13/5; ; ; 63/25; ; 12/5; ; ; ; ; ; ; ; 12/5; 5/2; 40/17; ; ; ; ; ; 12/5; 40/17; ; ; ; 
Draw; 5/2; 23/10; ; ; 66/25; ; 12/5; ; ; ; ; ; ; ; 23/10; 12/5; 27/11; ; ; ; ; ; 5/2; 27/11; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-18 18:21:04 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 21/20; ; ; 57/50; ; 21/20; ; ; ; 21/20; ; ; ; 11/10; 21/20; 1; ; ; ; 11/10; 21/20; 21/20; 1; ; ; ; 
MK Dons; 12/5; 13/5; ; ; 63/25; ; 12/5; ; ; ; 5/2; ; ; ; 12/5; 5/2; 40/17; ; ; ; 5/2; 13/5; 12/5; 40/17; ; ; ; 
Draw; 5/2; 23/10; ; ; 66/25; ; 12/5; ; ; ; 5/2; ; ; ; 23/10; 5/2; 27/11; ; ; ; 13/5; 5/2; 5/2; 27/11; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-18 22:20:46 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 21/20; ; ; 57/50; ; 21/20; ; ; ; 21/20; ; ; ; 11/10; 21/20; 1; ; ; ; 11/10; 21/20; 21/20; 1; ; ; ; 
MK Dons; 12/5; 13/5; ; ; 63/25; ; 12/5; ; ; ; 5/2; ; ; ; 12/5; 5/2; 40/17; ; ; ; 5/2; 13/5; 12/5; 40/17; ; ; ; 
Draw; 5/2; 23/10; ; ; 66/25; ; 12/5; ; ; ; 5/2; ; ; ; 23/10; 5/2; 27/11; ; ; ; 13/5; 5/2; 5/2; 27/11; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-19 02:20:44 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 21/20; ; ; 57/50; ; 21/20; ; ; ; 21/20; ; ; ; 11/10; 21/20; 1; ; ; ; 11/10; 21/20; 21/20; 1; ; ; ; 
MK Dons; 12/5; 13/5; ; ; 63/25; ; 12/5; ; ; ; 5/2; ; ; ; 12/5; 5/2; 40/17; ; ; ; 5/2; 13/5; 12/5; 40/17; ; ; ; 
Draw; 5/2; 23/10; ; ; 66/25; ; 12/5; ; ; ; 5/2; ; ; ; 23/10; 5/2; 27/11; ; ; ; 13/5; 5/2; 5/2; 27/11; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-19 10:20:42 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 21/20; ; ; 57/50; ; 21/20; ; ; ; 21/20; 21/20; ; ; 11/10; 21/20; 1; 21/20; ; ; 11/10; 21/20; 21/20; 1; ; ; ; 
MK Dons; 12/5; 13/5; ; ; 63/25; ; 12/5; ; ; ; 5/2; 5/2; ; ; 12/5; 5/2; 40/17; 12/5; ; ; 5/2; 13/5; 12/5; 40/17; ; ; ; 
Draw; 5/2; 23/10; ; ; 66/25; ; 12/5; ; ; ; 5/2; 5/2; ; ; 23/10; 5/2; 27/11; 5/2; ; ; 13/5; 5/2; 5/2; 27/11; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-19 14:21:12 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 21/20; ; ; 57/50; 11/10; 21/20; 10/11; ; ; 21/20; 21/20; ; ; 11/10; 21/20; 1; 21/20; ; ; 11/10; 21/20; 21/20; 1; ; ; ; 
MK Dons; 12/5; 12/5; ; ; 63/25; 13/5; 12/5; 23/10; ; ; 5/2; 5/2; ; ; 23/10; 12/5; 40/17; 12/5; ; ; 5/2; 13/5; 12/5; 40/17; ; ; ; 
Draw; 5/2; 13/5; ; ; 66/25; 11/4; 5/2; 12/5; ; ; 13/5; 5/2; ; ; 5/2; 13/5; 27/11; 5/2; ; ; 13/5; 13/5; 5/2; 27/11; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-19 18:21:15 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; 11/10; ; 11/10; 11/10; 21/20; 21/20; ; 24/23; 11/10; 11/10; 21/20; 21/20; ; ; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 13/5; 9/4; 23/10; 28/11; 11/5; 12/5; 23/10; 9/4; ; 23/10; 23/10; 9/4; 5/2; ; 28/11; 12/5; 12/5; 23/10; 23/10; ; ; ; 
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 11/4; 5/2; 12/5; 27/11; 13/5; 13/5; 13/5; 5/2; ; 5/2; 13/5; 27/11; 12/5; ; 27/11; 13/5; 13/5; 51/20; 27/11; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-19 22:21:15 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 21/20; 10/11; 24/23; 11/10; 21/20; 21/20; 11/10; ; 11/10; 11/10; 1; 21/20; 12/11; 24/23; 11/10; 11/10; 21/20; 21/20; ; ; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 23/10; 28/11; 11/5; 12/5; 23/10; 23/10; ; 23/10; 23/10; 11/5; 5/2; 23/10; 28/11; 12/5; 12/5; 23/10; 9/4; ; ; ; 
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 12/5; 27/11; 13/5; 13/5; 13/5; 5/2; ; 5/2; 13/5; 28/11; 12/5; 27/11; 27/11; 13/5; 13/5; 51/20; 28/11; ; ; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-20 02:21:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Fleetwood; 21/20; 11/10; 11/10; 11/10; 113/100; 11/10; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 11/10; 1; 21/20; 12/11; 24/23; 11/10; 11/10; 21/20; 21/20; ; 1; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 12/5; 9/4; 23/10; 28/11; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 11/5; 5/2; 23/10; 28/11; 12/5; 12/5; 23/10; 9/4; ; 21/10; ; 
MK Dons; 5/2; 13/5; 13/5; 23/10; 141/50; 29/10; 13/5; 12/5; 27/11; 13/5; 13/5; 13/5; 5/2; 27/10; 5/2; 13/5; 28/11; 12/5; 27/11; 27/11; 13/5; 13/5; 51/20; 28/11; ; 13/5; ; 
META; english/league-1/fleetwood-v-mk-dons; 2018-02-20 10:21:10 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
