META; english/league-1/fleetwood-v-oldham; 2017-09-02 02:23:02 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-oldham; 2017-09-02 10:23:05 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-oldham; 2017-09-02 14:23:35 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/fleetwood-v-oldham; 2017-09-02 18:23:08 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Fleetwood; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-1/fleetwood-v-oldham; 2017-09-02 22:23:25 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Fleetwood; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Oldham; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-oldham; 2017-09-03 02:22:24 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Fleetwood; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Oldham; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-oldham; 2017-09-03 10:22:12 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Fleetwood; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
Oldham; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/fleetwood-v-oldham; 2017-09-03 14:22:16 GMT+3; 2017-09-09 15:00; Nothing; Xlenovo
Fleetwood; 8/11; 4/5; ; ; 3/4; ; 3/4; 4/6; 3/4; ; ; ; 8/11; 3/4; 8/11; 8/11; ; 8/11; 5/7; 77/100; ; 3/4; ; 8/11; 8/11; ; 4/6; ; 
Draw; 11/4; 5/2; ; ; 11/4; ; 11/4; 11/4; 45/17; ; ; ; 11/4; 29/10; 12/5; 11/4; ; 13/5; 13/5; 71/25; ; 45/17; ; 14/5; 11/4; ; 13/5; ; 
Oldham; 7/2; 16/5; ; ; 19/5; ; 15/4; 7/2; 18/5; ; ; ; 7/2; 4; 4; 15/4; ; 7/2; 17/5; 4; ; 18/5; ; 7/2; 7/2; ; 7/2; ; 
