META; english/league-1/gillingham-v-bristol-rovers; 2017-12-10 02:20:32 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Bristol Rovers; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Gillingham; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/gillingham-v-bristol-rovers; 2017-12-10 10:20:34 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Bristol Rovers; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Gillingham; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/gillingham-v-bristol-rovers; 2017-12-10 14:23:15 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Bristol Rovers; 11/8; 5/4; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; 73/50; ; ; ; ; 13/10; ; ; 4/6; ; 
Gillingham; 15/8; 2; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; 99/50; ; ; ; ; 39/20; ; ; 6/4; ; 
Draw; 12/5; 9/4; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; 63/25; ; ; ; ; 47/20; ; ; 21/10; ; 
META; english/league-1/gillingham-v-bristol-rovers; 2017-12-10 18:22:59 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Bristol Rovers; 11/8; 11/8; ; ; ; ; 11/8; 11/8; 7/5; ; 7/5; ; ; ; ; 7/5; ; 23/17; 36/25; ; ; 7/5; 7/5; 11/8; 23/17; ; 1; ; 
Gillingham; 15/8; 19/10; ; ; ; ; 15/8; 15/8; 19/10; ; 15/8; ; ; ; ; 19/10; ; 24/13; 101/50; ; ; 15/8; 19/10; 37/20; 24/13; ; 6/4; ; 
