META; english/league-1/mk-dons-v-peterborough; 2017-12-23 22:22:18 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 8/5; 6/4; 6/4; ; ; 6/4; ; ; ; ; 6/4; ; 16/11; ; ; ; ; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 9/5; 17/10; 17/10; ; ; 7/4; ; ; ; ; 7/4; ; 17/10; ; ; ; ; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 13/5; 23/10; 5/2; ; ; 12/5; ; ; ; ; 12/5; ; 9/4; ; ; ; ; 12/5; 9/4; 9/4; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-24 02:22:31 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 8/5; 6/4; 6/4; ; ; 6/4; 29/20; ; ; ; 6/4; ; 16/11; ; ; ; ; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 9/5; 17/10; 17/10; ; ; 7/4; 17/10; ; ; ; 7/4; ; 17/10; ; ; ; ; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 13/5; 23/10; 5/2; ; ; 12/5; 5/2; ; ; ; 12/5; ; 9/4; ; ; ; ; 12/5; 9/4; 9/4; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-24 10:22:22 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 8/5; 6/4; 6/4; 31/21; ; 6/4; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; ; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 9/5; 17/10; 17/10; 7/4; ; 7/4; 17/10; ; ; ; 7/4; 7/4; 17/10; 7/4; ; 7/4; ; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 13/5; 23/10; 5/2; 40/17; ; 12/5; 5/2; ; ; ; 12/5; 9/4; 9/4; 9/4; ; 40/17; ; 12/5; 9/4; 9/4; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-24 14:22:31 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 8/5; 6/4; 6/4; 31/21; ; 6/4; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 9/5; 17/10; 17/10; 7/4; ; 7/4; 7/4; ; ; ; 7/4; 7/4; 17/10; 7/4; ; 7/4; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 13/5; 23/10; 5/2; 40/17; ; 12/5; 12/5; ; ; ; 12/5; 9/4; 9/4; 9/4; ; 40/17; 12/5; 12/5; 9/4; 9/4; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-24 18:22:27 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 8/5; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 9/5; 17/10; 17/10; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 13/5; 23/10; 5/2; 40/17; ; 12/5; 12/5; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-24 22:22:30 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 8/5; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 9/5; 17/10; 17/10; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 13/5; 23/10; 5/2; 40/17; ; 12/5; 12/5; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-25 02:22:31 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 8/5; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 9/5; 17/10; 17/10; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 13/5; 23/10; 5/2; 40/17; ; 12/5; 12/5; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-25 10:22:33 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 8/5; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 9/5; 17/10; 9/5; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 13/5; 23/10; 12/5; 40/17; ; 12/5; 12/5; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-25 14:22:35 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 31/20; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 15/8; 17/10; 9/5; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 5/2; 23/10; 12/5; 40/17; ; 12/5; 23/10; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-25 18:22:32 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 31/20; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 15/8; 17/10; 9/5; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 5/2; 23/10; 12/5; 40/17; ; 12/5; 23/10; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-25 22:22:34 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 31/20; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 15/8; 17/10; 9/5; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 5/2; 23/10; 12/5; 40/17; ; 12/5; 23/10; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-26 02:22:34 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 31/20; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 15/8; 17/10; 9/5; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 5/2; 23/10; 12/5; 40/17; ; 12/5; 23/10; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-26 10:22:48 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 31/20; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 15/8; 17/10; 9/5; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 5/2; 23/10; 12/5; 40/17; ; 12/5; 23/10; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-26 14:24:13 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 31/20; 6/4; 6/4; 31/21; ; 8/5; 6/4; ; ; ; 6/4; 6/4; 16/11; 6/4; ; 31/21; 6/4; 31/20; 6/4; 16/11; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 15/8; 17/10; 9/5; 7/4; ; 9/5; 7/4; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 5/2; 23/10; 12/5; 40/17; ; 12/5; 12/5; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 23/10; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-26 18:22:36 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 6/4; 8/5; ; ; ; 31/20; 6/4; 6/4; 31/21; ; 8/5; 29/20; ; ; ; 6/4; 6/4; 6/4; 6/4; ; 31/21; 6/4; 31/20; 6/4; 6/4; ; ; ; 
Peterborough; 7/4; 13/8; ; ; ; 15/8; 17/10; 9/5; 7/4; ; 9/5; 9/5; ; ; ; 7/4; 7/4; 7/4; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 5/2; 23/10; 12/5; 40/17; ; 12/5; 12/5; ; ; ; 12/5; 9/4; 23/10; 9/4; ; 40/17; 12/5; 12/5; 9/4; 40/17; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-26 22:21:40 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 29/20; 7/5; 6/4; 29/20; 33/20; 31/20; 6/4; 7/5; 31/21; 31/20; 6/4; 31/20; ; 31/20; ; 6/4; 6/4; 17/11; 6/4; 17/12; 31/21; 6/4; 6/4; 6/4; 17/11; ; ; 7/5; 
Peterborough; 9/5; 7/4; 17/10; 9/5; 47/25; 15/8; 7/4; 7/4; 7/4; 17/10; 9/5; 17/10; ; 17/10; ; 9/5; 9/5; 9/5; 9/5; 28/17; 7/4; 7/4; 7/4; 17/10; 9/5; ; ; 13/8; 
Draw; 23/10; 5/2; 12/5; 12/5; 58/25; 13/5; 9/4; 12/5; 40/17; 12/5; 5/2; 12/5; ; 12/5; ; 12/5; 11/5; 11/5; 11/5; 28/11; 40/17; 12/5; 5/2; 47/20; 9/4; ; ; 19/10; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-27 02:21:38 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 29/20; 6/4; 6/4; 29/20; 33/20; 8/5; 6/4; 6/4; 31/21; 31/20; 6/4; 31/20; ; 31/20; ; 6/4; 6/4; 17/11; 6/4; 17/12; 31/21; 6/4; 6/4; 6/4; 17/11; ; ; ; 
Peterborough; 9/5; 17/10; 17/10; 9/5; 47/25; 15/8; 7/4; 7/4; 7/4; 17/10; 9/5; 17/10; ; 17/10; ; 7/4; 9/5; 7/4; 9/5; 28/17; 7/4; 7/4; 7/4; 17/10; 9/5; ; ; ; 
Draw; 23/10; 5/2; 12/5; 12/5; 58/25; 5/2; 9/4; 12/5; 40/17; 12/5; 5/2; 12/5; ; 12/5; ; 12/5; 11/5; 9/4; 11/5; 28/11; 40/17; 12/5; 5/2; 47/20; 9/4; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-27 10:21:47 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 29/20; 6/4; 6/4; 29/20; 83/50; 8/5; 6/4; 6/4; 31/21; 31/20; 6/4; 31/20; ; 31/20; ; 6/4; 6/4; 6/4; 6/4; 17/12; 31/21; 6/4; 6/4; 6/4; 17/11; ; ; ; 
Peterborough; 9/5; 17/10; 17/10; 9/5; 15/8; 15/8; 7/4; 7/4; 7/4; 17/10; 9/5; 17/10; ; 17/10; ; 9/5; 9/5; 7/4; 9/5; 28/17; 7/4; 7/4; 7/4; 17/10; 9/5; ; ; ; 
Draw; 23/10; 5/2; 12/5; 12/5; 58/25; 5/2; 9/4; 12/5; 40/17; 12/5; 5/2; 12/5; ; 12/5; ; 12/5; 11/5; 9/4; 11/5; 28/11; 40/17; 12/5; 5/2; 47/20; 9/4; ; ; ; 
META; english/league-1/mk-dons-v-peterborough; 2017-12-27 14:24:03 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
MK Dons; 29/20; 6/4; 6/4; 29/20; 79/50; 31/20; 6/4; 6/4; 31/21; 31/20; 6/4; 31/20; ; 31/20; 8/5; 6/4; 6/4; 6/4; 6/4; 17/12; 31/21; 6/4; 6/4; 6/4; 17/11; ; 6/4; 7/5; 
