META; english/league-1/oxford-v-plymouth; 2018-02-11 18:20:51 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/10; 11/10; ; ; ; ; 5/4; ; ; ; 13/10; ; ; ; ; 5/4; 5/4; ; ; ; ; 5/4; 5/4; 5/4; ; ; ; 
Draw; 12/5; 12/5; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; 12/5; 23/10; ; ; ; ; 12/5; 12/5; 40/17; ; ; ; 
Plymouth; 2; 12/5; ; ; ; ; 21/10; ; ; ; 21/10; ; ; ; ; 21/10; 37/19; ; ; ; ; 11/5; 2; 37/19; ; ; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-11 22:20:38 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/10; 11/10; ; ; ; 13/10; 5/4; 5/4; ; ; 13/10; 6/5; ; ; ; 5/4; 5/4; ; ; ; ; 5/4; 5/4; 5/4; ; 6/5; ; 
Plymouth; 2; 12/5; ; ; ; 21/10; 21/10; 2; ; ; 21/10; 2; ; ; ; 21/10; 37/19; ; ; ; ; 11/5; 2; 37/19; ; 19/10; ; 
Draw; 12/5; 12/5; ; ; ; 5/2; 12/5; 12/5; ; ; 12/5; 13/5; ; ; ; 12/5; 23/10; ; ; ; ; 12/5; 12/5; 40/17; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-12 02:20:29 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/10; 11/10; ; ; ; 13/10; 5/4; 5/4; ; ; 13/10; 6/5; ; ; ; 5/4; 5/4; ; ; ; ; 5/4; 5/4; 5/4; ; 6/5; ; 
Plymouth; 2; 12/5; ; ; ; 21/10; 21/10; 2; ; ; 21/10; 2; ; ; ; 21/10; 37/19; ; ; ; ; 11/5; 2; 37/19; ; 19/10; ; 
Draw; 12/5; 12/5; ; ; ; 5/2; 12/5; 12/5; ; ; 12/5; 13/5; ; ; ; 12/5; 23/10; ; ; ; ; 12/5; 12/5; 40/17; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-12 10:20:49 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/10; 11/10; ; ; ; 13/10; 5/4; 5/4; 5/4; ; 13/10; 6/5; ; ; ; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; 5/4; 5/4; ; 6/5; ; 
Plymouth; 2; 12/5; ; ; ; 21/10; 21/10; 2; 21/10; ; 21/10; 2; ; ; ; 21/10; 37/19; 2; ; 21/10; ; 11/5; 2; 2; ; 19/10; ; 
Draw; 12/5; 12/5; ; ; ; 5/2; 12/5; 12/5; 40/17; ; 12/5; 13/5; ; ; ; 12/5; 23/10; 12/5; ; 40/17; ; 12/5; 12/5; 23/10; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-12 14:21:04 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/10; 6/5; ; ; ; 13/10; 5/4; 5/4; 5/4; ; 13/10; 6/5; ; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 13/10; 5/4; 5/4; 5/4; ; 6/5; ; 
Plymouth; 2; 21/10; ; ; ; 21/10; 2; 2; 21/10; ; 21/10; 2; ; ; 21/10; 2; 37/19; 2; ; 21/10; 2; 85/40; 2; 2; ; 19/10; ; 
Draw; 12/5; 5/2; ; ; ; 5/2; 12/5; 12/5; 40/17; ; 12/5; 13/5; ; ; 23/10; 12/5; 23/10; 12/5; ; 40/17; 5/2; 5/2; 12/5; 23/10; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-12 18:21:02 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/10; 6/5; ; ; ; 13/10; 5/4; 5/4; 5/4; ; 5/4; 6/5; ; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 13/10; 5/4; 5/4; 5/4; ; 6/5; ; 
Plymouth; 2; 21/10; ; ; ; 21/10; 2; 2; 21/10; ; 21/10; 2; ; ; 21/10; 2; 37/19; 2; ; 21/10; 2; 85/40; 2; 2; ; 19/10; ; 
Draw; 12/5; 5/2; ; ; ; 5/2; 12/5; 12/5; 40/17; ; 5/2; 13/5; ; ; 23/10; 12/5; 23/10; 12/5; ; 40/17; 5/2; 5/2; 12/5; 23/10; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-12 22:21:09 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/10; 6/5; ; ; ; 13/10; 5/4; 5/4; 5/4; ; 5/4; 6/5; ; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 13/10; 5/4; 5/4; 5/4; ; 6/5; ; 
Plymouth; 2; 21/10; ; ; ; 21/10; 2; 2; 21/10; ; 21/10; 2; ; ; 21/10; 2; 37/19; 2; ; 21/10; 2; 85/40; 2; 2; ; 19/10; ; 
Draw; 12/5; 5/2; ; ; ; 5/2; 12/5; 12/5; 40/17; ; 5/2; 13/5; ; ; 23/10; 12/5; 23/10; 12/5; ; 40/17; 5/2; 5/2; 12/5; 23/10; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-13 02:20:56 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/10; 6/5; ; ; ; 13/10; 5/4; 5/4; 5/4; ; 5/4; 6/5; ; ; 5/4; 5/4; 5/4; 5/4; ; 5/4; 13/10; 5/4; 5/4; 5/4; ; 6/5; ; 
Plymouth; 2; 21/10; ; ; ; 21/10; 2; 2; 21/10; ; 21/10; 2; ; ; 21/10; 2; 37/19; 2; ; 21/10; 2; 85/40; 2; 2; ; 19/10; ; 
Draw; 12/5; 5/2; ; ; ; 5/2; 12/5; 12/5; 40/17; ; 5/2; 13/5; ; ; 23/10; 12/5; 23/10; 12/5; ; 40/17; 5/2; 5/2; 12/5; 23/10; ; 9/4; ; 
