META; english/league-1/portsmouth-v-fleetwood; 2017-09-10 14:23:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; 11/4; 13/5; ; ; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-10 18:22:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 1; ; 1; 10/11; ; ; ; ; 19/20; ; ; 1; ; ; 1; ; ; ; ; ; 1; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; ; ; 49/20; ; ; 12/5; ; ; 40/17; ; ; ; ; ; 12/5; ; ; ; 
Fleetwood; 11/4; 13/5; ; ; 11/4; ; 14/5; 11/4; ; ; ; ; 14/5; ; ; 11/4; ; ; 27/10; ; ; ; ; ; 11/4; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-10 22:22:54 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 1; ; 1; 10/11; ; ; ; 20/21; 19/20; ; ; 1; ; ; 1; ; ; ; ; ; 1; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; ; 5/2; 49/20; ; ; 12/5; ; ; 40/17; ; ; ; ; ; 12/5; ; ; ; 
Fleetwood; 11/4; 13/5; ; ; 11/4; ; 14/5; 11/4; ; ; ; 11/4; 14/5; ; ; 11/4; ; ; 27/10; ; ; ; ; ; 11/4; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-11 02:22:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 1; ; 1; 10/11; ; ; ; 20/21; 19/20; ; ; 1; ; ; 1; ; ; ; ; ; 1; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; ; 5/2; 49/20; ; ; 12/5; ; ; 40/17; ; ; ; ; ; 12/5; ; ; ; 
Fleetwood; 11/4; 13/5; ; ; 11/4; ; 14/5; 11/4; ; ; ; 11/4; 14/5; ; ; 11/4; ; ; 27/10; ; ; ; ; ; 11/4; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-11 10:22:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 1; ; 1; 10/11; ; ; ; 20/21; 19/20; ; ; 1; 1; ; 1; ; ; ; ; ; 1; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; 12/5; ; ; ; 5/2; 49/20; ; ; 12/5; 23/10; ; 40/17; ; ; ; ; ; 12/5; ; ; ; 
Fleetwood; 11/4; 13/5; ; ; 11/4; ; 14/5; 11/4; ; ; ; 11/4; 14/5; ; ; 11/4; 11/4; ; 27/10; ; ; ; ; ; 11/4; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-11 14:22:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 21/20; 39/40; 1; 10/11; 1; ; ; 20/21; 19/20; ; 1; 1; 1; ; 1; ; ; 1; ; ; 1; ; ; ; 
Draw; 12/5; 23/10; ; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 5/2; 49/20; ; 23/10; 5/2; 23/10; ; 40/17; ; ; 27/11; ; ; 12/5; ; ; ; 
Fleetwood; 11/4; 13/5; ; ; 11/4; 13/5; 14/5; 11/4; 27/10; ; ; 11/4; 14/5; ; 5/2; 27/10; 11/4; ; 45/17; ; ; 27/10; ; ; 11/4; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-11 18:23:14 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 21/20; 39/40; 1; 10/11; 1; ; ; 20/21; 19/20; ; 1; 1; 1; ; 1; ; ; 1; ; 1; 1; ; ; ; 
Draw; 12/5; 12/5; ; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 5/2; 49/20; ; 23/10; 12/5; 23/10; ; 40/17; ; ; 27/11; ; 5/2; 12/5; ; ; ; 
Fleetwood; 11/4; 11/4; ; ; 11/4; 13/5; 14/5; 11/4; 27/10; ; ; 11/4; 14/5; ; 5/2; 11/4; 11/4; ; 45/17; ; ; 27/10; ; 14/5; 11/4; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-11 22:23:01 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 1; 39/40; 1; 10/11; 1; ; ; 20/21; 19/20; ; 1; 1; 1; ; 1; ; ; 1; ; 1; 1; ; ; ; 
Draw; 12/5; 12/5; ; ; 13/5; 11/5; 5/2; 12/5; 27/11; ; ; 5/2; 49/20; ; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 5/2; 12/5; ; ; ; 
Fleetwood; 11/4; 11/4; ; ; 11/4; 13/5; 14/5; 11/4; 27/10; ; ; 11/4; 14/5; ; 5/2; 11/4; 11/4; ; 45/17; ; ; 27/10; ; 14/5; 11/4; ; ; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-12 02:22:52 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 1; 39/40; 20/21; 10/11; 1; ; ; 20/21; 19/20; 1; 1; 19/20; 1; ; 1; ; ; 1; ; 1; 1; ; 10/11; ; 
Draw; 12/5; 12/5; ; ; 5/2; 11/5; 13/5; 12/5; 27/11; ; ; 5/2; 49/20; 5/2; 23/10; 5/2; 23/10; ; 12/5; ; ; 27/11; ; 5/2; 12/5; ; 9/4; ; 
Fleetwood; 11/4; 11/4; ; ; 11/4; 13/5; 14/5; 11/4; 27/10; ; ; 11/4; 14/5; 14/5; 5/2; 11/4; 11/4; ; 27/10; ; ; 27/10; ; 14/5; 11/4; ; 13/5; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-12 10:22:53 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 21/20; 39/40; 1; 10/11; 1; ; ; 20/21; 19/20; 1; 1; 1; 1; ; 1; ; ; 1; ; 1; 1; ; 10/11; ; 
Draw; 12/5; 12/5; ; ; 5/2; 11/5; 5/2; 12/5; 27/11; ; ; 5/2; 49/20; 5/2; 23/10; 12/5; 23/10; ; 12/5; ; ; 27/11; ; 5/2; 12/5; ; 9/4; ; 
Fleetwood; 11/4; 11/4; ; ; 11/4; 13/5; 14/5; 11/4; 27/10; ; ; 11/4; 14/5; 14/5; 5/2; 11/4; 11/4; ; 27/10; ; ; 27/10; ; 14/5; 11/4; ; 13/5; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-12 14:23:03 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; ; ; 21/20; 39/40; 1; 1; 1; 21/20; 1; 1; 1; 11/10; 11/10; 1; 1; ; 1; ; 1; 1; ; 21/20; 1; ; 1; ; 
Draw; 12/5; 12/5; ; ; 12/5; 11/5; 12/5; 12/5; 27/11; 23/10; 9/4; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; ; 12/5; ; 27/11; 27/11; ; 5/2; 12/5; ; 23/10; ; 
Fleetwood; 11/4; 11/4; ; ; 11/4; 13/5; 11/4; 13/5; 27/10; 27/10; 27/10; 14/5; 53/20; 29/10; 12/5; 11/4; 11/4; ; 27/10; ; 27/11; 27/10; ; 11/4; 11/4; ; 13/5; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-12 18:23:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; 21/20; ; 21/20; 39/40; 21/20; 1; 1; 21/20; 21/20; 1; 1; 11/10; 11/10; 1; 1; ; 1; ; 1; 1; ; 21/20; 1; ; 1; ; 
Draw; 12/5; 12/5; 23/10; ; 12/5; 11/5; 12/5; 12/5; 27/11; 9/4; 23/10; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; ; 12/5; ; 27/11; 27/11; ; 5/2; 12/5; ; 23/10; ; 
Fleetwood; 11/4; 14/5; 11/4; ; 11/4; 13/5; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 53/20; 29/10; 12/5; 11/4; 11/4; ; 27/10; ; 27/11; 27/10; ; 11/4; 11/4; ; 27/10; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-12 22:23:04 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; 21/20; ; 21/20; 39/40; 21/20; 1; 1; 21/20; 21/20; 1; 1; 11/10; 11/10; 1; 1; ; 1; ; 1; 1; ; 21/20; ; ; 1; ; 
Draw; 12/5; 12/5; 23/10; ; 12/5; 11/5; 12/5; 12/5; 27/11; 9/4; 23/10; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; ; 40/17; ; 27/11; 27/11; ; 5/2; ; ; 23/10; ; 
Fleetwood; 11/4; 14/5; 11/4; ; 11/4; 13/5; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 53/20; 29/10; 12/5; 11/4; 11/4; ; 45/17; ; 27/11; 27/10; ; 11/4; ; ; 27/10; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-13 02:21:42 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Portsmouth; 1; 1; 21/20; ; 21/20; 39/40; 21/20; 1; 1; 21/20; 21/20; 1; 1; 11/10; 11/10; 1; 1; ; 1; ; 1; 1; ; 21/20; 1; ; 1; ; 
Draw; 12/5; 12/5; 23/10; ; 12/5; 11/5; 12/5; 12/5; 27/11; 9/4; 23/10; 23/10; 49/20; 13/5; 12/5; 12/5; 23/10; ; 40/17; ; 27/11; 27/11; ; 5/2; 12/5; ; 23/10; ; 
Fleetwood; 11/4; 14/5; 11/4; ; 11/4; 13/5; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 53/20; 29/10; 12/5; 11/4; 11/4; ; 11/4; ; 27/11; 27/10; ; 11/4; 11/4; ; 27/10; ; 
META; english/league-1/portsmouth-v-fleetwood; 2017-09-13 10:22:08 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
