META; english/league-1/portsmouth-v-northampton; 2017-12-23 22:22:23 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 4/7; 4/7; ; ; 3/5; ; ; ; ; 8/13; ; 5/9; ; ; ; ; 4/7; 4/7; 5/9; ; ; ; 
Draw; 3; 3; ; ; ; 16/5; 3; 3; ; ; 3; ; ; ; ; 3; ; 29/10; ; ; ; ; 3; 3; 56/19; ; ; ; 
Northampton; 9/2; 9/2; ; ; ; 5; 9/2; 9/2; ; ; 9/2; ; ; ; ; 9/2; ; 74/17; ; ; ; ; 5; 9/2; 22/5; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-24 02:22:36 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; ; ; 4/7; 4/7; ; ; ; 4/7; ; 5/9; ; ; ; ; 4/7; 4/7; 5/9; ; ; ; 
Draw; 3; 3; ; ; ; 16/5; 3; 3; ; ; 3; 14/5; ; ; ; 3; ; 29/10; ; ; ; ; 3; 3; 29/10; ; ; ; 
Northampton; 9/2; 9/2; ; ; ; 5; 9/2; 9/2; ; ; 5; 5; ; ; ; 5; ; 74/17; ; ; ; ; 5; 9/2; 22/5; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-24 10:22:27 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 4/7; 4/7; ; ; ; 4/7; 4/7; 8/15; 4/7; ; 6/11; ; 4/7; 4/7; 5/9; ; ; ; 
Draw; 3; 3; ; ; ; 16/5; 3; 3; 31/10; ; 3; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; ; 3; 3; 56/19; ; ; ; 
Northampton; 9/2; 9/2; ; ; ; 5; 9/2; 9/2; 19/4; ; 5; 5; ; ; ; 5; 9/2; 22/5; 9/2; ; 19/4; ; 5; 9/2; 49/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-24 14:22:36 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 4/7; 4/7; ; ; ; 4/7; 4/7; 8/15; 4/7; ; 6/11; 4/7; 4/7; 4/7; 5/9; ; ; ; 
Draw; 3; 3; ; ; ; 16/5; 3; 3; 31/10; ; 3; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 3; 3; 56/19; ; ; ; 
Northampton; 9/2; 9/2; ; ; ; 5; 9/2; 9/2; 19/4; ; 5; 5; ; ; ; 5; 9/2; 22/5; 9/2; ; 19/4; 19/4; 5; 9/2; 49/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-24 18:22:32 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 3/5; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 4/7; 4/7; 4/7; ; ; ; 
Draw; 3; 3; ; ; ; 16/5; 3; 3; 31/10; ; 3; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 3; 3; 3; ; ; ; 
Northampton; 9/2; 9/2; ; ; ; 5; 9/2; 9/2; 19/4; ; 5; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 5; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-24 22:22:35 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 3/5; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 4/7; 4/7; 4/7; ; ; ; 
Draw; 3; 3; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 16/5; 3; 3; ; ; ; 
Northampton; 9/2; 9/2; ; ; ; 5; 9/2; 9/2; 19/4; ; 9/2; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 19/4; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-25 02:22:35 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 4/7; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 11/20; 4/7; 4/7; ; ; ; 
Draw; 3; 29/10; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 16/5; 3; 3; ; ; ; 
Northampton; 9/2; 5; ; ; ; 5; 19/4; 9/2; 19/4; ; 5; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 5; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-25 10:22:38 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 3/5; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 11/20; 4/7; 4/7; ; ; ; 
Draw; 3; 29/10; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 16/5; 3; 3; ; ; ; 
Northampton; 9/2; 5; ; ; ; 5; 19/4; 9/2; 19/4; ; 9/2; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 5; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-25 14:22:40 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 4/7; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 11/20; 4/7; 4/7; ; ; ; 
Draw; 3; 29/10; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 16/5; 3; 3; ; ; ; 
Northampton; 9/2; 5; ; ; ; 5; 19/4; 9/2; 19/4; ; 5; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 5; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-25 18:22:36 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 4/7; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 11/20; 4/7; 4/7; ; ; ; 
Draw; 3; 29/10; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 16/5; 3; 3; ; ; ; 
Northampton; 9/2; 5; ; ; ; 5; 19/4; 9/2; 19/4; ; 5; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 5; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-25 22:22:39 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 4/7; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 11/20; 4/7; 4/7; ; ; ; 
Draw; 3; 29/10; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 16/5; 3; 3; ; ; ; 
Northampton; 9/2; 5; ; ; ; 5; 19/4; 9/2; 19/4; ; 5; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 5; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-26 02:22:39 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 4/7; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 11/20; 4/7; 4/7; ; ; ; 
Draw; 3; 29/10; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 16/5; 3; 3; ; ; ; 
Northampton; 9/2; 5; ; ; ; 5; 19/4; 9/2; 19/4; ; 5; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 5; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-26 10:22:53 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 3/5; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 4/7; 4/7; 4/7; ; ; ; 
Draw; 3; 29/10; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 16/5; 3; 3; ; ; ; 
Northampton; 9/2; 5; ; ; ; 5; 19/4; 9/2; 19/4; ; 9/2; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 19/4; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-26 14:24:18 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 3/5; 4/7; ; ; ; 4/7; 4/7; 5/9; 4/7; ; 6/11; 4/7; 4/7; 4/7; 4/7; ; ; ; 
Draw; 3; 29/10; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 56/19; 3; ; 31/10; 3; 16/5; 3; 3; ; ; ; 
Northampton; 9/2; 5; ; ; ; 5; 9/2; 9/2; 19/4; ; 9/2; 5; ; ; ; 5; 9/2; 9/2; 9/2; ; 19/4; 19/4; 19/4; 9/2; 50/11; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-26 18:22:41 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 4/7; ; ; ; 8/13; 5/9; 4/7; 6/11; ; 4/7; 4/7; ; ; ; 4/7; 4/7; 4/7; 4/7; ; 6/11; 4/7; 11/20; 4/7; 4/7; ; ; ; 
Draw; 3; 29/10; ; ; ; 16/5; 3; 3; 31/10; ; 16/5; 14/5; ; ; ; 3; 3; 3; 3; ; 31/10; 3; 16/5; 3; 58/19; ; ; ; 
Northampton; 9/2; 5; ; ; ; 5; 19/4; 9/2; 19/4; ; 5; 5; ; ; ; 5; 9/2; 23/5; 9/2; ; 19/4; 19/4; 5; 9/2; 79/17; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-26 22:21:45 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 8/13; 3/5; 8/13; 16/25; 8/13; 4/7; 4/7; 6/11; 8/13; 3/5; 8/13; ; 8/13; ; 8/13; 4/7; 11/18; 4/7; 10/17; 6/11; 8/13; 3/5; 8/13; 11/18; ; ; 8/15; 
Draw; 3; 29/10; 11/4; 14/5; 31/10; 16/5; 29/10; 3; 31/10; 14/5; 3; 11/4; ; 11/4; ; 14/5; 3; 29/10; 3; 56/19; 31/10; 3; 3; 57/20; 56/19; ; ; 13/5; 
Northampton; 9/2; 9/2; 19/4; 9/2; 24/5; 5; 9/2; 9/2; 19/4; 24/5; 5; 5; ; 9/2; ; 9/2; 9/2; 22/5; 9/2; 21/5; 19/4; 19/4; 19/4; 9/2; 49/11; ; ; 7/2; 
META; english/league-1/portsmouth-v-northampton; 2017-12-27 02:21:42 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Portsmouth; 4/7; 8/13; 3/5; 8/13; 16/25; 8/13; 4/7; 4/7; 6/11; 8/13; 3/5; 8/13; ; 8/13; ; 8/13; 4/7; 11/18; 4/7; 10/17; 6/11; 8/13; 3/5; 8/13; 11/18; ; ; ; 
Draw; 3; 14/5; 11/4; 14/5; 31/10; 16/5; 29/10; 3; 31/10; 14/5; 3; 11/4; ; 11/4; ; 14/5; 29/10; 29/10; 29/10; 56/19; 31/10; 3; 3; 57/20; 56/19; ; ; ; 
Northampton; 9/2; 19/4; 19/4; 9/2; 24/5; 5; 9/2; 9/2; 19/4; 24/5; 5; 5; ; 9/2; ; 9/2; 19/4; 49/11; 19/4; 21/5; 19/4; 19/4; 19/4; 9/2; 9/2; ; ; ; 
META; english/league-1/portsmouth-v-northampton; 2017-12-27 10:21:52 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
