META; english/league-1/southend-v-bradford; 2017-12-10 02:20:49 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Bradford; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 10:20:51 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Bradford; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 14:23:39 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 8/5; 3/2; ; ; ; ; 8/5; 6/4; ; ; ; ; ; ; ; 6/4; ; ; 17/10; ; ; ; ; 31/20; ; ; 5/6; ; 
Bradford; 8/5; 17/10; ; ; ; ; 13/8; 8/5; ; ; ; ; ; ; ; 17/10; ; ; 17/10; ; ; ; ; 13/8; ; ; 6/4; ; 
Draw; 12/5; 9/4; ; ; ; ; 23/10; 13/5; ; ; ; ; ; ; ; 12/5; ; ; 63/25; ; ; ; ; 47/20; ; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 18:23:32 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 8/5; 8/5; ; ; ; ; 8/5; 8/5; 17/11; ; 8/5; ; ; ; ; 8/5; ; 17/11; 17/10; ; ; 13/8; 13/8; 31/20; 17/11; ; 20/21; ; 
Bradford; 8/5; 17/10; ; ; ; ; 13/8; 13/8; 28/17; ; 13/8; ; ; ; ; 8/5; ; 8/5; 17/10; ; ; 13/8; 17/10; 13/8; 8/5; ; 10/9; ; 
Draw; 12/5; 9/4; ; ; ; ; 23/10; 12/5; 40/17; ; 12/5; ; ; ; ; 12/5; ; 40/17; 63/25; ; ; 12/5; 12/5; 47/20; 40/17; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 22:21:45 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Bradford; ; 13/8; 13/8; ; ; 17/10; 13/8; 13/8; 28/17; 8/5; 8/5; ; ; ; 8/5; 8/5; ; 8/5; 173/100; ; ; 13/8; 8/5; 8/5; 8/5; ; 6/5; ; 
Southend; 17/10; 17/10; 7/4; ; ; 17/10; 17/10; 13/8; 17/11; ; 17/10; ; ; ; 13/8; 7/4; ; 28/17; 46/25; ; ; 7/4; 17/10; 33/20; 17/10; ; 7/5; ; 
Draw; 9/4; 11/5; ; ; ; 12/5; 11/5; 23/10; 40/17; ; 23/10; ; ; ; ; 9/4; ; 11/5; 113/50; ; ; 23/10; 12/5; 9/4; 11/5; ; 21/10; ; 
