META; english/league-1/southend-v-rochdale; 2017-08-27 02:27:31 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; 
Rochdale; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/southend-v-rochdale; 2017-08-27 10:27:21 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Rochdale; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/southend-v-rochdale; 2017-08-27 14:27:40 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; 11/10; 5/4; ; ; 23/20; ; 23/20; ; 8/7; ; ; ; 11/10; ; ; 15/13; ; 10/9; 11/10; ; ; 8/7; ; ; 11/10; ; 4/6; ; 
Rochdale; 12/5; 2; ; ; 12/5; ; 23/10; ; 23/10; ; ; ; 12/5; ; ; 23/10; ; 23/10; 9/4; ; ; 23/10; ; ; 9/4; ; 5/4; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 27/11; ; ; ; 12/5; ; ; 5/2; ; 12/5; 40/17; ; ; 27/11; ; ; 12/5; ; 19/10; ; 
META; english/league-1/southend-v-rochdale; 2017-08-27 18:27:31 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; 11/10; 5/4; ; ; 23/20; ; 23/20; ; 8/7; ; ; 6/5; 11/10; ; 6/5; 15/13; ; 10/9; 11/10; 6/5; ; 8/7; ; ; 11/10; ; 5/6; ; 
Rochdale; 12/5; 2; ; ; 12/5; ; 23/10; ; 23/10; ; ; 9/4; 12/5; ; 11/5; 23/10; ; 23/10; 23/10; 5/2; ; 23/10; ; ; 9/4; ; 7/4; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 27/11; ; ; 12/5; 12/5; ; 23/10; 5/2; ; 12/5; 12/5; 5/2; ; 27/11; ; ; 12/5; ; 19/10; ; 
META; english/league-1/southend-v-rochdale; 2017-08-27 22:28:22 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; 11/10; 5/4; ; ; 23/20; ; 23/20; ; 8/7; ; ; 6/5; 11/10; ; 6/5; 15/13; ; 10/9; 11/10; 6/5; ; 8/7; ; ; 11/10; ; 10/11; ; 
Rochdale; 12/5; 2; ; ; 12/5; ; 23/10; ; 23/10; ; ; 9/4; 12/5; ; 11/5; 23/10; ; 23/10; 23/10; 5/2; ; 23/10; ; ; 9/4; ; 13/8; ; 
Draw; 12/5; 23/10; ; ; 5/2; ; 5/2; ; 27/11; ; ; 12/5; 12/5; ; 23/10; 5/2; ; 12/5; 12/5; 5/2; ; 27/11; ; ; 12/5; ; 11/5; ; 
