META; english/league-2/barnet-v-yeovil; 2017-10-15 02:24:10 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Barnet; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Yeovil; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
META; english/league-2/barnet-v-yeovil; 2017-10-15 10:23:52 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Barnet; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Yeovil; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
META; english/league-2/barnet-v-yeovil; 2017-10-15 14:24:03 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Barnet; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Yeovil; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/15; ; 
META; english/league-2/barnet-v-yeovil; 2017-10-15 18:23:11 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Barnet; ; 11/10; ; ; 1; ; ; 10/11; ; ; ; ; ; ; 1; ; ; 1; ; ; ; ; 21/20; 1; ; ; 4/7; ; 
Draw; ; 23/10; ; ; 12/5; ; ; 12/5; ; ; ; ; ; ; 23/10; ; ; 40/17; ; ; ; ; 12/5; 47/20; 40/17; ; 5/4; ; 
