META; english/league-2/cheltenham-v-colchester; 2017-09-10 14:23:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 3/2; ; ; ; ; 31/20; 6/4; ; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; ; ; ; ; ; ; 
Colchester; 7/4; 13/8; ; ; ; ; 9/5; 17/10; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-10 18:23:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 3/2; ; ; 6/4; ; 6/4; 6/4; ; ; ; ; 6/4; ; ; ; ; ; 6/4; ; ; ; ; ; 6/4; ; ; ; 
Colchester; 7/4; 13/8; ; ; 9/5; ; 9/5; 17/10; ; ; ; ; 7/4; ; ; ; ; ; 7/4; ; ; ; ; ; 7/4; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 12/5; 12/5; ; ; ; ; 23/10; ; ; ; ; ; 9/4; ; ; ; ; ; 9/4; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-10 22:23:44 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 3/2; ; ; ; ; 6/4; 6/4; ; ; ; 29/20; 6/4; ; ; ; ; ; 6/4; ; ; ; ; ; 6/4; ; ; ; 
Colchester; 7/4; 13/8; ; ; ; ; 9/5; 17/10; ; ; ; 17/10; 7/4; ; ; ; ; ; 17/10; ; ; ; ; ; 7/4; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 12/5; 12/5; ; ; ; 13/5; 23/10; ; ; ; ; ; 9/4; ; ; ; ; ; 9/4; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-11 02:23:41 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 3/2; ; ; 6/4; ; 6/4; 6/4; ; ; ; 29/20; 6/4; ; ; 6/4; ; ; 6/4; ; ; ; ; ; 6/4; ; ; ; 
Colchester; 7/4; 13/8; ; ; 9/5; ; 9/5; 17/10; ; ; ; 17/10; 7/4; ; ; 7/4; ; ; 17/10; ; ; ; ; ; 7/4; ; ; ; 
Draw; 23/10; 23/10; ; ; 12/5; ; 12/5; 12/5; ; ; ; 13/5; 23/10; ; ; 12/5; ; ; 9/4; ; ; ; ; ; 9/4; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-11 10:23:38 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 3/2; ; ; 6/4; ; 31/20; 6/4; ; ; ; 29/20; 6/4; ; ; 6/4; 6/4; ; 16/11; ; ; ; ; ; 6/4; ; ; ; 
Colchester; 7/4; 13/8; ; ; 9/5; ; 9/5; 17/10; ; ; ; 17/10; 7/4; ; ; 7/4; 7/4; ; 17/10; ; ; ; ; ; 7/4; ; ; ; 
